bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country
NO1-420,,420.0,f,Substation,f,NO1,17.7429803048289,68.44255425036224,NO
NO10-420,,420.0,f,Substation,f,NO10,16.39150500000001,67.96878309793532,NO
NO11-420,,420.0,f,Substation,f,NO11,16.358578199999968,67.95816799793435,NO
NO12-420,,420.0,f,Substation,f,NO12,16.32142959999998,67.89678969792875,NO
NO13-420,,420.0,f,Substation,f,NO13,16.28564889999999,67.87187009792655,NO
NO14-420,,420.0,f,Substation,f,NO14,15.999219899999948,67.6034983979019,NO
NO15-420,,420.0,f,Substation,f,NO15,15.45019179999998,67.11210119785649,NO
NO16-420,,420.0,f,Substation,f,NO16,15.434669800000025,67.09953269785525,NO
NO18-420,,420.0,f,Substation,f,NO18,13.905244799999975,66.81166819782824,NO
NO19-420,,420.0,f,Substation,f,NO19,13.853123399999973,66.79301279782638,NO
NO2-420,,420.0,f,Substation,f,NO2,17.73434005390037,68.42580734830972,NO
NO20-420,,420.0,f,Substation,f,NO20,13.821216899999955,66.76737859782399,NO
NO21-420,,420.0,f,Substation,f,NO21,13.833783099999929,66.74994389782232,NO
NO22-420,,420.0,f,Substation,f,NO22,13.595381999999985,66.71787269781923,NO
NO23-420,,420.0,f,Substation,f,NO23,13.579501199999983,66.68888459781653,NO
NO24-420,,420.0,f,Substation,f,NO24,14.156500699999985,66.38399899778727,NO
NO25-420,,420.0,f,Substation,f,NO25,14.177137600000004,66.36613439778553,NO
NO26-400,,400.0,f,Substation,f,NO26,12.059395330098916,63.17665111946965,NO
NO26-420,,420.0,f,Substation,f,NO26,12.059827471255735,63.17683667255434,NO
NO27-300,,300.0,f,Substation,f,NO27,8.63849354032925,62.84866975706129,NO
NO27-420,,420.0,f,Substation,f,NO27,8.638899362720311,62.84886463528845,NO
NO28-300,,300.0,f,Substation,f,NO28,8.60269020120513,62.84224651114559,NO
NO28-420,,420.0,f,Substation,f,NO28,8.603095707016992,62.84244148355891,NO
NO29-300,,300.0,f,Substation,f,NO29,8.49948259256994,62.74843878426659,NO
NO29-420,,420.0,f,Substation,f,NO29,8.499886187501556,62.74863401654456,NO
NO3-420,,420.0,f,Substation,f,NO3,17.322789400000012,68.13930309795077,NO
NO30-300,,300.0,f,Substation,f,NO30,8.477649044390407,62.71482830409602,NO
