bus0,bus1,voltage,s_nom,length,type,geometry
way/648848845-300,NO60-300,300.0,1005.455,2841.47,Al/St 240/40 3-bundle 300.0,"LINESTRING (5.478204000000013 60.89772739712796, 5.487271642705905 60.897019217254986, 5.5053300696397365 60.8952195587208, 5.52742893813602 60.8898785822002)"
way/445514503-300,NO79-300,300.0,1005.455,7433.01,Al/St 240/40 3-bundle 300.0,"LINESTRING (5.548759499999992 59.901443996965014, 5.556364084912543 59.90377490068135, 5.5574392 59.9041045, 5.5622967 59.9055879, 5.5666928 59.907645, 5.5729812 59.9105873, 5.5761047 59.9120497, 5.5799671 59.9138555, 5.5894996 59.9139181, 5.5993339 59.9139954, 5.6059121 59.9140424, 5.6130816 59.9140969, 5.6251127 59.914185, 5.6280845 59.9142051, 5.6350999 59.9142549, 5.6415895 59.9142999, 5.6527729 59.9122474, 5.6591284 59.9110788, 5.661099134070503 59.909771144534076, 5.6675139950622615 59.90655291992831)"
NO82-300,NO83-300,300.0,1005.455,1855.55,Al/St 240/40 3-bundle 300.0,"LINESTRING (6.1192238 59.78724229694518, 6.127181966621507 59.78524094206953, 6.140414911235529 59.7814156935966, 6.147843000000002 59.778948596943685)"
relation/11512349-300,NO80-300,300.0,1005.455,1871.05,Al/St 240/40 3-bundle 300.0,"LINESTRING (5.9576985506085105 59.83931299705047, 5.964905851040964 59.84193009672933, 5.975963658279627 59.84585788815125, 5.9868091778913435 59.84627020441584)"
NO97-420,NO98-420,420.0,1876.85,2272.12,Al/St 240/40 4-bundle 380.0,"LINESTRING (6.0864204000000015 58.87127399677581, 6.0925309006629 58.874441716741195, 6.107161109436004 58.88297837731653, 6.112912599999998 58.88633029677879)"
NO59-300,NO56-300,300.0,1005.455,4790.19,Al/St 240/40 3-bundle 300.0,"LINESTRING (7.049800200000007 61.14694249716598, 7.051193679240898 61.14249236944484, 7.0642337345772 61.108941983325124, 7.065871500000009 61.10451489715958)"
way/100648754-300,way/206628449-300,300.0,1005.455,11008.65,Al/St 240/40 3-bundle 300.0,"LINESTRING (9.595714892524091 59.040960572815614, 9.602390457580162 59.045825209758, 9.6041094 59.0465646, 9.6060339 59.047673, 9.6131042 59.051761, 9.6151346 59.0529348, 9.6202925 59.055925, 9.6239215 59.0586406, 9.6281353 59.0612207, 9.6356481 59.0652433, 9.6506524 59.0730559, 9.6515107 59.0735018, 9.6570468 59.0737534, 9.662957 59.0739678, 9.6678494 59.0741428, 9.6699522 59.074076, 9.6797182 59.0757322, 9.6796873 59.0764406, 9.6795499 59.0788158, 9.6794607 59.0809228, 9.6793789 59.0826462, 9.6792233 59.085454, 9.6790704 59.0885509, 9.6788988 59.0921911, 9.6788196 59.0938485, 9.6787459 59.0953136, 9.678597 59.0982705, 9.6784455 59.1012782, 9.678371 59.1027936, 9.6782564 59.105041, 9.6781316 59.1073037, 9.678078 59.1088033, 9.6780002 59.1099649, 9.677958333770231 59.11089837471046, 9.672889631494694 59.115598344341784)"
NO28-300,NO27-300,300.0,1005.455,1969.89,Al/St 240/40 3-bundle 300.0,"LINESTRING (8.60269020120513 62.84224651114559, 8.612066833019616 62.84438221952441, 8.62943396127407 62.847133971289956, 8.63849354032925 62.84866975706129)"
NO27-420,NO28-420,420.0,1876.85,1991.53,Al/St 240/40 4-bundle 380.0,"LINESTRING (8.603095707016992 62.84244148355891, 8.612861771424056 62.84352715290583, 8.630745720921817 62.84610550601075, 8.638899362720311 62.84886463528845)"
NO27-420,NO28-420,420.0,1876.85,1976.36,Al/St 240/40 4-bundle 380.0,"LINESTRING (8.603095707016992 62.84244148355891, 8.61274619974039 62.84368118166881, 8.630134553874715 62.84651069297412, 8.638899362720311 62.84886463528845)"
way/548201553-420,NO42-420,420.0,1876.85,16277.14,Al/St 240/40 4-bundle 380.0,"LINESTRING (5.5488392060253195 61.828839776086156, 5.559276682264167 61.831661566907975, 5.5620217 61.8325064, 5.5684751 61.8344866, 5.5751002 61.8365376, 5.5805826 61.8382238, 5.5866122 61.8381276, 5.591526 61.8380364, 5.6006992 61.8378947, 5.607748 61.8377833, 5.6127798 61.8377022, 5.6211698 61.8375655, 5.6316304 61.8373934, 5.6380677 61.837287, 5.6420588 61.8372262, 5.648008 61.833175, 5.6507438 61.8313289, 5.6523049 61.8302577, 5.6558025 61.8278898, 5.6591552 61.8256103, 5.6756884 61.8193079, 5.6807309 61.8186898, 5.688386 61.8186062, 5.6921732 61.8194371, 5.6987929 61.8208963, 5.7058954 61.82347, 5.7125044 61.825861, 5.7168817 61.8274617, 5.7219458 61.8292903, 5.7312906 61.829655, 5.740571 61.8300247, 5.7485103 61.8303387, 5.7545185 61.8305515, 5.7602155 61.8307844, 5.774045 61.8313416, 5.7870698 61.8330433, 5.7983351 61.8345069, 5.8068055 61.8356242, 5.8124113 61.8363654, 5.815253543638055 61.836734072973755, 5.824357900000004 61.83792759726604)"
NO97-420,NO98-420,420.0,1876.85,2272.19,Al/St 240/40 4-bundle 380.0,"LINESTRING (6.0864204000000015 58.87127399677581, 6.0921557847874706 58.87463192767087, 6.106782977183251 58.88317129338218, 6.112912599999998 58.88633029677879)"
NO97-420,NO98-420,420.0,1876.85,2275.58,Al/St 240/40 4-bundle 380.0,"LINESTRING (6.0864204000000015 58.87127399677581, 6.092882900425488 58.874250210118184, 6.107558377796318 58.8828112928667, 6.112912599999998 58.88633029677879)"
NO94-420,NO95-420,420.0,1876.85,2652.22,Al/St 240/40 4-bundle 380.0,"LINESTRING (6.287580700000001 58.99528349679987, 6.290408135599652 58.99952983507782, 6.298362554740139 59.01379801711167, 6.30128150000001 59.018028296804154)"
NO94-420,NO95-420,420.0,1876.85,2658.83,Al/St 240/40 4-bundle 380.0,"LINESTRING (6.287580700000001 58.99528349679987, 6.291379792942808 58.999318350747714, 6.299353390448781 59.013649505122544, 6.30128150000001 59.018028296804154)"
NO94-420,NO95-420,420.0,1876.85,2653.54,Al/St 240/40 4-bundle 380.0,"LINESTRING (6.287580700000001 58.99528349679987, 6.2908705276342225 58.99943460207992, 6.298855252257909 59.0137194436848, 6.30128150000001 59.018028296804154)"
NO31-420,NO32-420,420.0,1876.85,3105.52,Al/St 240/40 4-bundle 380.0,"LINESTRING (6.734604400000001 62.44613689734849, 6.742765065387238 62.448518456186214, 6.774054789351009 62.460582432312385, 6.781450499999999 62.46345639735074)"
