GEM location ID,bus_id
L100000406853,NO65-300
L100000407847,way/883151328-420
L100000602883,relation/12277754-300
L100000602884,way/883151328-420
L100000602885,relation/10175479-300
L100000602886,way/469098816-420
L100000602887,way/548201553-420
L100000602888,relation/7839720-300
L100000602889,relation/3993780-300
L100000602890,NO64-420
L100000602891,way/37907251-420
L100000602892,NO66-300
L100000602893,NO71-420
L100000602894,way/440170580-300
L100000602895,relation/11512349-300
L100000602896,way/60495669-300
L100000602897,way/287685850-420
L100000602898,way/617330634-300
L100000602899,way/244179408-420
L100000602900,way/114669733-300
L100000602901,relation/7839720-420
L100000602902,way/261717967-300
L100000602903,way/547743430-420
L100000602904,way/307323708-300
L100000602905,relation/7883882-300
L100000602906,NO94-420
L100000602907,relation/8679746-300
L100000602908,NO46-300
L100000602909,way/633896066-420
L100000602910,relation/7839720-300
L100000602911,way/572898616-420
L100000602912,relation/8196063-300
L100000602913,relation/12277754-300
L100000602914,way/549449182-300
L100000602915,NO87-300
L100000602916,relation/7812776-420
L100000602917,relation/8182117-420
L100000602918,relation/8182117-420
L100000602919,way/547743430-420
L100000602920,way/554551085-300
L100000602921,relation/12274653-420
L100000602922,way/572898618-420
L100000602923,NO48-300
L100000602924,way/128406208-300
L100000602925,relation/13447791-420
L100000602926,relation/8293948-420
L100000602927,relation/8482013-300
L100000602928,relation/12832053-420
L100000602929,way/71356608-300
L100000602930,way/114414014-420
L100000602931,relation/10220813-420
L100000602932,NO25-420
L100000602933,relation/7814748-300
L100000602934,relation/8294222-420
L100000602935,NO92-420
L100000602936,NO92-420
L100000602937,relation/7879879-420
L100000602938,way/648848845-300
L100000602939,way/648848845-300
L100000602940,relation/7805329-300
L100000602941,NO26-420
L100000602942,way/114669733-300
L100000602943,relation/7845549-300
L100000602944,relation/8527323-420
L100000602945,way/290360704-300
L100000602946,relation/8473044-220
L100000602947,NO45-300
L100000602948,relation/7851611-300
L100000602949,relation/7879876-300
L100000602950,relation/7854485-300
L100000602951,relation/10327289-300
L100000602952,way/114336709-300
L100000602953,relation/8473044-300
L100000602954,relation/7842286-300
L100000602955,NO47-300
L100000602956,way/197866182-420
L100000602957,way/295444099-420
L100000602958,way/546262597-300
L100000602959,relation/8211981-300
L100000602960,relation/8211981-300
L100000602961,relation/8857031-300
L100000602962,way/290360704-300
L100000602963,relation/7879879-420
L100000602964,way/60495669-300
L100000602965,NO88-300
L100000602966,relation/8294222-420
L100000602967,way/577998803-420
L100000602968,NO3-420
L100000602969,NO84-300
L100000602970,way/100151486-420
L100000602971,way/100151486-420
L100000602972,way/640796702-420
L100000602973,way/288812256-300
L100000602974,way/289304185-300
L100000602975,relation/7928148-420
L100000602976,relation/10086891-300
L100000602977,way/572898618-420
L100000602978,relation/8857363-300
L100000602979,relation/8857363-300
L100000602980,NO87-300
L100000602981,NO18-420
L100000602982,way/475820066-420
L100000602983,NO43-420
L100000602984,NO85-300
L100000602985,relation/10220813-420
L100000602986,way/548709529-420
L100000602987,way/548709529-420
L100000602988,NO93-300
L100000602989,way/240202234-420
L100000602990,relation/7883882-300
L100000602991,relation/8890360-300
L100000602992,way/297388897-300
L100000602993,way/633896066-420
L100000602994,relation/8488332-300
L100000602995,relation/8679746-300
L100000602996,relation/8850169-300
L100000602997,way/296229069-300
L100000602998,relation/9552168-300
L100000602999,way/114414014-420
L100000603000,relation/7883264-300
L100000604282,relation/7805329-300
L100000907929,relation/13989591-300
L100000907952,NO96-300
L100000908015,NO96-300
L100000908123,NO96-300
L100000908179,way/830770515-420
L100000908203,way/830770515-420
L100000909056,relation/7928148-420
L100000909314,way/615122824-420
L100000909634,way/613587460-420
L100000909896,way/799370310-300
L100000910237,relation/13989591-300
L100000911324,NO43-420
L100000911915,way/548201553-420
L100000912659,NO1-420
L100000912678,relation/8332571-300
L100000912941,way/830770515-420
L100000913327,relation/10175479-300
L100000913374,way/799370310-300
L100000913697,NO32-420
L100000914066,way/883151328-420
L100000914130,way/257192868-220
L100000914157,way/254428135-420
L100000914232,relation/8846883-300
L100000914260,way/633896066-420
L100000914561,way/257192868-220
L100000914647,relation/12969006-300
L100000914845,NO7-420
L100000914945,NO44-420
L100000915014,way/120279477-300
L100000915103,NO63-300
L100000915126,way/257192868-220
L100000915154,way/572898616-420
L100000915162,way/60495669-420
L100000915186,way/633840104-420
L100000915187,way/254428135-420
L100000915208,way/114336709-300
L100000915232,way/613587460-420
L100000915274,way/799370310-300
L100000915276,way/633840104-420
L100000915322,way/799370310-300
L100000915434,relation/8896922-300
L100000915496,NO63-300
L100000915499,way/799370310-300
L100000915528,relation/8890887
L100000915568,way/572898616-420
L100000915593,way/637005916-300
L100000915598,relation/8527323-420
L100000915651,way/799370310-300
L100000915681,NO7-420
L100000915759,relation/8332571-300
L100000915760,way/114336709-300
L100000915761,way/615122824-420
L100000915774,way/254428135-420
L100000915818,way/615122824-420
L100000915837,way/613587460-420
L100000915903,way/799370310-300
L100000915920,relation/10175479-300
L100000915961,way/633840104-420
L100000915971,NO44-420
L100000915972,way/572898616-420
L100000915998,relation/8890360-300
L100000916052,way/613587460-420
L100000916079,way/615122824-420
L100000916085,NO99-300
L100000916167,way/577998803-420
L100000916172,relation/8476872-300
L100000916271,way/400567451-220
L100000916327,relation/8896922-300
L100000916341,way/648848845-300
L100000920566,way/547743430-420
L100000920567,relation/8896922-300
L100000920569,NO96-300
L100000920570,NO96-300
L100000920571,NO96-300
L100001001202,way/577998803-420
L100001001205,way/883151328-420
L100001007656,relation/8527323-420
L100001009063,way/287685850-300
L100001022791,relation/7845549-300
L100001022792,NO52-420
L100001022793,relation/8488332-300
L100001023143,way/400567451-220
L100001023144,relation/7928148
L100001023145,way/229806969-420
L100001023146,way/60495669-300
L100001023147,NO15-420
L100001023148,NO87-300
L100001023149,way/229806969-420
L100001023150,relation/7879876-300
L100001023151,way/577998803-420
L100001023152,way/244179408-420
L100001023153,relation/8679746-300
L100001023154,relation/8679746-300
L100001023155,way/244179408-420
L100001023156,way/546262597-300
L100001023157,relation/7928148-420
L100001023158,way/358915801-420
L100001023159,way/1156161502-300
L100001023160,way/883151328-420
L100001023161,way/430780474-300
L100001023162,way/350332649-420
L100001023163,NO11-420
L100001023164,relation/10547156-300
L100001023165,way/549449182-300
L100001023166,NO51-420
L100001023167,way/229806970-300
L100001023168,relation/7854485-300
L100001023169,relation/8488332-300
L100001023170,relation/8527323-420
L100001023171,relation/7928148-420
L100001023172,NO81-300
L100001023173,way/549449181-300
L100001023174,way/615122824-420
L100001023175,way/71356608-300
L100001023176,way/358915801-420
L100001023177,NO24-420
L100001023178,way/257192868-220
L100001023179,relation/8860331-420
L100001023180,way/617330634-300
L100001023181,NO26-420
L100001023182,NO85-300
L100001023183,way/548473094-420
L100001023184,way/648848845-300
L100001023185,relation/8527323-420
L100001023186,way/549449181-300
L100001025610,NO48-300
L100001025766,NO83-300
L100001046188,way/358915801-420
L100001046189,way/128406208-300
L100001046190,relation/8476872-300
L100001046191,way/549449182-300
L100001046192,way/296229069-420
L100001046193,relation/7854485-300
L100001046194,NO61-300
L100001046195,relation/10086891-300
L100001046197,relation/8211981-300
L100001046199,NO2-420
L100001046200,relation/8294222-420
L100001046203,way/289304185-300
L100001046205,NO7-420
L100001046206,relation/8211981-300
L100001048152,way/232893576-420
