bus_id,grid_cell
NO1-420,
NO10-420,wof-NOR_449
NO11-420,wof-NOR_449
NO12-420,wof-NOR_449
NO13-420,wof-NOR_449
NO14-420,wof-NOR_449
NO15-420,wof-NOR_434
NO16-420,wof-NOR_434
NO18-420,wof-NOR_403
NO19-420,wof-NOR_403
NO2-420,
NO20-420,wof-NOR_403
NO21-420,wof-NOR_403
NO22-420,wof-NOR_403
NO23-420,wof-NOR_403
NO24-420,wof-NOR_402
NO25-420,wof-NOR_402
NO26-400,
NO26-420,
NO27-300,wof-NOR_243
NO27-420,wof-NOR_243
NO28-300,wof-NOR_243
NO28-420,wof-NOR_243
NO29-300,wof-NOR_243
NO29-420,wof-NOR_243
NO3-420,wof-NOR_463
NO30-300,wof-NOR_243
NO30-420,wof-NOR_243
NO31-420,wof-NOR_191
NO32-420,wof-NOR_191
NO33-420,wof-NOR_191
NO34-420,wof-NOR_191
NO36-420,wof-NOR_190
NO38-420,wof-NOR_159
NO39-420,wof-NOR_159
NO4-420,wof-NOR_463
NO40-420,wof-NOR_190
NO41-420,wof-NOR_159
NO42-420,wof-NOR_159
NO43-420,wof-NOR_128
NO44-420,wof-NOR_128
NO45-300,
NO46-300,
NO47-300,
NO48-300,
NO49-300,
NO5-400,wof-NOR_463
NO5-420,wof-NOR_463
NO51-420,wof-NOR_188
NO52-420,wof-NOR_188
NO53-420,wof-NOR_188
NO54-300,wof-NOR_216
NO55-300,wof-NOR_216
NO56-300,wof-NOR_216
NO57-300,wof-NOR_188
NO58-300,wof-NOR_188
NO59-300,wof-NOR_216
NO6-420,wof-NOR_450
NO60-300,wof-NOR_157
NO61-300,wof-NOR_157
NO62-420,wof-NOR_216
NO63-300,wof-NOR_126
NO64-420,wof-NOR_216
NO65-300,wof-NOR_126
NO66-300,
NO67-420,wof-NOR_187
NO68-420,wof-NOR_215
NO69-420,wof-NOR_187
NO7-420,wof-NOR_450
NO70-420,wof-NOR_187
NO71-420,wof-NOR_187
NO72-420,wof-NOR_187
NO73-300,NOR_23
NO73-300,wof-NOR_155
NO74-300,NOR_23
NO74-300,wof-NOR_186
NO75-420,NOR_72
NO76-300,NOR_23
NO76-300,wof-NOR_186
NO77-300,NOR_23
NO77-300,wof-NOR_186
NO78-300,NOR_84
NO79-300,NOR_12
NO79-300,wof-NOR_155
NO8-420,wof-NOR_449
NO80-300,NOR_11
NO80-300,wof-NOR_154
NO81-300,NOR_33
NO81-300,wof-NOR_185
NO82-300,NOR_22
NO82-300,wof-NOR_154
NO83-300,NOR_22
NO83-300,wof-NOR_154
NO84-300,NOR_71
NO84-420,NOR_71
NO85-300,NOR_58
NO86-420,NOR_22
NO86-420,wof-NOR_185
NO87-300,NOR_58
NO88-300,NOR_22
NO88-300,wof-NOR_185
NO89-300,NOR_45
NO9-420,wof-NOR_449
NO90-420,NOR_70
NO91-420,NOR_70
NO92-420,NOR_21
NO92-420,wof-NOR_184
NO93-300,NOR_21
NO93-300,wof-NOR_184
NO94-420,NOR_21
NO94-420,wof-NOR_184
NO95-420,NOR_21
NO95-420,wof-NOR_183
NO96-300,NOR_10
NO96-300,wof-NOR_152
NO97-420,NOR_20
NO97-420,wof-NOR_152
NO98-420,NOR_20
NO98-420,wof-NOR_152
NO99-300,NOR_20
NO99-300,wof-NOR_183
relation/10086891-300,wof-NOR_157
relation/10104222-420,wof-NOR_192
relation/10175479-300,NOR_19
relation/10175479-300,wof-NOR_182
relation/10220813-420,wof-NOR_215
relation/10308957-300,NOR_84
relation/10327289-300,NOR_23
relation/10327289-300,wof-NOR_186
relation/10547156-300,NOR_45
relation/11036958-300,NOR_22
relation/11036958-300,wof-NOR_185
relation/11036958-420,NOR_22
relation/11036958-420,wof-NOR_185
relation/11512349-300,NOR_11
relation/11512349-300,wof-NOR_154
relation/11568632-420,NOR_70
relation/11568632-420,wof-NOR_291
relation/11981383,NOR_19
relation/11981383,wof-NOR_182
relation/12274653-420,NOR_22
relation/12274653-420,wof-NOR_185
relation/12277754-300,
relation/12832053,NOR_22
relation/12832053,wof-NOR_185
relation/12832053-420,NOR_22
relation/12832053-420,wof-NOR_185
relation/12969006-300,NOR_10
relation/12969006-300,wof-NOR_153
relation/13284562-300,NOR_70
relation/13284562-300,wof-NOR_291
relation/13447791-420,wof-NOR_158
relation/13989591-300,NOR_10
relation/13989591-300,wof-NOR_122
relation/17099135-300,NOR_9
relation/17099135-300,wof-NOR_152
relation/3993780-300,wof-NOR_216
relation/3993780-420,wof-NOR_216
relation/7802012-300,wof-NOR_157
relation/7805329-300,NOR_23
relation/7805329-300,wof-NOR_186
relation/7809753-300,NOR_12
relation/7809753-300,wof-NOR_154
relation/7812776-420,
relation/7814748-300,
relation/7839089-420,wof-NOR_220
relation/7839720-300,wof-NOR_243
relation/7839720-420,wof-NOR_243
relation/7842286-300,
relation/7845549-300,wof-NOR_216
relation/7847764-420,
relation/7851611-300,
relation/7854485-300,NOR_59
relation/7854485-420,NOR_59
relation/7879876-300,NOR_46
relation/7879879-420,NOR_59
relation/7883264-300,NOR_45
relation/7883882-300,NOR_45
relation/7928148,NOR_42
relation/7928148,wof-NOR_242
relation/7928148-420,NOR_42
relation/7928148-420,wof-NOR_242
relation/8182117-420,NOR_32
relation/8193470-300,NOR_30
relation/8193470-300,wof-NOR_182
relation/8196063-300,
relation/8206955-300,NOR_84
relation/8211981-300,
relation/8239198-300,NOR_84
