bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num
relation/8890887,,525.0,t,Substation,f,relation/8890887,6.7544309946114405,58.66906040668477,NO,525.0
NO15-420,,420.0,f,Substation,f,NO15,15.45019179999998,67.11210119785649,NO,420.0
NO27-420,,420.0,f,Substation,f,NO27,8.638899362720311,62.84886463528845,NO,420.0
NO55-300,,300.0,f,Substation,f,NO55,7.045665649450492,61.18033199721667,NO,300.0
NO90-420,,420.0,f,Substation,f,NO90,9.457948001302611,59.231361847007264,NO,420.0
way/254428135-420,,420.0,f,Substation,f,way/254428135,11.776470045121782,64.47813375524161,NO,420.0
NO26-400,,400.0,f,Substation,f,NO26,12.059395330098916,63.17665111946965,NO,400.0
NO5-400,,400.0,f,Substation,f,NO5,17.464234150290586,68.08164856428849,NO,400.0
relation/11981383,,450.0,t,Substation,f,relation/11981383,6.865913763398876,58.282510422352445,NO,450.0
relation/12832053,,515.0,t,Substation,f,relation/12832053,6.654776609920736,59.53010059373906,NO,515.0
relation/7928148,,500.0,t,Substation,f,relation/7928148,7.900400664968465,58.25974981208866,NO,500.0
relation/8473044-220,,220.0,f,Substation,f,relation/8473044,13.782692113781762,66.05082327954955,NO,220.0
way/60495669-420,,420.0,f,Substation,f,way/60495669,11.155547713004776,59.314499993066384,NO,420.0
