line_id,bus0,bus1,type,voltage,s_nom,length,geometry
NO_line_1,NO15-420,NO5-400,NO15-420;NO5-400,420.0,5630.549999999999,3148.7,
NO_line_2,NO15-420,relation/8473044-220,NO15-420;relation/8473044-220,420.0,1876.85,82746.52,
NO_line_3,NO27-420,NO26-400,NO26-400;NO27-420,420.0,2882.305,65935.81175050871,
NO_line_4,NO26-400,way/254428135-420,NO26-400;way/254428135-420,420.0,2882.305,66414.77219874371,
NO_line_5,way/60495669-420,NO26-400,NO26-400;way/60495669-420,300.0,1005.455,86262.39,
NO_line_6,NO55-300,NO27-420,NO27-420;NO55-300,420.0,3753.7,54719.02,
NO_line_7,way/60495669-420,NO27-420,NO27-420;way/60495669-420,300.0,2010.91,67209.52,
NO_line_10,NO55-300,NO90-420,NO55-300;NO90-420,420.0,3753.7,60873.060000000005,
NO_line_8,NO55-300,relation/12832053,NO55-300;relation/12832053,420.0,5898.67,21096.05382514194,
NO_line_11,NO55-300,way/60495669-420,NO55-300;way/60495669-420,420.0,1876.85,184817.73,
NO_line_14,relation/12832053,NO90-420,NO90-420;relation/12832053,420.0,4759.155,112833.14106696464,
NO_line_15,relation/7928148,NO90-420,NO90-420;relation/7928148,300.0,2010.91,50204.94,
NO_line_13,way/60495669-420,NO90-420,NO90-420;way/60495669-420,420.0,10791.885,55066.74530963312,
NO_line_17,relation/11981383,relation/7928148,relation/11981383;relation/7928148,420.0,1876.85,63375.63,
NO_line_18,relation/8890887,relation/11981383,relation/11981383;relation/8890887,420.0,4759.155,43855.324553549945,
NO_line_19,relation/12832053,relation/7928148,relation/12832053;relation/7928148,300.0,2010.91,54220.16499999999,
NO_line_20,relation/8890887,relation/12832053,relation/12832053;relation/8890887,420.0,8646.914999999999,43301.58615011828,
NO_line_21,relation/8890887,relation/7928148,relation/7928148;relation/8890887,420.0,3753.7,75759.75,
NO_line_22,way/254428135-420,relation/8473044-220,relation/8473044-220;way/254428135-420,420.0,3887.76,99899.68250590314,
