GEM location ID,bus_id
L100000406853,relation/12832053
L100000407847,FI1-220
L100000602883,NO90-420
L100000602884,FI1-220
L100000602885,relation/11981383
L100000602886,NO55-300
L100000602887,NO55-300
L100000602888,NO27-420
L100000602889,NO55-300
L100000602890,NO55-300
L100000602891,NO55-300
L100000602892,NO90-420
L100000602893,relation/12832053
L100000602894,relation/12832053
L100000602895,relation/12832053
L100000602896,way/60495669-420
L100000602897,NO26-400
L100000602898,NO27-420
L100000602899,relation/8890887
L100000602900,relation/12832053
L100000602901,NO27-420
L100000602902,relation/12832053
L100000602903,NO55-300
L100000602904,relation/12832053
L100000602905,relation/7928148
L100000602906,relation/8890887
L100000602907,NO55-300
L100000602908,NO55-300
L100000602909,NO27-420
L100000602910,NO27-420
L100000602911,NO5-400
L100000602912,NO27-420
L100000602913,NO90-420
L100000602914,NO55-300
L100000602915,NO90-420
L100000602916,NO55-300
L100000602917,relation/12832053
L100000602918,relation/12832053
L100000602919,NO55-300
L100000602920,way/60495669-420
L100000602921,relation/12832053
L100000602922,NO5-400
L100000602923,NO55-300
L100000602924,NO90-420
L100000602925,NO55-300
L100000602926,NO15-420
L100000602927,way/254428135-420
L100000602928,relation/12832053
L100000602929,relation/8890887
L100000602930,way/60495669-420
L100000602931,NO55-300
L100000602932,relation/8473044-220
L100000602933,NO55-300
L100000602934,NO15-420
L100000602935,relation/8890887
L100000602936,relation/8890887
L100000602937,NO90-420
L100000602938,relation/12832053
L100000602939,relation/12832053
L100000602940,relation/12832053
L100000602941,NO26-400
L100000602942,relation/12832053
L100000602943,NO55-300
L100000602944,NO26-400
L100000602945,NO27-420
L100000602946,relation/8473044-220
L100000602947,NO27-420
L100000602948,NO90-420
L100000602949,NO90-420
L100000602950,NO90-420
L100000602951,relation/12832053
L100000602952,way/60495669-420
L100000602953,relation/8473044-220
L100000602954,NO27-420
L100000602955,NO55-300
L100000602956,relation/8473044-220
L100000602957,way/60495669-420
L100000602958,NO55-300
L100000602959,NO26-400
L100000602960,NO26-400
L100000602961,relation/12832053
L100000602962,NO27-420
L100000602963,NO90-420
L100000602964,way/60495669-420
L100000602965,relation/12832053
L100000602966,NO15-420
