line_id,bus0,bus1,type,voltage,s_nom,length,network_country,r,x,b,bus0_name,bus1_name,link_name
NO_line_1,NO1-420,way/572898616-420,NO1-420;way/572898616-420,420,3753.7,87389.88,NO,,,,Narvik,Finnsnes,Narvik-Finnsnes
NO_line_2,NO10-420,NO5-400,NO10-420;NO5-400,420,1876.85,27529.36,NO,,,,NOR68p0N16p4E,NOR68p1N17p5E,NOR68p1N17p5E-NOR68p0N16p4E
NO_line_3,NO14-420,NO10-420,NO10-420;NO14-420,420,1876.85,32142.42,NO,,,,Fauske,NOR68p0N16p4E,NOR68p0N16p4E-Fauske
NO_line_4,NO15-420,NO14-420,NO14-420;NO15-420,420,1876.85,35167.82,NO,,,,NOR67p1N15p5E,Fauske,NOR67p1N15p5E-Fauske
NO_line_5,NO15-420,NO18-420,NO15-420;NO18-420,420,1876.85,82746.52,NO,,,,NOR67p1N15p5E,Bodo,Bodo-NOR67p1N15p5E
NO_line_6,NO18-420,relation/8473044-420,NO18-420;relation/8473044-420,420,5630.549999999999,2212.6000000000004,NO,,,,Bodo,MoIRana,MoIRana-Bodo
NO_line_7,NO5-400,NO1-420,NO1-420;NO5-400,420,3753.7,32395.83,NO,,,,NOR68p1N17p5E,Narvik,Narvik-NOR68p1N17p5E
NO_line_8,NO31-420,NO27-420,NO27-420;NO31-420,420,3753.7,97185.09500000002,NO,,,,Alesund,Kristiansund,Kristiansund-Alesund
NO_line_9,NO27-420,way/265770276-300,NO27-420;way/265770276-300,300,1005.455,97654.86,NO,,,,Kristiansund,Faberg,Kristiansund-Faberg
NO_line_10,NO27-420,way/287685850-420,NO27-420;way/287685850-420,420,4759.155,73986.31494915589,NO,,,,Kristiansund,Trondheim,Trondheim-Kristiansund
NO_line_11,NO41-420,NO31-420,NO31-420;NO41-420,420,1876.85,21211.65,NO,,,,Volda,Alesund,Alesund-Volda
NO_line_12,NO41-420,NO51-420,NO41-420;NO51-420,420,1876.85,28033.14,NO,,,,Volda,Sogndal,Sogndal-Volda
NO_line_13,NO51-420,NO46-300,NO46-300;NO51-420,300,2010.91,17569.97,NO,,,,Sogndal,NOR61p5N7p6E,Sogndal-NOR61p5N7p6E
NO_line_14,NO46-300,relation/7847764-420,NO46-300;relation/7847764-420,300,1005.455,41400.93,NO,,,,NOR61p5N7p6E,NOR60p4N8p6E,NOR60p4N8p6E-NOR61p5N7p6E
NO_line_15,NO60-300,NO51-420,NO51-420;NO60-300,300,2010.91,21153.09,NO,,,,Lindas,Sogndal,Sogndal-Lindas
NO_line_16,NO69-420,NO51-420,NO51-420;NO69-420,300,1005.455,35729.47,NO,,,,Voss,Sogndal,Voss-Sogndal
