GEM location ID,bus_id,bus_name
L100001048152,way/60495669-420,Sarpsborg
L100000407847,way/883151328-420,Alta
L100000406853,NO60-300,Lindas
L100001073674,relation/10308957-300,Oslo
L100001073678,relation/10308957-300,Oslo
L100001073680,relation/10308957-300,Oslo
L100001074806,way/358915801-420,Arendal
L100001074766,relation/7928148,Kristiansand
L100001074827,way/60495669-420,Sarpsborg
L100001074836,way/60495669-420,Sarpsborg
L100001074833,way/297388897-300,Ringsaker
L100001074815,way/287115458-300,Drammen
L100001074795,way/297388897-300,Ringsaker
L100001074809,relation/7883882-300,Notodden
L100001074767,way/287115458-300,Drammen
L100001074816,way/297388897-300,Ringsaker
L100001074829,NO90-420,Skien
L100001074820,NO90-420,Skien
L100001074778,way/60495669-420,Sarpsborg
L100001074797,way/60495669-420,Sarpsborg
L100001074780,NO90-420,Skien
L100001074781,relation/10308957-300,Oslo
L100001074792,NO90-420,Skien
L100001074768,relation/11981383,Lyngdal
L100001074838,way/358915801-420,Arendal
L100001074783,way/60495669-420,Sarpsborg
L100001074814,way/114414014-420,Fredrikstad
L100001074772,NO90-420,Skien
L100001073676,way/60495669-420,Sarpsborg
L100001046554,way/297388897-300,Ringsaker
L100001046560,relation/7883882-300,Notodden
L100001074812,relation/10308957-300,Oslo
L100001074811,NO90-420,Skien
L100001074807,way/358915801-420,Arendal
L100001007656,relation/8527323-420,Stjordalshalsen
L100001046563,relation/10308957-300,Oslo
L100001074764,relation/7928148,Kristiansand
L100001074824,relation/10308957-300,Oslo
L100001074803,relation/10308957-300,Oslo
L100001074832,way/297388897-300,Ringsaker
L100001074810,way/287115458-300,Drammen
L100001074825,NO90-420,Skien
L100001074793,relation/13989591-300,Haugesund
L100001074791,NO90-420,Skien
L100001046564,relation/10308957-300,Oslo
L100001074798,way/60495669-420,Sarpsborg
L100001074834,way/287115458-300,Drammen
L100001074801,NO90-420,Skien
L100001074817,way/297388897-300,Ringsaker
L100001074819,way/297388897-300,Ringsaker
L100001074804,NO90-420,Skien
L100001074800,way/60495669-420,Sarpsborg
L100001074773,way/265770276-300,Faberg
L100001074823,way/297388897-300,Ringsaker
L100001074822,way/297388897-300,Ringsaker
L100001046562,relation/10308957-300,Oslo
L100001074821,NO90-420,Skien
L100001074771,way/297388897-300,Ringsaker
L100001074818,way/297388897-300,Ringsaker
L100001074785,relation/10308957-300,Oslo
L100001074770,relation/10308957-300,Oslo
L100001074765,relation/10308957-300,Oslo
L100001074784,way/297388897-300,Ringsaker
L100001074776,way/297388897-300,Ringsaker
L100001074782,relation/13989591-300,Haugesund
L100001074808,relation/10308957-300,Oslo
L100001074789,way/287115458-300,Drammen
L100001046561,way/297388897-300,Ringsaker
