bus_id,grid_cell,bus_name
NO1-420,,Narvik
NO10-420,wof-NOR_449,NOR68p0N16p4E
NO10-420,wof-NOR_449,NOR68p0N16p4E
NO10-420,wof-NOR_449,NOR68p0N16p4E
NO10-420,wof-NOR_449,NOR68p0N16p4E
NO14-420,wof-NOR_449,Fauske
NO15-420,wof-NOR_434,NOR67p1N15p5E
NO15-420,wof-NOR_434,NOR67p1N15p5E
NO18-420,wof-NOR_403,Bodo
NO18-420,wof-NOR_403,Bodo
NO1-420,,Narvik
NO18-420,wof-NOR_403,Bodo
NO18-420,wof-NOR_403,Bodo
NO18-420,wof-NOR_403,Bodo
NO18-420,wof-NOR_403,Bodo
NO18-420,wof-NOR_402,Bodo
relation/8473044-420,wof-NOR_402,MoIRana
relation/8527323-420,,Stjordalshalsen
relation/8527323-420,,Stjordalshalsen
NO27-420,wof-NOR_243,Kristiansund
NO27-420,wof-NOR_243,Kristiansund
NO27-420,wof-NOR_243,Kristiansund
NO27-420,wof-NOR_243,Kristiansund
NO27-420,wof-NOR_243,Kristiansund
NO27-420,wof-NOR_243,Kristiansund
NO5-400,wof-NOR_463,NOR68p1N17p5E
NO27-420,wof-NOR_243,Kristiansund
NO27-420,wof-NOR_243,Kristiansund
NO31-420,wof-NOR_191,Alesund
NO31-420,wof-NOR_191,Alesund
NO31-420,wof-NOR_191,Alesund
NO31-420,wof-NOR_191,Alesund
NO31-420,wof-NOR_190,Alesund
NO31-420,wof-NOR_159,Alesund
NO41-420,wof-NOR_159,Volda
NO5-400,wof-NOR_463,NOR68p1N17p5E
NO41-420,wof-NOR_190,Volda
NO41-420,wof-NOR_159,Volda
NO41-420,wof-NOR_159,Volda
NO41-420,wof-NOR_128,Volda
NO41-420,wof-NOR_128,Volda
way/265770276-300,,Faberg
NO46-300,,NOR61p5N7p6E
NO46-300,,NOR61p5N7p6E
NO46-300,,NOR61p5N7p6E
NO51-420,,Sogndal
NO5-400,wof-NOR_463,NOR68p1N17p5E
NO5-400,wof-NOR_463,NOR68p1N17p5E
NO51-420,wof-NOR_188,Sogndal
