GEM location ID,bus_id
L100000201418,way/87928925-220
L100000407928,way/188180344-220
L100000103096,way/167293888-220
L100000406870,relation/17609399-220
L100000406865,relation/17609399-220
L100000406866,relation/17609399-220
L100000406871,relation/17609399-220
L100000906082,way/95512216-220
L100000906084,way/95343089-220
L100000906085,way/167572576-220
L100000906086,NZ9-220
L100000906088,way/95343089-220
L100000906095,way/1026587442-220
L100000906123,NZ24-220
L100000906177,way/270521928-220
L100000906180,way/95344674-220
L100000906181,NZ42-220
L100000906183,way/167572576-220
L100001016335,way/268841395-220
L100000805610,way/167283894-220
L100000805611,way/89943957-220
L100000805649,way/33795353-220
L100000809171,way/268826084-220
L100001020443,way/89943957-220
L100000805613,NZ3-220
L100000805612,way/95048289-220
L100000827518,way/89943957-220
L100001025534,NZ13-220
L100001025532,NZ27-220
L100001025533,way/75609279-220
L100001025531,relation/17609399-220
L100001026047,way/148300699-220
L100001043029,way/148300699-220
L100000700077,way/148300699-220
L100000700109,NZ15-220
L100000700121,way/270554679-220
L100000700122,way/255873374-220
L100000700123,way/89943957-220
L100000700129,way/270556206-220
L100000700141,NZ16-220
L100000700150,way/270554679-220
L100000700170,NZ17-220
L100001004539,way/148300699-220
L100001025879,NZ17-220
L100000700171,way/275188676-220
L100001004540,way/148300699-220
L100001043033,way/167285260-220
L100000700189,way/167285260-220
L100000602817,NZ12-220
L100000602818,way/270018358-220
L100001023138,way/93556808-220
L100000602819,way/89637174-220
L100000602820,way/89664063-220
L100000602821,NZ40-220
L100000602822,NZ11-220
L100000602823,way/412589726-220
L100000602824,way/87928925-220
L100000602825,way/87928925-220
L100000604280,NZ13-220
L100000602826,way/272522517-220
L100000602827,NZ33-220
L100000602828,NZ35-220
L100000602829,way/89636266-220
L100000602830,NZ22-220
L100000602831,way/180514007-220
L100000602832,NZ30-220
L100000602833,way/89411122-220
L100001023139,way/95512216-220
L100001023140,way/169512273-220
L100001025971,way/270521928-220
L100000602834,way/89637173-220
L100000602835,NZ14-220
