bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country
way/30618817-230,way/30618817,230.0,f,Substation,f,way/30618817,120.99861449916652,14.58054020821738,PH
way/30665662-500,way/30665662,500.0,f,Substation,f,way/30665662,121.04737835459552,14.820744999828204,PH
way/30665662-230,way/30665662,230.0,f,Substation,f,way/30665662,121.04710904070684,14.821005512058804,PH
way/62214652-230,way/62214652,230.0,f,Substation,f,way/62214652,121.29747428149156,14.16809424763821,PH
way/79080873-230,way/79080873,230.0,f,Substation,f,way/79080873,120.93547130999195,14.19661526717343,PH
way/90992537-230,way/90992537,230.0,f,Substation,f,way/90992537,121.07663090269916,14.33074822000773,PH
way/91196376-230,way/91196376,230.0,f,Substation,f,way/91196376,121.0574658006626,14.263222799721111,PH
way/97533269-230,way/97533269,230.0,f,Substation,f,way/97533269,121.48567690406708,14.308885893140358,PH
way/97816397-230,way/97816397,230.0,f,Substation,f,way/97816397,121.13973649982456,14.572084127081766,PH
way/98436507-230,way/98436507,230.0,f,Substation,f,way/98436507,120.95252940863406,14.787261465535416,PH
way/98564119-230,way/98564119,230.0,f,Substation,f,way/98564119,121.2126664247094,14.09189873196482,PH
way/99286335-230,way/99286335,230.0,f,Substation,f,way/99286335,121.07653009342272,13.82003065586522,PH
way/102135259-230,way/102135259,230.0,f,Substation,f,way/102135259,120.716503511049,15.05420199102475,PH
way/102140324-230,way/102140324,230.0,f,Substation,f,way/102140324,120.617331955434,15.37747738800944,PH
way/102369229-230,way/102369229,230.0,f,Substation,f,way/102369229,120.56252616577564,15.22856696852538,PH
way/106522035-138,way/106522035,138.0,f,Substation,f,way/106522035,124.97144971652992,7.549554847991146,PH
way/106994179-230,way/106994179,230.0,f,Substation,f,way/106994179,125.01823045038988,7.7121678769040765,PH
way/106994179-138,way/106994179,138.0,f,Substation,f,way/106994179,125.01795752117192,7.712455008836835,PH
way/615643343-230,way/615643343,230.0,f,Substation,f,way/615643343,120.493592575527,14.869653546309046,PH
