GEM location ID,bus_id
L100000500432,PH42-230
L100001016306,PH26-230
L100000200070,way/281402425-138
L100000200710,PH124-138
L100000200069,way/794493572-230
L100000200711,way/281402425-138
L100000200712,way/106994179-230
L100000200027,relation/2412468-230
L100000200071,way/281402425-138
L100000200713,way/1426217205-230
L100000408100,way/936835406-230
L100000103162,way/936835406-500
L100000408075,PH48-230
L100000405959,way/444278653-500
L100000407927,way/444278653-500
L100000408099,PH7-230
L100000408926,way/493029880-138
L100000408078,way/30665662-230
L100000408098,way/280280151-230
L100000408097,way/280280151-230
L100000408096,way/808513421-138
L100000405342,way/444278653-500
L100000408095,way/1177962161-230
L100000103160,way/280280151-230
L100000407365,PH120-230
L100000103189,way/437997792-230
L100000408094,way/1177962161-230
L100000408077,relation/2412468-230
L100000408104,relation/2412468-230
L100000408102,relation/2412468-230
L100000407925,way/98436507-230
L100000405343,way/444226898-500
L100000103166,way/444226898-230
L100000408076,PH48-230
L100000104540,PH60-230
L100000408113,PH56-230
L100000405345,way/444273204-230
L100000405346,way/444273204-230
L100000408111,way/238203197-138
L100000407924,way/238203197-138
L100000405347,way/449224249-230
L100000405348,way/444273204-230
L100000407364,PH54-230
L100000408109,PH41-230
L100000103178,PH40-230
L100000408107,PH132-138
L100000408106,way/399336540-138
L100000408105,relation/2412468-230
L100000407803,way/444273204-230
L100000408110,way/490385286-138
L100000103192,PH113-138
L100000103170,PH24-230
L100000103165,way/449224249-230
L100000104808,PH94-138
L100000103200,PH75-138
L100000103184,PH137-230
L100000103185,way/529099406-230
L100000103171,PH54-500
L100000103197,PH139-138
L100000103193,PH120-230
L100000103173,PH49-230
L100000103174,PH24-230
L100000103175,PH54-230
L100000103176,PH19-230
L100000103194,way/573739204-138
L100000103195,way/573739204-138
L100000103181,way/229365726-138
L100000103202,PH88-138
L100000104980,PH49-230
L100000103167,PH59-230
L100000103168,PH56-230
L100000104539,PH53-500
L100000103190,way/193890454-220
L100000103182,PH96-230
L100000103183,PH94-138
L100000104611,PH31-230
L100000103205,way/238203197-138
L100000900717,way/444278653-500
L100000900718,way/1177962161-230
L100000900882,way/896657928-230
L100000900884,way/896657928-230
L100000900885,way/896657928-230
L100000900997,PH70-138
L100000900998,way/444278653-500
L100000901038,PH88-138
L100000901041,way/896657928-230
L100000901043,way/1177962161-230
L100000901083,PH56-230
L100000901084,PH68-138
L100000901085,PH62-230
L100000901103,relation/2412468-230
L100000901130,way/528730876-230
L100000901222,way/444273204-230
L100000901266,way/90992537-230
L100000901297,way/1020283720-230
L100000901298,PH49-230
L100000901299,PH86-138
L100000901300,way/280280151-230
L100000901302,PH60-230
L100000901354,way/99286335-230
L100000901355,PH16-230
L100000901356,PH71-138
L100000901357,PH104-230
L100000901360,relation/15283858-230
L100000901361,way/528730876-230
L100000901364,PH17-230
L100000901366,way/98564119-230
L100000901368,way/168703936-230
L100000901372,way/62214652-230
L100000901376,way/1421576367-230
L100000901377,relation/15283858-138
L100000901378,PH60-230
L100000901382,way/1020283720-230
L100000901383,relation/17887902-230
L100000901385,way/1177962161-230
L100000901386,way/1177962161-230
L100000901389,way/232340888-230
L100000916759,way/896657928-230
L100000916761,PH68-138
L100000916762,way/896657928-230
L100000916764,way/896657928-230
L100000916765,way/896657928-230
L100000916766,way/449224249-230
L100000916767,way/320387375-138
L100000916769,way/1020283720-230
L100000916771,way/896657928-230
L100000916772,way/896657928-230
L100000916773,PH60-230
L100000916774,PH56-230
L100000916775,PH45-500
L100000916776,PH66-230
L100000916778,PH22-500
L100000916779,way/315261197-230
L100000922019,PH1-230
L100000922020,way/280280151-230
L100000922031,PH22-500
L100000922032,way/896657928-230
L100000922033,PH59-230
L100000922041,PH22-500
L100000922047,PH88-138
L100000922048,way/444278653-500
L100000922050,way/896657928-230
L100000922051,way/156958991-230
L100000922053,way/444278653-500
L100000922055,way/280280151-230
L100000922056,PH22-500
L100000922057,PH62-230
L100000922060,way/315261197-230
L100000922061,PH54-500
L100000922062,way/149967511-230
L100000922064,way/232340888-230
L100000922071,way/896657928-230
L100000922072,PH75-138
L100000922080,PH75-138
L100000922086,PH88-138
L100000922087,way/246390064-230
L100000922095,PH87-138
L100000922096,PH87-138
L100000922097,PH88-138
L100000922098,PH88-138
L100000922099,relation/15283858-138
L100000922122,way/896657928-230
L100000922123,way/896657928-230
L100000922124,PH1-230
L100000922125,PH88-138
L100000922126,way/504311565-230
L100000922127,PH88-138
L100000922134,way/281402425-138
L100000922140,way/1177962161-230
L100000922147,way/97533269-230
L100000922148,PH125-138
L100000922150,way/444278653-500
L100000922151,PH56-230
L100000922152,way/320387375-138
L100000922154,way/30618817-230
L100000922157,PH53-500
L100000922165,way/794493572-230
L100000922166,relation/15283858-138
L100000922167,PH86-138
L100000922168,PH89-138
L100000922169,way/281402425-138
L100000922174,way/444278653-500
L100000922175,way/1020283720-230
L100000922176,way/896657928-230
L100000922177,way/444278653-500
L100000922178,PH67-138
