bus_id,grid_cell
way/30618817-230,PHL_78
way/30618817-230,wof-PHL_402
way/30665662-500,PHL_79
way/30665662-500,wof-PHL_402
way/30665662-230,PHL_79
way/30665662-230,wof-PHL_402
way/62214652-230,PHL_100
way/62214652-230,wof-PHL_401
way/79080873-230,PHL_78
way/79080873-230,wof-PHL_401
way/90992537-230,PHL_78
way/90992537-230,wof-PHL_401
way/91196376-230,PHL_78
way/91196376-230,wof-PHL_401
way/97533269-230,PHL_101
way/97533269-230,wof-PHL_435
way/97816397-230,PHL_101
way/97816397-230,wof-PHL_402
way/98436507-230,PHL_79
way/98436507-230,wof-PHL_402
way/98564119-230,PHL_100
way/98564119-230,wof-PHL_401
way/99286335-230,PHL_77
way/99286335-230,wof-PHL_400
way/102135259-230,PHL_79
way/102140324-230,PHL_59
way/102369229-230,PHL_59
way/106522035-138,PHL_260
way/106994179-230,PHL_260
way/106994179-138,PHL_260
way/615643343-230,PHL_58
way/615643343-230,wof-PHL_366
way/116434364-138,PHL_276
way/116434364-138,wof-PHL_764
way/118685028-230,PHL_79
way/118685028-230,wof-PHL_366
way/120024023-230,PHL_80
way/120493460-138,PHL_241
way/120493460-138,wof-PHL_659
way/141727571-138,PHL_225
way/148697558-230,PHL_292
way/148697558-230,wof-PHL_764
way/148697558-138,PHL_292
way/148697558-138,wof-PHL_764
way/149967511-230,PHL_78
way/149967511-230,wof-PHL_401
way/153737206-138,PHL_262
way/153737206-138,wof-PHL_696
way/156958991-230,PHL_79
way/157339625-500,PHL_43
way/157339625-500,wof-PHL_330
way/157339625-230,PHL_43
way/157339625-230,wof-PHL_330
way/157355359-500,PHL_82
way/157355359-500,wof-PHL_368
way/157355359-230,PHL_82
way/157355359-230,wof-PHL_368
way/168703936-230,PHL_202
way/168703936-230,wof-PHL_594
way/196665153-138,PHL_306
way/196665153-138,wof-PHL_827
way/222760842-138,PHL_229
way/222760842-138,wof-PHL_626
way/222762510-230,PHL_229
way/222762510-230,wof-PHL_627
way/222762510-138,PHL_229
way/222762510-138,wof-PHL_627
way/229365726-138,PHL_212
way/229365726-138,wof-PHL_626
way/230069858-230,PHL_218
way/230069858-230,wof-PHL_632
way/232340888-230,PHL_41
way/232340888-230,wof-PHL_328
way/232660843-230,PHL_106
way/238203197-138,PHL_115
way/238203197-138,wof-PHL_457
way/239879814-230,PHL_106
way/242578663-138,PHL_227
way/242578663-138,wof-PHL_625
way/245298515-138,PHL_266
way/245298515-138,wof-PHL_700
way/245730451-138,PHL_177
way/245730451-138,wof-PHL_548
way/246390064-230,PHL_231
way/246390064-230,wof-PHL_667
way/247012858-138,PHL_177
way/247012858-138,wof-PHL_547
way/249247868-230,PHL_83
way/1181079740-138,PHL_193
way/1181079740-138,wof-PHL_585
way/277857173-138,PHL_193
way/277857173-138,wof-PHL_584
way/280280151-230,PHL_184
way/280280151-230,wof-PHL_554
way/281402425-138,PHL_174
way/281402425-138,wof-PHL_545
way/289700831-138,PHL_240
way/296127164-230,PHL_104
way/315261197-500,PHL_125
way/315261197-500,wof-PHL_434
way/315261197-230,PHL_125
way/315261197-230,wof-PHL_434
way/320387375-138,PHL_281
way/320387375-138,wof-PHL_768
way/332492141-138,PHL_229
way/332492141-138,wof-PHL_626
way/343559372-230,PHL_132
way/371684274-138,PHL_257
way/371684274-138,wof-PHL_730
way/399336540-138,PHL_280
way/399336540-138,wof-PHL_732
way/401263861-138,PHL_243
way/437997792-230,PHL_62
way/437997792-230,wof-PHL_332
way/437997811-230,PHL_62
way/437997811-230,wof-PHL_331
way/441813430-230,PHL_78
way/441813430-230,wof-PHL_401
way/441960851-230,PHL_64
way/441960851-230,wof-PHL_333
way/444226898-230,PHL_125
way/444226898-230,wof-PHL_434
way/444273204-230,PHL_77
way/444273204-230,wof-PHL_400
way/444278653-500,PHL_76
way/444278653-500,wof-PHL_400
way/447958186-230,PHL_235
way/447958186-230,wof-PHL_632
way/449224249-230,PHL_77
way/449224249-230,wof-PHL_364
way/449725900-138,PHL_262
way/449725900-138,wof-PHL_696
way/449725899-138,PHL_262
way/449725899-138,wof-PHL_696
way/449725900-230,PHL_262
way/449725900-230,wof-PHL_696
way/485597451-138,PHL_280
way/485597451-138,wof-PHL_766
way/487856247-230,PHL_275
way/487856247-230,wof-PHL_731
way/487856247-138,PHL_275
way/487856247-138,wof-PHL_731
way/490385286-138,PHL_142
way/490385286-138,wof-PHL_457
way/493029880-138,PHL_247
way/493029880-138,wof-PHL_665
way/493145451-230,PHL_250
way/493145451-230,wof-PHL_702
way/494514586-138,PHL_295
way/494514586-138,wof-PHL_799
way/504311565-138,PHL_196
way/504311565-138,wof-PHL_588
way/528730876-230,PHL_60
way/528730876-230,wof-PHL_330
way/529099406-230,PHL_275
way/529099406-230,wof-PHL_764
way/529099406-138,PHL_275
way/529099406-138,wof-PHL_764
way/529159678-138,PHL_176
way/529159678-138,wof-PHL_506
way/542427619-138,PHL_244
way/542427619-138,wof-PHL_696
way/549891834-230,PHL_62
way/573739204-138,PHL_262
way/573739204-138,wof-PHL_696
way/611678737-138,PHL_212
way/611678737-138,wof-PHL_626
way/615643343-500,PHL_58
way/615643343-500,wof-PHL_366
way/616007566-138,PHL_229
way/616007566-138,wof-PHL_626
way/616047139-138,PHL_193
way/616047139-138,wof-PHL_584
way/616810561-138,PHL_170
way/616810561-138,wof-PHL_500
way/616829150-138,PHL_208
way/616829150-138,wof-PHL_582
way/616838559-138,PHL_212
way/616838559-138,wof-PHL_626
way/617028749-138,PHL_292
way/617028749-138,wof-PHL_765
way/617028751-138,PHL_293
way/665059973-230,PHL_212
way/665059973-230,wof-PHL_626
way/665059973-138,PHL_212
way/665059973-138,wof-PHL_626
way/706378329-230,PHL_101
way/706378329-230,wof-PHL_401
way/727170005-230,PHL_106
way/794493572-500,PHL_77
way/794493572-500,wof-PHL_364
way/808513421-138,PHL_244
way/808513421-138,wof-PHL_661
way/815791884-138,PHL_262
way/815791884-138,wof-PHL_696
way/852393053-500,PHL_57
way/852393053-500,wof-PHL_365
way/880523791-230,PHL_78
way/880523791-230,wof-PHL_402
way/936835406-500,PHL_125
way/936835406-500,wof-PHL_434
way/936835406-230,PHL_125
way/936835406-230,wof-PHL_434
way/1020283720-230,PHL_133
way/1020283720-230,wof-PHL_441
way/1060888354-230,PHL_102
way/1060888354-230,wof-PHL_402
way/1064535276-230,PHL_225
way/1064535276-230,wof-PHL_621
way/1064535276-138,PHL_225
way/1064535276-138,wof-PHL_621
way/1074804040-500,PHL_79
way/1074804040-500,wof-PHL_402
way/504311565-230,PHL_196
way/504311565-230,wof-PHL_588
relation/15283858-230,PHL_196
relation/15283858-230,wof-PHL_546
relation/15283858-138,PHL_196
relation/15283858-138,wof-PHL_546
way/1177962161-230,PHL_101
way/1177962161-230,wof-PHL_401
way/1180784011-230,PHL_211
way/1180784011-230,wof-PHL_586
way/1206042380-500,PHL_58
way/1206042380-500,wof-PHL_328
way/1206042380-230,PHL_58
way/1206042380-230,wof-PHL_328
way/1268841071-230,PHL_250
way/1268841071-230,wof-PHL_702
way/1268841071-138,PHL_250
way/1268841071-138,wof-PHL_702
way/1332408417-230,PHL_212
way/1332408417-230,wof-PHL_587
way/1356506547-230,PHL_59
way/1362017481-138,PHL_212
way/1362017481-138,wof-PHL_587
way/1421576367-230,PHL_235
way/1421576367-230,wof-PHL_632
way/1426217205-138,PHL_196
way/1426217205-138,wof-PHL_547
relation/2412468-230,PHL_79
relation/2412468-230,wof-PHL_402
relation/8601923-500,PHL_78
relation/8601923-500,wof-PHL_401
relation/8601923-230,PHL_78
relation/8601923-230,wof-PHL_401
relation/17887902-230,PHL_78
relation/17887902-230,wof-PHL_402
PH58-500,PHL_100
PH58-500,wof-PHL_401
PH47-500,PHL_101
PH47-500,wof-PHL_402
PH55-230,PHL_101
PH55-230,wof-PHL_435
PH26-230,PHL_79
PH20-230,PHL_59
PH23-230,PHL_59
PH118-138,PHL_225
PH118-138,wof-PHL_661
PH119-138,PHL_225
PH119-138,wof-PHL_661
PH125-138,PHL_225
PH37-230,PHL_58
PH37-230,wof-PHL_327
PH124-138,PHL_306
PH124-138,wof-PHL_827
PH127-138,PHL_306
PH60-230,PHL_155
PH60-230,wof-PHL_472
PH100-138,PHL_212
PH100-138,wof-PHL_626
PH77-230,PHL_250
PH77-230,wof-PHL_702
PH79-138,PHL_250
PH79-138,wof-PHL_702
PH82-138,PHL_176
PH81-138,PHL_177
PH81-138,wof-PHL_547
PH13-230,PHL_43
PH13-230,wof-PHL_330
PH9-230,PHL_82
PH48-230,PHL_57
PH48-230,wof-PHL_366
PH54-230,PHL_57
PH54-230,wof-PHL_365
PH94-138,PHL_212
PH94-138,wof-PHL_626
PH18-230,PHL_81
PH18-230,wof-PHL_367
PH89-138,PHL_148
PH89-138,wof-PHL_506
PH90-138,PHL_118
PH90-138,wof-PHL_465
PH72-138,PHL_269
PH72-138,wof-PHL_738
PH71-138,PHL_150
PH71-138,wof-PHL_468
PH15-230,PHL_104
PH7-230,PHL_62
PH7-230,wof-PHL_331
PH11-230,PHL_82
PH11-230,wof-PHL_368
PH64-230,PHL_219
PH64-230,wof-PHL_593
PH5-230,PHL_62
PH5-230,wof-PHL_332
PH3-230,PHL_63
PH59-230,PHL_77
PH59-230,wof-PHL_364
PH138-138,PHL_274
PH138-138,wof-PHL_730
PH12-230,PHL_82
PH12-230,wof-PHL_368
PH49-230,PHL_57
PH49-230,wof-PHL_366
PH121-138,PHL_225
PH39-230,PHL_58
PH39-230,wof-PHL_327
PH41-230,PHL_58
PH41-230,wof-PHL_327
PH84-138,PHL_249
PH84-138,wof-PHL_667
PH83-138,PHL_249
PH83-138,wof-PHL_667
PH112-138,PHL_296
PH112-138,wof-PHL_766
PH136-138,PHL_276
PH74-138,PHL_268
