bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num,station_id
way/139452056-400,400.0,f,Substation,f,way/139452056,18.54120295140496,50.12309625144536,PL,400.0,
way/183945016-220,220.0,f,Substation,f,way/183945016,18.849567300984408,50.13060144215547,PL,220.0,
way/255277953-400,400.0,f,Substation,f,way/255277953,17.87269532148616,50.74654469659753,PL,400.0,
way/44389929-220,220.0,f,Substation,f,way/44389929,19.21274027524906,49.84240724566758,PL,220.0,
way/303870256-400,400.0,f,Substation,f,way/303870256,22.30185788377095,53.75758694629275,PL,400.0,way/303870256
way/29115701-220,220.0,f,Substation,f,way/29115701,20.877296701170323,52.21443954096648,PL,220.0,way/29115701
way/39428977-400,400.0,f,Substation,f,way/39428977,14.476073038134793,53.19612477284645,PL,400.0,way/39428977
way/86494356-400,400.0,f,Substation,f,way/86494356,18.10933402629953,54.71883295632564,PL,400.0,way/86494356
way/111615226-220,220.0,f,Substation,f,way/111615226,15.114048637999918,51.092587962369954,PL,220.0,way/111615226
way/133537926-220,220.0,f,Substation,f,way/133537926,19.29195378291049,50.16369508994721,PL,220.0,way/133537926
way/191035265-220,220.0,f,Substation,f,way/191035265,20.94477068176789,50.06382099273164,PL,220.0,way/191035265
way/293484891-220,220.0,f,Substation,f,way/293484891,19.328367738135,51.3160356439981,PL,220.0,way/293484891
PL75-220,220.0,f,Substation,f,PL75,18.690068508639264,49.888401941940245,PL,220.0,PL75
PL17-400,400.0,f,Substation,f,PL17,22.9435906,52.9345914951098,PL,400.0,PL17
way/255314292,450.0,t,Substation,f,way/255314292,16.89038355962467,54.50215260847131,PL,450.0,way/255314292
way/166838338-400,400.0,f,Substation,f,way/166838338,21.852623292646182,49.68822606461448,PL,400.0,
way/173613665-220,220.0,f,Substation,f,way/173613665,23.292570654205857,50.71673595921313,PL,220.0,
way/215282393-400,400.0,f,Substation,f,way/215282393,21.87079962455832,50.19092652750792,PL,400.0,
