line_id,bus0,bus1,type,voltage,s_nom,length,network_country,geometry,bus0_name,bus1_name,link_name
PL_line_1,PL15-400,PL7-400,PL15-400;PL7-400,400.0,1787.476,70285.69,PL,,Bydgoszcz,Kwidzyn,Bydgoszcz-Kwidzyn
PL_line_2,PL15-400,way/112614319-400,PL15-400;way/112614319-400,220.0,491.556,106175.92,PL,,Bydgoszcz,Gdansk,Gdansk-Bydgoszcz
PL_line_3,way/255284259-220,PL15-400,PL15-400;way/255284259-220,400.0,4558.065,94104.35677166298,PL,,Konin,Bydgoszcz,Konin-Bydgoszcz
PL_line_4,PL15-400,way/32036484-220,PL15-400;way/32036484-220,400.0,2279.032,82912.13156896437,PL,,Bydgoszcz,Poznan,Poznan-Bydgoszcz
PL_line_5,PL15-400,way/46092396-400,PL15-400;way/46092396-400,220.0,491.556,73575.49,PL,,Bydgoszcz,Grudziadz,Grudziadz-Bydgoszcz
PL_line_6,way/121656686-220,PL17-400,PL17-400;way/121656686-220,400.0,3574.952,89862.98,PL,,Lomza,Bialystok,Lomza-Bialystok
PL_line_7,PL18-400,way/158232924-220,PL18-400;way/158232924-220,220.0,491.556,91078.36,PL,,GorzowWielkopolski,ZielonaGora,GorzowWielkopolski-ZielonaGora
PL_line_8,way/32036484-220,PL18-400,PL18-400;way/32036484-220,400.0,3574.953,140479.72,PL,,Poznan,GorzowWielkopolski,Poznan-GorzowWielkopolski
PL_line_9,way/39428977-400,PL18-400,PL18-400;way/39428977-400,220.0,491.556,91820.35,PL,,Szczecin,GorzowWielkopolski,Szczecin-GorzowWielkopolski
PL_line_10,way/39428977-400,PL18-400,PL18-400;way/39428977-400,400.0,1787.476,69561.68,PL,,Szczecin,GorzowWielkopolski,Szczecin-GorzowWielkopolski2
PL_line_11,PL34-400,PL46-220,PL34-400;PL46-220,220.0,491.556,43074.0,PL,,Legnica,Swidnica,Legnica-Swidnica
PL_line_12,way/111615226-220,PL34-400,PL34-400;way/111615226-220,220.0,983.112,98011.58,PL,,Boleslawiec,Legnica,Legnica-Boleslawiec
PL_line_13,way/111615226-220,PL34-400,PL34-400;way/111615226-220,400.0,4066.509,92710.85330329774,PL,,Boleslawiec,Legnica,Legnica-Boleslawiec2
PL_line_14,PL34-400,way/180535363-220,PL34-400;way/180535363-220,400.0,3574.953,22750.17,PL,,Legnica,Lubin,Legnica-Lubin
PL_line_15,PL34-400,way/79033485-400,PL34-400;way/79033485-400,400.0,5362.429,48654.94053146251,PL,,Legnica,Wroclaw,Legnica-Wroclaw
PL_line_16,PL36-400,way/171917072-400,PL36-400;way/171917072-400,400.0,1787.476,130396.67,PL,,Olesnica,Radomsko,Olesnica-Radomsko
PL_line_17,PL36-400,way/216060722-220,PL36-400;way/216060722-220,400.0,1787.476,94420.05,PL,,Olesnica,Czestochowa,Olesnica-Czestochowa
PL_line_18,way/255277953-400,PL36-400,PL36-400;way/255277953-400,400.0,3574.953,53940.58,PL,,Opole,Olesnica,Olesnica-Opole
PL_line_19,PL36-400,way/170316833-220,PL36-400;way/170316833-220,400.0,1787.476,125302.59,PL,,Olesnica,PiotrkowTrybunalsk,Olesnica-PiotrkowTrybunalsk
PL_line_20,way/32036484-220,PL36-400,PL36-400;way/32036484-220,400.0,3574.953,112737.78,PL,,Poznan,Olesnica,Poznan-Olesnica
PL_line_21,way/79033485-400,PL36-400,PL36-400;way/79033485-400,400.0,3574.952,60847.785,PL,,Wroclaw,Olesnica,Olesnica-Wroclaw
PL_line_22,PL46-220,way/336990960-220,PL46-220;way/336990960-220,220.0,491.556,93227.87,PL,,Swidnica,KedzierzynKozle,Swidnica-KedzierzynKozle
PL_line_23,PL7-400,way/245964556-220,PL7-400;way/245964556-220,220.0,491.556,63545.33,PL,,Kwidzyn,Wloclawek,Kwidzyn-Wloclawek
PL_line_24,PL7-400,way/46092396-400,PL7-400;way/46092396-400,400.0,3574.953,3506.95,PL,,Kwidzyn,Grudziadz,Grudziadz-Kwidzyn
PL_line_25,way/178838661-220,relation/18085709-400,relation/18085709-400;way/178838661-220,400.0,5362.429,64951.83258967718,PL,,Koszalin,Slupsk,Koszalin-Slupsk
PL_line_26,relation/18085709-400,way/86494356-400,relation/18085709-400;way/86494356-400,400.0,1787.476,87713.37,PL,,Slupsk,Gdynia,Slupsk-Gdynia
PL_line_27,way/112614319-400,way/101915790-220,way/101915790-220;way/112614319-400,400.0,1787.476,136662.77,PL,,Gdansk,Olsztyn,Gdansk-Olsztyn
PL_line_28,way/121656686-220,way/101915790-220,way/101915790-220;way/121656686-220,400.0,2279.032,133358.75877767403,PL,,Lomza,Olsztyn,Lomza-Olsztyn
PL_line_29,way/245964556-220,way/101915790-220,way/101915790-220;way/245964556-220,220.0,491.556,181945.12,PL,,Wloclawek,Olsztyn,Olsztyn-Wloclawek
PL_line_30,way/111615226-220,way/158232924-220,way/111615226-220;way/158232924-220,220.0,491.556,106517.03,PL,,Boleslawiec,ZielonaGora,Boleslawiec-ZielonaGora
PL_line_31,way/111615226-220,way/180535363-220,way/111615226-220;way/180535363-220,220.0,983.112,89207.77,PL,,Boleslawiec,Lubin,Boleslawiec-Lubin
PL_line_32,way/178838661-220,way/112614319-400,way/112614319-400;way/178838661-220,400.0,2279.032,122219.7330096813,PL,,Koszalin,Gdansk,Gdansk-Koszalin
