GEM location ID,bus_id,bus_name
L100000103276,way/255284259-220,Konin
L100000201195,way/121656686-220,Lomza
L100000103213,PL7-400,Kwidzyn
L100000103274,way/165763717-220,Police
L100000103244,PL17-400,Bialystok
L100000103261,way/40946790-220,Katowice
L100000103272,way/199098053-220,Mielec
L100000103253,way/40946790-220,Katowice
L100000500323,way/86494356-400,Gdynia
L100000500433,way/40946790-220,Katowice
L100000500434,way/171917072-400,Radomsko
L100000103219,way/170316833-220,PiotrkowTrybunalsk
L100001007716,way/32036484-220,Poznan
L100001007717,way/40946790-220,Katowice
L100001007718,way/87667718-220,Krakow
L100001007719,way/199098053-220,Mielec
L100001007720,way/40946790-220,Katowice
L100001007721,way/121656686-220,Lomza
L100001007722,way/245964556-220,Wloclawek
L100000406375,way/112614319-400,Gdansk
L100001047306,way/112614319-400,Gdansk
L100000103251,way/216060722-220,Czestochowa
L100001048012,way/255284259-220,Konin
L100000103275,way/255284259-220,Konin
L100001000014,way/183945016-220,Sosnowiec
L100000103212,PL15-400,Bydgoszcz
L100001000012,way/40946790-220,Katowice
L100000103278,way/39428977-400,Szczecin
L100001025878,way/112614319-400,Gdansk
L100000103246,way/112614319-400,Gdansk
L100000103226,PL18-400,GorzowWielkopolski
L100000401438,way/46092396-400,Grudziadz
L100000400575,way/180535363-220,Lubin
L100001080393,PL36-400,Olesnica
L100000407812,PL18-400,GorzowWielkopolski
L100000103233,way/88544449-220,Pulawy
L100000103229,way/87667718-220,Krakow
L100000400810,way/215282393-400,Rzeszow
L100000103234,way/121656686-220,Lomza
L100001080388,PL36-400,Olesnica
L100001081028,way/112614319-400,Gdansk
L100000406377,way/658600169-400,Plock
L100000103279,way/165763717-220,Police
L100000103277,way/32036484-220,Poznan
L100000103268,way/183945016-220,Sosnowiec
L100000400576,way/198635989-220,Debica
L100000103208,way/79033485-400,Wroclaw
L100000400578,way/88544449-220,Pulawy
L100000103235,way/29115701-220,Warsaw
L100000103243,way/215282393-400,Rzeszow
L100000406378,way/40946790-220,Katowice
L100000400579,PL7-400,Kwidzyn
L100001080405,way/255284259-220,Konin
L100001080408,way/29115701-220,Warsaw
L100000400580,way/79033485-400,Wroclaw
L100000400812,way/245964556-220,Wloclawek
L100000400813,way/88544449-220,Pulawy
L100000103236,way/29115701-220,Warsaw
L100000400582,way/158232924-220,ZielonaGora
L100001000010,PL17-400,Bialystok
L100001069842,way/29115701-220,Warsaw
L100001070478,way/32036484-220,Poznan
L100001070479,way/32036484-220,Poznan
L100001069241,way/170316833-220,PiotrkowTrybunalsk
L100001072770,way/173613665-220,Zamosc
L100001069824,way/88544449-220,Pulawy
L100001072456,way/170316833-220,PiotrkowTrybunalsk
L100001072130,way/171917072-400,Radomsko
L100001072608,way/171917072-400,Radomsko
L100001071276,way/121656686-220,Lomza
L100001069304,way/32036484-220,Poznan
L100001071808,way/121656686-220,Lomza
L100001006220,way/29115701-220,Warsaw
L100001073522,way/29115701-220,Warsaw
L100001073034,way/88544449-220,Pulawy
L100001069956,way/178838661-220,Koszalin
L100001071635,way/178838661-220,Koszalin
L100001071636,way/178838661-220,Koszalin
L100001073199,way/178838661-220,Koszalin
L100001073200,way/178838661-220,Koszalin
