bus_id,grid_cell,bus_name
way/86494356-400,,Gdynia
way/39428977-400,POL_5,Szczecin
way/39428977-400,POL_5,Szczecin
way/39428977-400,POL_5,Szczecin
PL15-400,POL_56,Bydgoszcz
PL15-400,POL_56,Bydgoszcz
PL15-400,POL_56,Bydgoszcz
PL15-400,POL_56,Bydgoszcz
PL15-400,POL_56,Bydgoszcz
way/121656686-220,POL_116,Lomza
PL17-400,POL_140,Bialystok
PL18-400,POL_12,GorzowWielkopolski
way/245964556-220,POL_67,Wloclawek
way/112614319-400,POL_70,Gdansk
way/121656686-220,POL_115,Lomza
way/658600169-400,POL_79,Plock
way/255284259-220,POL_55,Konin
way/121656686-220,POL_114,Lomza
way/29115701-220,POL_102,Warsaw
way/32036484-220,POL_32,Poznan
way/32036484-220,POL_32,Poznan
way/88544449-220,POL_114,Pulawy
way/88544449-220,POL_126,Pulawy
way/29115701-220,POL_114,Warsaw
way/88544449-220,POL_126,Pulawy
way/112614319-400,POL_70,Gdansk
way/158232924-220,POL_11,ZielonaGora
way/29115701-220,POL_114,Warsaw
way/254235846-400,POL_100,OstrowiecSwietokrz
way/254235846-400,POL_100,OstrowiecSwietokrz
PL34-400,POL_30,Legnica
way/170316833-220,POL_76,PiotrkowTrybunalsk
PL36-400,POL_41,Olesnica
way/254235846-400,POL_100,OstrowiecSwietokrz
way/79033485-400,POL_29,Wroclaw
way/254235846-400,POL_99,OstrowiecSwietokrz
way/165763717-220,POL_6,Police
way/111615226-220,POL_0,Boleslawiec
way/111615226-220,POL_0,Boleslawiec
way/216060722-220,POL_63,Czestochowa
way/216060722-220,POL_75,Czestochowa
way/216060722-220,POL_75,Czestochowa
way/216060722-220,POL_75,Czestochowa
way/216060722-220,POL_75,Czestochowa
PL46-220,POL_29,Swidnica
way/40946790-220,POL_74,Katowice
way/199098053-220,POL_110,Mielec
way/199098053-220,POL_98,Mielec
way/165763717-220,POL_6,Police
way/40946790-220,POL_74,Katowice
way/40946790-220,POL_74,Katowice
way/40946790-220,POL_74,Katowice
way/40946790-220,POL_74,Katowice
way/40946790-220,POL_74,Katowice
way/40946790-220,POL_74,Katowice
way/40946790-220,POL_62,Katowice
way/40946790-220,POL_74,Katowice
way/40946790-220,POL_74,Katowice
way/183945016-220,POL_62,Sosnowiec
way/183945016-220,POL_62,Sosnowiec
way/183945016-220,POL_62,Sosnowiec
PL7-400,POL_69,Kwidzyn
way/191038569-220,POL_97,Tarnow
way/191038569-220,POL_97,Tarnow
way/166838338-400,POL_121,Krosno
PL7-400,POL_69,Kwidzyn
way/165763717-220,POL_6,Police
relation/18085709-400,POL_37,Slupsk
way/40946790-220,POL_74,Katowice
way/101915790-220,POL_94,Olsztyn
way/101915790-220,POL_94,Olsztyn
way/101915790-220,POL_106,Olsztyn
way/170316833-220,POL_77,PiotrkowTrybunalsk
way/170316833-220,POL_77,PiotrkowTrybunalsk
way/121656686-220,POL_115,Lomza
way/121656686-220,POL_115,Lomza
way/111615226-220,POL_9,Boleslawiec
way/111615226-220,POL_9,Boleslawiec
way/111615226-220,POL_9,Boleslawiec
way/112614319-400,POL_71,Gdansk
way/112614319-400,wof-POL_25,Gdansk
way/87667718-220,POL_85,Krakow
way/121656686-220,POL_116,Lomza
way/121656686-220,POL_116,Lomza
way/112614319-400,POL_59,Gdansk
way/112614319-400,POL_59,Gdansk
way/32036484-220,POL_32,Poznan
way/40946790-220,POL_74,Katowice
way/40946790-220,POL_74,Katowice
way/40946790-220,POL_73,Katowice
way/183945016-220,POL_62,Sosnowiec
way/183945016-220,POL_62,Sosnowiec
PL7-400,POL_68,Kwidzyn
way/658600169-400,POL_79,Plock
way/29115701-220,POL_90,Warsaw
way/88544449-220,POL_136,Pulawy
way/32036484-220,POL_31,Poznan
way/40946790-220,POL_74,Katowice
way/79033485-400,POL_29,Wroclaw
PL34-400,POL_19,Legnica
way/170316833-220,POL_76,PiotrkowTrybunalsk
way/158232924-220,POL_11,ZielonaGora
way/165763717-220,POL_6,Police
way/191038569-220,POL_97,Tarnow
way/166838338-400,POL_109,Krosno
way/88544449-220,POL_136,Pulawy
way/170259740-220,POL_130,Grajewo
way/170316833-220,POL_76,PiotrkowTrybunalsk
way/173613665-220,POL_135,Zamosc
way/255284259-220,POL_66,Konin
way/171917072-400,POL_64,Radomsko
way/658600169-400,POL_79,Plock
way/88544449-220,POL_113,Pulawy
way/88544449-220,POL_113,Pulawy
way/173613665-220,POL_146,Zamosc
way/178838661-220,POL_25,Koszalin
way/178838661-220,wof-POL_6,Koszalin
way/178838661-220,POL_25,Koszalin
way/178838661-220,wof-POL_6,Koszalin
