bus_id,station_id,x,y,tags,voltage
dem4,dem4,21.299512914953567,52.568719244882864,demand4,300
dem1,dem1,19.138648596287833,50.53894418425005,demand1,300
dem0,dem0,18.56538872891496,53.73677034319214,demand0,300
dem2,dem2,16.235015624802916,52.10353774410822,demand2,300
dem3,dem3,21.886046599019117,50.73208112138905,demand3,300
gen0,gen0,17.297222745509313,55.04381162862492,generation0,300
gen1,gen1,18.828842697375592,50.578080993739434,generation1,300
gen2,gen2,21.60786681990249,51.68311204352132,generation2,300
gen3,gen3,15.323117021697275,53.127919853895136,generation3,300
gen4,gen4,18.798187470059847,52.6443017431977,generation4,300
sol1,sol1,14.970899341306522,51.50792353735028,solar1,300
sol2,sol2,16.73377234412687,50.34518936348206,solar2,300
sol3,sol3,16.60373568446736,51.377256860124184,solar3,300
sol4,sol4,15.017730179236052,52.85534969244801,solar4,300
sol5,sol5,16.811842317559947,52.91766316405849,solar5,300
sol6,sol6,20.645023172246464,53.997008947803,solar6,300
sol7,sol7,16.882410237674254,54.22460675685747,solar7,300
sol8,sol8,18.861400752131523,53.96422853405021,solar8,300
sol9,sol9,22.993131055867924,52.43751250001286,solar9,300
sol10,sol10,22.19633579032988,54.3066437206742,solar10,300
sol11,sol11,22.61338459886913,53.404819267946664,solar11,300
sol12,sol12,22.724520828333095,49.7278303523687,solar12,300
sol13,sol13,23.516022694533955,50.33903955659164,solar13,300
sol14,sol14,20.04050558610175,49.94934373739531,solar14,300
sol15,sol15,18.822109214006,50.338139288190774,solar15,300
sol16,sol16,18.68469668186692,52.044342646838984,solar16,300
sol17,sol17,18.88100125778487,52.83350253614481,solar17,300
sol18,sol18,21.082476272488055,52.46256730224373,solar18,300
sol19,sol19,20.676849242476013,51.21567364695864,solar19,300
sol20,sol20,21.903110464265097,51.93153518419567,solar20,300
won21,won21,20.269643672404722,51.84227611506903,wind_onshore21,300
won22,won22,21.170944189897273,50.60955286204822,wind_onshore22,300
won23,won23,22.2581366663372,52.39170012863479,wind_onshore23,300
won24,won24,23.408059859591237,50.23450423697313,wind_onshore24,300
won25,won25,22.621497787562358,53.75703661386584,wind_onshore25,300
won26,won26,18.73291711883134,52.429529705677346,wind_onshore26,300
won27,won27,20.550350594758495,53.093592317447545,wind_onshore27,300
won28,won28,21.092090696895134,54.29626949862209,wind_onshore28,300
won29,won29,19.094517190234704,53.87424745550522,wind_onshore29,300
won30,won30,16.598820350153495,54.06413984132732,wind_onshore30,300
won31,won31,15.361927969342226,51.24450972720661,wind_onshore31,300
won32,won32,14.961716651304037,52.44217399513801,wind_onshore32,300
won33,won33,16.503742680602492,51.48788034302614,wind_onshore33,300
won34,won34,16.863256571780706,52.905180796849514,wind_onshore34,300
won35,won35,19.826467717110425,49.44586899975751,wind_onshore35,300
won36,won36,22.221149843265444,49.445868999757515,wind_onshore36,300
won37,won37,21.13693147030501,49.73559177763961,wind_onshore37,300
won38,won38,16.73377234412687,50.34518936348206,wind_onshore38,300
won39,won39,19.66262955183865,50.26046260079571,wind_onshore39,300
won40,won40,18.599851134257587,50.20194133250953,wind_onshore40,300
wof41,wof41,19.270472330221132,54.2604433992971,wind_offshore41,300
wof42,wof42,19.132260930767764,55.15976376302165,wind_offshore42,300
wof43,wof43,19.209642059320892,54.71010358115937,wind_offshore43,300
wof44,wof44,16.94142400964037,55.609423944883915,wind_offshore44,300
wof45,wof45,18.45060973776721,55.60942394488392,wind_offshore45,300
wof46,wof46,17.80503305104221,55.159763763021644,wind_offshore46,300
wof47,wof47,15.473861680498253,54.2604433992971,wind_offshore47,300
wof48,wof48,15.288202232632585,54.71010358115938,wind_offshore48,300
wof49,wof49,16.268434622192224,55.15976376302165,wind_offshore49,300
wof50,wof50,16.047850156734548,54.71010358115937,wind_offshore50,300
