GEM location ID,bus_id
L100001007717,gen1
L100000500433,gen1
L100001007716,gen4
L100000500323,gen0
L100001007718,gen1
L100001007721,gen2
L100000500434,gen1
L100001007720,gen1
L100001007719,gen2
L100001007722,gen4
L100000103244,gen2
L100000103261,gen1
L100000103276,gen4
L100000103219,gen4
L100000201195,gen2
L100000103272,gen2
L100000103213,gen4
L100000103274,gen3
L100000103253,gen1
L100000103275,gen4
L100001000014,gen1
L100000103212,gen4
L100001000012,gen1
L100000103278,gen3
L100000406375,gen4
L100001025878,gen0
L100000103246,gen0
L100000103226,gen3
L100000401438,gen4
L100000400575,gen3
L100000407812,gen3
L100000103233,gen2
L100000400810,gen2
L100000103234,gen2
L100000406377,gen4
L100000103277,gen3
L100000103268,gen1
L100000400576,gen2
L100000103208,gen1
L100000400578,gen2
L100000103235,gen2
L100000103243,gen2
L100000406378,gen1
L100000400579,gen4
L100000400580,gen1
L100000400812,gen4
L100000400813,gen2
L100000103236,gen2
L100000400582,gen3
L100000103250,gen1
L100000103216,gen1
L100000103255,gen1
L100000103257,gen1
L100000103251,gen1
L100000103245,gen0
L100000103252,gen1
L100000103263,gen1
L100000103229,gen1
L100000103264,gen1
L100000103265,gen1
L100000103218,gen4
L100000103242,gen1
L100000103220,gen4
L100000103279,gen3
L100000103224,gen2
L100000103228,gen2
L100000103230,gen1
L100000103231,gen1
L100000103210,gen3
L100000103211,gen1
L100000103270,gen1
L100000103273,gen1
L100000103271,gen1
L100000907816,gen3
L100000907873,gen0
L100000907947,gen1
L100000907978,gen0
L100000907981,gen2
L100000908028,gen4
L100000908050,gen1
L100000908051,gen2
L100000908172,gen1
L100000908197,gen2
L100000908237,gen0
L100000908468,gen0
L100000908817,gen2
L100000908818,gen0
L100000908839,gen0
L100000908896,gen2
L100000908915,gen1
L100000908995,gen4
L100000909071,gen2
L100000909263,gen0
L100000909368,gen3
L100000909560,gen4
L100000909601,gen3
L100000909603,gen3
L100000909697,gen3
L100000909799,gen3
L100000909877,gen3
L100000909912,gen4
L100000909917,gen3
L100000909976,gen0
L100000909990,gen3
L100000909999,gen1
L100000910033,gen4
L100000910034,gen4
L100000910204,gen3
L100000910298,gen2
L100000910334,gen2
L100000910337,gen3
L100000910429,gen4
L100000910508,gen4
L100000910513,gen1
L100000910658,gen4
L100000910662,gen4
L100000910843,gen0
L100000910871,gen3
L100000910887,gen4
L100000911001,gen2
L100000911152,gen4
L100000911156,gen0
L100000911210,gen4
L100000911375,gen3
L100000911392,gen2
L100000911515,gen3
L100000911526,gen0
L100000911531,gen2
L100000911543,gen4
L100000911547,gen4
L100000911579,gen3
L100000911582,gen0
L100000911586,gen2
L100000911599,gen4
L100000911634,gen1
L100000911634,gen2
L100000911642,gen3
L100000911650,gen4
L100000911659,gen3
L100000911666,gen4
L100000911708,gen4
L100000911733,gen2
L100000911816,gen0
L100000911877,gen3
L100000911956,gen0
L100000911973,gen3
L100000912055,gen3
L100000912056,gen0
L100000912071,gen3
L100000912089,gen3
L100000912114,gen0
L100000912123,gen2
L100000912129,gen0
L100000912282,gen1
L100000912351,gen4
L100000912400,gen3
L100000912416,gen4
L100000912426,gen3
L100000912432,gen1
L100000912471,gen3
L100000912488,gen0
L100000912529,gen3
L100000912533,gen2
L100000912567,gen4
L100000912617,gen1
L100000912658,gen0
L100000912669,gen2
L100000912695,gen0
L100000912818,gen3
L100000912825,gen2
L100000912836,gen3
L100000912838,gen4
L100000912860,gen3
L100000912893,gen3
L100000912895,gen0
L100000912904,gen0
L100000912929,gen4
L100000913056,gen4
L100000913067,gen4
L100000913080,gen0
L100000913153,gen0
L100000913280,gen3
L100000913349,gen3
L100000913351,gen3
L100000913358,gen4
L100000913378,gen2
L100000913409,gen3
L100000913412,gen1
L100000913436,gen1
L100000913440,gen1
L100000913448,gen4
L100000913456,gen3
L100000913489,gen0
L100000913511,gen4
L100000913540,gen2
L100000913546,gen3
L100000913593,gen4
L100000913598,gen3
L100000913611,gen3
L100000913647,gen3
L100000913689,gen4
L100000913705,gen3
L100000913712,gen3
L100000913714,gen4
L100000913723,gen4
L100000913733,gen3
L100000913734,gen2
L100000913794,gen4
L100000913869,gen4
L100000913879,gen4
L100000913903,gen2
L100000913941,gen2
L100000914064,gen3
L100000914098,gen4
L100000914103,gen1
L100000914121,gen2
L100000914167,gen3
L100000914216,gen2
L100000914220,gen0
L100000914225,gen3
L100000914237,gen4
L100000914253,gen4
L100000914276,gen0
L100000914293,gen0
L100000914304,gen1
L100000914305,gen2
L100000914330,gen1
L100000914331,gen3
L100000914332,gen1
L100000914356,gen4
L100000914359,gen0
L100000914391,gen4
L100000914415,gen4
L100000914461,gen0
L100000914485,gen4
L100000914533,gen1
L100000914545,gen1
L100000914563,gen1
L100000914571,gen4
L100000914575,gen3
L100000914613,gen3
L100000914677,gen3
L100000914687,gen4
L100000914689,gen2
L100000914711,gen4
L100000914714,gen0
L100000914719,gen2
L100000914757,gen3
L100000914759,gen0
L100000914810,gen4
L100000914854,gen4
L100000914856,gen3
L100000914858,gen3
L100000914955,gen2
L100000915069,gen0
L100000915070,gen3
L100000915094,gen3
L100000915100,gen3
L100000915102,gen2
L100000915108,gen1
L100000915140,gen3
L100000915158,gen2
L100000915159,gen3
L100000915166,gen3
L100000915239,gen3
L100000915279,gen4
L100000915312,gen0
L100000915363,gen3
L100000915366,gen3
L100000915421,gen2
L100000915521,gen4
L100000915645,gen0
L100000915647,gen4
L100000915810,gen4
L100000915841,gen4
L100000915845,gen3
L100000915867,gen0
L100000915974,gen0
L100000916136,gen0
L100000916258,gen0
L100000916259,gen0
L100000916268,gen0
L100000916280,gen0
L100000916305,gen0
L100000916317,gen0
L100000916335,gen0
L100000916336,gen0
L100000916343,gen0
L100000920572,gen1
L100000920573,gen0
L100000920574,gen2
L100000920575,gen0
L100000920576,gen0
L100000920577,gen0
L100000920578,gen2
L100000920579,gen2
L100000920580,gen2
L100000920581,gen4
L100000920582,gen4
L100000920583,gen3
L100000920584,gen4
L100000920585,gen2
L100000920586,gen0
L100000920588,gen4
L100000920589,gen3
L100000920590,gen4
L100000920591,gen1
L100000920592,gen2
L100000920593,gen4
L100000920594,gen1
L100000920595,gen1
L100000920596,gen1
L100000920597,gen4
L100000920598,gen4
L100000920599,gen1
L100000920600,gen0
L100000920602,gen1
L100000920604,gen2
L100000920605,gen3
L100000920606,gen4
L100001000543,gen3
L100001000667,gen1
L100001000668,gen0
L100001000669,gen1
L100001000701,gen4
