bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num,network_country
way/115168488-380,way/115168488,380.0,f,Substation,f,way/115168488,39.79454677920079,21.51595110291352,SA,380.0,SA
way/900157271-380,way/900157271,380.0,f,Substation,f,way/900157271,49.44848366062351,25.675327226080142,SA,380.0,SA
way/181132741-380,way/181132741,380.0,f,Substation,f,way/181132741,43.405853667127545,25.944304750161745,SA,380.0,SA
way/198144511-230,way/198144511,230.0,f,Substation,f,way/198144511,49.556872311147686,27.015188231596177,SA,230.0,SA
way/203627872-380,way/203627872,380.0,f,Substation,f,way/203627872,39.55729799477064,20.63007338279916,SA,380.0,SA
way/204824991-380,way/204824991,380.0,f,Substation,f,way/204824991,42.662928235893645,18.33454692124954,SA,380.0,SA
way/207785816-380,way/207785816,380.0,f,Substation,f,way/207785816,47.01211019273156,24.41468490732744,SA,380.0,SA
way/1317464635-380,way/1317464635,380.0,f,Substation,f,way/1317464635,39.75143693018644,24.45424366815373,SA,380.0,SA
way/524688755-380,way/524688755,380.0,f,Substation,f,way/524688755,39.03912358456803,22.65607214179691,SA,380.0,SA
way/524938770-380,way/524938770,380.0,f,Substation,f,way/524938770,38.3849578695286,23.867563247241247,SA,380.0,SA
way/582073817-380,way/582073817,380.0,f,Substation,f,way/582073817,38.49659915232016,30.63356604219448,SA,380.0,SA
way/586137460-380,way/586137460,380.0,f,Substation,f,way/586137460,44.52707405580495,17.618060571362616,SA,380.0,SA
way/597093579-380,way/597093579,380.0,f,Substation,f,way/597093579,46.05639369147275,28.35229704942652,SA,380.0,SA
way/818080067-380,way/818080067,380.0,f,Substation,f,way/818080067,38.87174102738886,31.6452205200508,SA,380.0,SA
way/818155745-380,way/818155745,380.0,f,Substation,f,way/818155745,35.44593818642177,27.76395052106293,SA,380.0,SA
way/820233467-380,way/820233467,380.0,f,Substation,f,way/820233467,42.11097727493343,17.649847672827843,SA,380.0,SA
way/899264357-380,way/899264357,380.0,f,Substation,f,way/899264357,45.615414388878285,24.78103873076209,SA,380.0,SA
SA12-380,SA12,380.0,f,Substation,f,SA12,36.59790735362236,28.55663984771481,SA,380.0,SA
SA4-380,SA4,380.0,f,Substation,f,SA4,43.540758949942045,29.4918666263293,SA,380.0,SA
