line_id,bus0,bus1,type,voltage,s_nom,length,network_country,geometry
SA_line_1,SA12-380,way/582073817-380,SA12-380;way/582073817-380,380.0,3396.205223481055,361608.51,SA,
SA_line_2,way/818155745-380,SA12-380,SA12-380;way/818155745-380,380.0,6792.41044696211,242221.215,SA,
SA_line_3,SA4-380,way/181132741-380,SA4-380;way/181132741-380,380.0,3396.205223481055,95725.64,SA,
SA_line_4,SA4-380,way/582073817-380,SA4-380;way/582073817-380,380.0,3396.205223481055,176147.77,SA,
SA_line_5,way/597093579-380,SA4-380,SA4-380;way/597093579-380,380.0,3396.205223481055,318872.66,SA,
SA_line_6,way/818080067-380,SA4-380,SA4-380;way/818080067-380,380.0,3396.205223481055,151632.3,SA,
SA_line_7,way/115168488-380,way/203627872-380,way/115168488-380;way/203627872-380,380.0,20377.23134088633,97108.26,SA,
SA_line_8,way/115168488-380,way/204824991-380,way/115168488-380;way/204824991-380,380.0,6792.41044696211,139179.875,SA,
SA_line_9,way/524688755-380,way/115168488-380,way/115168488-380;way/524688755-380,380.0,27169.64178784844,129092.34375,SA,
SA_line_10,way/1317464635-380,way/181132741-380,way/1317464635-380;way/181132741-380,380.0,3396.205223481055,434081.26,SA,
SA_line_11,way/524688755-380,way/1317464635-380,way/1317464635-380;way/524688755-380,380.0,6792.41044696211,134017.975,SA,
SA_line_12,way/524938770-380,way/1317464635-380,way/1317464635-380;way/524938770-380,380.0,10188.615670443163,126879.66999999998,SA,
SA_line_13,way/582073817-380,way/181132741-380,way/181132741-380;way/582073817-380,380.0,3396.205223481055,331922.45,SA,
SA_line_14,way/899264357-380,way/181132741-380,way/181132741-380;way/899264357-380,380.0,13584.82089392422,120093.5025,SA,
SA_line_15,way/899264357-380,way/198144511-230,way/198144511-230;way/899264357-380,380.0,3396.205223481055,146468.06,SA,
SA_line_16,way/198144511-230,way/900157271-380,way/198144511-230;way/900157271-380,400.0,23639.37583186155,46842.884291115326,SA,
SA_line_17,way/597093579-380,way/198144511-230,way/198144511-230;way/597093579-380,380.0,7820.209396173481,351622.4753714286,SA,
SA_line_18,way/203627872-380,way/204824991-380,way/203627872-380;way/204824991-380,380.0,6792.41044696211,268102.935,SA,
SA_line_19,way/204824991-380,way/586137460-380,way/204824991-380;way/586137460-380,380.0,3396.205223481055,320573.94,SA,
SA_line_20,way/820233467-380,way/204824991-380,way/204824991-380;way/820233467-380,380.0,16981.026117405276,149132.33,SA,
SA_line_21,way/586137460-380,way/207785816-380,way/207785816-380;way/586137460-380,380.0,3396.205223481055,306708.78,SA,
SA_line_22,way/899264357-380,way/207785816-380,way/207785816-380;way/899264357-380,380.0,30565.847011329493,96193.60555555556,SA,
SA_line_23,way/900157271-380,way/207785816-380,way/207785816-380;way/900157271-380,380.0,15640.418792346964,99857.6182857143,SA,
SA_line_24,way/524938770-380,way/524688755-380,way/524688755-380;way/524938770-380,380.0,3396.205223481055,169738.66,SA,
SA_line_25,way/818155745-380,way/524938770-380,way/524938770-380;way/818155745-380,380.0,3396.205223481055,154663.77,SA,
SA_line_26,way/818080067-380,way/582073817-380,way/582073817-380;way/818080067-380,380.0,10188.615670443163,163785.89666666667,SA,
SA_line_27,way/820233467-380,way/586137460-380,way/586137460-380;way/820233467-380,380.0,3396.205223481055,271985.35,SA,
