GEM location ID,bus_id
L100000401075,way/524688755-380
L100000401078,way/899264357-380
L100000401080,way/207785816-380
L100000401090,way/900157271-380
L100000401091,way/900157271-380
L100000401092,way/198144511-230
L100000405542,way/198144511-230
L100000405553,way/900157271-380
L100000405539,way/900157271-380
L100000405547,way/198144511-230
L100000405550,way/198144511-230
L100000401074,way/198144511-230
L100000405556,way/198144511-230
L100000405541,way/198144511-230
L100000405548,way/198144511-230
L100000405549,way/198144511-230
L100000405551,way/198144511-230
L100000405552,way/198144511-230
L100000405563,way/900157271-380
L100000405569,way/198144511-230
L100000405543,way/900157271-380
L100000405544,way/198144511-230
L100000405545,way/818155745-380
L100000405555,way/900157271-380
L100000405554,way/900157271-380
L100000405557,way/899264357-380
L100000405559,way/207785816-380
L100000405560,way/207785816-380
L100000405561,way/207785816-380
L100000405565,way/900157271-380
L100000405567,way/900157271-380
L100000405568,way/198144511-230
L100000405566,way/900157271-380
L100000405546,way/198144511-230
L100000405564,way/900157271-380
L100000407703,way/198144511-230
L100000407707,way/207785816-380
L100000407708,way/207785816-380
L100000407826,way/582073817-380
L100000408049,way/524938770-380
L100000408013,way/1317464635-380
L100000408010,way/204824991-380
L100000408011,way/198144511-230
L100000408012,SA12-380
L100000408009,way/207785816-380
L100000408008,SA4-380
L100000409131,way/586137460-380
L100000408004,way/586137460-380
L100000407706,way/820233467-380
L100000408003,way/820233467-380
L100000409133,way/115168488-380
L100000408001,way/899264357-380
L100000409127,way/181132741-380
L100000407997,way/204824991-380
L100000407995,way/204824991-380
L100000407993,way/818080067-380
L100000407994,way/818155745-380
L100000407990,way/181132741-380
L100000407992,way/181132741-380
L100000409125,way/582073817-380
L100000408259,way/524938770-380
L100000408253,way/524938770-380
L100000408254,way/524938770-380
L100000408255,way/524938770-380
L100000408249,way/204824991-380
L100000408251,way/820233467-380
L100000408247,way/820233467-380
L100000408248,way/820233467-380
L100000408246,way/203627872-380
L100000408242,way/203627872-380
L100000408244,way/203627872-380
L100000408243,way/203627872-380
L100000408245,way/586137460-380
L100000408237,way/207785816-380
L100000408239,way/524688755-380
L100000408240,way/524688755-380
L100000408229,way/524688755-380
L100000408241,way/115168488-380
L100000408226,way/820233467-380
L100000408227,way/115168488-380
L100000408232,way/181132741-380
L100000409025,SA12-380
L100000409072,way/207785816-380
L100000409073,way/524688755-380
L100000409074,way/115168488-380
L100000409077,way/115168488-380
L100000409078,way/198144511-230
L100000409080,way/899264357-380
L100000409081,way/899264357-380
L100000409082,way/586137460-380
L100000409083,way/203627872-380
L100000409084,way/198144511-230
L100000409126,way/204824991-380
L100000804031,way/181132741-380
L100000804033,way/524938770-380
L100000804053,way/524688755-380
L100000804059,way/900157271-380
L100000804060,way/181132741-380
L100000804061,way/198144511-230
L100000804067,way/207785816-380
L100000804083,way/203627872-380
L100000804090,way/582073817-380
L100000804106,way/582073817-380
L100000804107,way/181132741-380
L100000804108,way/899264357-380
L100000804121,way/198144511-230
L100000804128,way/198144511-230
L100000804130,way/198144511-230
L100000804134,SA4-380
L100000804146,way/207785816-380
L100000804148,way/586137460-380
L100000809132,way/818155745-380
L100000809133,way/818080067-380
L100000809134,way/818155745-380
L100000809135,way/524688755-380
L100000809136,way/181132741-380
L100000830896,way/1317464635-380
L100000830897,way/198144511-230
L100000830898,way/181132741-380
L100000830899,way/181132741-380
L100000830900,way/198144511-230
L100000830901,way/207785816-380
L100000830902,way/582073817-380
L100000905938,way/582073817-380
L100000922022,way/181132741-380
L100000922170,way/818155745-380
L100000922252,way/818080067-380
L100000922258,way/524938770-380
L100001004179,way/207785816-380
L100001004183,way/198144511-230
L100001018741,SA4-380
L100001018745,way/207785816-380
L100001018767,way/181132741-380
L100001018768,way/115168488-380
L100001018770,way/115168488-380
L100001018773,way/1317464635-380
L100001018775,way/818155745-380
L100001025484,way/181132741-380
L100001025485,way/207785816-380
L100001025486,way/115168488-380
L100001025487,way/181132741-380
L100001025488,way/198144511-230
L100001025489,way/207785816-380
L100001025490,way/207785816-380
L100001025491,way/818155745-380
L100001025492,way/207785816-380
L100001025493,way/899264357-380
L100001025494,way/115168488-380
L100001025495,way/900157271-380
L100001025496,way/524938770-380
L100001025497,way/181132741-380
L100001025498,way/524938770-380
L100001046890,way/207785816-380
L100001046893,way/899264357-380
L100001046938,way/198144511-230
L100001047011,way/900157271-380
L100001047046,way/198144511-230
L100001047068,way/582073817-380
