bus_id,grid_cell
way/115168488-380,SAU_135
way/198144511-230,SAU_794
way/900157271-380,SAU_794
way/115168488-380,SAU_135
way/900157271-380,SAU_772
way/524688755-380,SAU_136
way/115168488-380,SAU_165
way/115168488-380,SAU_165
way/115168488-380,SAU_165
way/115168488-380,SAU_109
way/115168488-380,wof-SAU_69
way/207785816-380,SAU_621
way/900157271-380,SAU_771
way/900157271-380,SAU_750
way/207785816-380,SAU_594
way/207785816-380,SAU_622
way/207785816-380,SAU_623
way/900157271-380,SAU_750
way/181132741-380,SAU_461
way/198144511-230,SAU_774
way/198144511-230,SAU_753
way/1317464635-380,SAU_142
way/900157271-380,SAU_747
way/900157271-380,SAU_747
way/900157271-380,SAU_748
way/900157271-380,SAU_748
way/899264357-380,SAU_543
way/115168488-380,SAU_195
way/900157271-380,SAU_793
way/181132741-380,SAU_401
way/900157271-380,SAU_810
way/900157271-380,wof-SAU_146
way/899264357-380,SAU_486
way/181132741-380,SAU_306
way/820233467-380,SAU_349
way/820233467-380,SAU_318
way/207785816-380,SAU_594
way/207785816-380,SAU_622
way/207785816-380,SAU_622
way/900157271-380,SAU_678
way/207785816-380,SAU_678
way/207785816-380,SAU_678
way/207785816-380,SAU_702
way/900157271-380,SAU_770
way/900157271-380,SAU_793
way/900157271-380,SAU_793
way/900157271-380,SAU_793
way/900157271-380,SAU_772
way/900157271-380,SAU_772
way/900157271-380,SAU_773
way/900157271-380,SAU_793
way/198144511-230,SAU_794
way/198144511-230,SAU_774
way/198144511-230,SAU_774
way/198144511-230,SAU_795
way/198144511-230,wof-SAU_142
way/198144511-230,SAU_773
way/198144511-230,SAU_774
way/198144511-230,SAU_753
way/198144511-230,SAU_753
way/198144511-230,SAU_753
way/198144511-230,SAU_774
way/198144511-230,SAU_774
way/198144511-230,SAU_774
way/198144511-230,SAU_774
way/198144511-230,SAU_774
way/198144511-230,SAU_774
way/198144511-230,SAU_774
way/198144511-230,SAU_753
way/198144511-230,SAU_754
way/198144511-230,SAU_754
way/198144511-230,SAU_708
way/597093579-380,SAU_575
way/198144511-230,SAU_733
way/198144511-230,SAU_733
way/900157271-380,SAU_750
way/203627872-380,SAU_133
way/203627872-380,wof-SAU_79
way/204824991-380,SAU_289
way/204824991-380,SAU_352
