GEM location ID,bus_id
L100000103402,way/52564762-220
L100000103404,way/174921474-400
L100000103406,way/498961839-400
L100000103403,way/52564762-400
L100000200317,way/239998425-400
L100000406724,way/273601208-220
L100000406721,way/144936638-220
L100000406720,way/254397982-220
L100000603300,RS17-220
L100000603301,RS17-220
L100000603302,RS19-400
L100000603303,RS10-400
L100000604098,way/238952272-400
L100000604102,RS13-220
L100000604103,RS13-220
L100000806183,RS14-220
L100000806184,way/152481174-400
L100000806242,way/152481174-400
L100000806342,way/273601210-220
L100000824277,way/89109496-400
L100000824278,way/273601210-220
L100000824279,way/89109496-400
L100000824282,way/498961839-400
L100000824283,way/236110936-220
L100000824284,way/238954545-400
L100000911488,way/273601208-220
L100000914324,way/808253261-400
L100000914704,way/808253261-400
L100000914902,way/238249884-400
L100000915357,way/174921474-400
L100000915527,way/808253261-400
L100000915723,way/839904125-220
L100000915726,way/174921474-400
L100000915665,RS5-220
L100000915852,way/839904125-220
L100000915911,way/808253261-400
L100000914888,way/317496363-220
L100000916246,way/89109496-400
L100000920706,way/839904125-220
L100000920708,way/174921474-400
L100000920709,way/267325562-400
L100000920711,way/273601210-220
L100000920712,way/174921474-400
L100000920715,way/238954545-400
L100000920716,RS2-400
L100000920717,way/52456886-400
L100001003743,RS11-400
L100001003744,RS19-400
L100001003745,way/152481174-220
L100001003746,way/236134509-220
L100001003747,way/238249884-400
L100001003748,way/236110936-220
L100001003752,way/89109496-400
L100001003762,way/238249884-400
L100001003764,way/144936638-220
L100001003769,way/52456886-400
L100001003774,way/52456886-220
L100001003796,way/839904125-220
L100001003832,way/174921474-400
L100001003834,way/174921474-400
L100001003835,way/411530745-220
L100001003836,way/238249884-400
L100001005447,way/498961839-400
L100001005448,way/273601208-220
L100001005449,way/238952272-400
L100001005450,RS22-220
L100001005451,way/144936638-220
L100001005452,way/232243950-400
L100001005453,way/144936638-220
L100001005454,way/144936638-400
L100001025765,way/152481174-220
L100001025787,RS17-220
L100001025790,way/144936638-220
L100001046287,way/238249884-400
L100001046288,way/411530745-220
