bus_id,grid_cell
way/52456886-400,SRB_69
way/52456886-220,SRB_69
way/52564762-400,SRB_43
way/52564762-220,SRB_43
way/89109496-400,SRB_21
way/144936638-400,SRB_32
way/144936638-220,SRB_32
way/152481174-400,SRB_106
way/152481174-220,SRB_106
way/174921474-400,SRB_80
way/196695540-220,
way/232243950-400,SRB_105
way/235291237-220,
way/236110936-400,SRB_17
way/236110936-220,SRB_17
way/236110952-400,SRB_43
way/236134509-220,SRB_58
way/237532249-220,SRB_30
way/238249884-400,SRB_110
way/238952272-400,SRB_126
way/238954545-400,SRB_7
way/239947121-400,SRB_79
way/239947121-220,SRB_79
way/239998425-400,SRB_58
way/239998425-220,SRB_58
way/240179355-400,SRB_87
way/254397982-220,SRB_69
way/267325562-400,SRB_103
way/273601208-220,SRB_61
way/273601210-400,SRB_33
way/288282829-220,SRB_28
way/307090968-220,SRB_58
way/317496363-220,SRB_40
way/317497727-220,SRB_12
way/317499556-400,
way/330729171-400,SRB_58
way/330729178-220,SRB_58
way/411530745-220,SRB_86
way/419803318-400,SRB_65
way/419803318-220,SRB_65
way/498961839-400,SRB_67
way/613473916-220,
way/616236270-220,
way/616241694-220,
way/808253261-400,SRB_69
way/839904125-220,SRB_70
way/1302365574-220,
RS9-400,SRB_80
RS8-400,SRB_80
RS20-400,
RS12-400,SRB_29
RS12-220,SRB_29
way/317499556-220,
RS22-220,
RS13-220,
RS27-400,
RS26-220,
RS21-220,
RS6-400,SRB_69
RS5-220,SRB_70
RS25-400,SRB_92
way/273601210-220,SRB_33
RS3-400,
RS7-220,SRB_58
RS28-400,
RS2-400,SRB_33
RS19-400,
RS11-400,SRB_126
RS14-220,SRB_54
RS15-220,
RS18-220,
RS24-220,
RS29-220,
RS17-220,SRB_10
RS4-400,
RS1-400,
RS10-400,
way/238954545-400,SRB_0
RS18-220,SRB_1
RS13-220,SRB_2
RS10-400,SRB_3
way/236110936-220,SRB_4
way/236110936-220,SRB_5
way/238954545-400,SRB_6
way/238954545-400,SRB_8
RS17-220,SRB_9
RS17-220,SRB_11
way/317497727-220,SRB_13
way/288282829-220,SRB_14
way/237532249-220,SRB_15
way/237532249-220,SRB_16
way/236110936-400,SRB_18
way/273601210-220,SRB_19
way/273601210-220,SRB_20
way/89109496-400,SRB_22
RS20-400,SRB_23
RS17-220,SRB_24
way/317496363-220,SRB_25
way/317496363-220,SRB_26
way/288282829-220,SRB_27
way/236110936-400,SRB_31
RS2-400,SRB_34
way/89109496-400,SRB_35
RS20-400,SRB_36
RS20-400,SRB_37
way/317496363-220,SRB_38
way/317496363-220,SRB_39
way/288282829-220,SRB_41
way/288282829-220,SRB_42
way/236110952-400,SRB_44
way/236134509-220,SRB_45
way/273601208-220,SRB_46
way/273601208-220,SRB_47
way/273601208-220,SRB_48
RS1-400,SRB_49
way/196695540-220,SRB_50
way/419803318-220,SRB_51
way/419803318-220,SRB_52
RS14-220,SRB_53
RS14-220,SRB_55
way/330729178-220,SRB_56
way/330729178-220,SRB_57
RS5-220,SRB_59
way/273601208-220,SRB_60
way/273601208-220,SRB_62
RS1-400,SRB_63
way/419803318-220,SRB_64
way/498961839-400,SRB_66
way/239947121-220,SRB_68
way/839904125-220,SRB_71
way/273601208-220,SRB_72
RS22-220,SRB_73
way/411530745-220,SRB_74
way/411530745-220,SRB_75
way/240179355-400,SRB_76
way/498961839-400,SRB_77
way/239947121-220,SRB_78
way/808253261-400,SRB_81
way/808253261-400,SRB_82
way/616236270-220,SRB_83
way/411530745-220,SRB_84
way/411530745-220,SRB_85
way/240179355-400,SRB_88
way/174921474-400,SRB_89
way/174921474-400,SRB_90
RS8-400,SRB_91
way/232243950-400,SRB_93
way/232243950-400,SRB_94
way/152481174-220,SRB_95
way/152481174-220,SRB_96
way/411530745-220,SRB_97
way/240179355-400,SRB_98
way/238249884-400,SRB_99
way/238249884-400,SRB_100
way/174921474-400,SRB_101
way/267325562-400,SRB_102
way/232243950-400,SRB_104
way/152481174-400,SRB_107
way/238249884-400,SRB_108
way/238249884-400,SRB_109
way/238249884-400,SRB_111
way/238952272-400,SRB_112
way/267325562-400,SRB_113
way/267325562-400,SRB_114
way/232243950-400,SRB_115
way/232243950-400,SRB_116
way/152481174-400,SRB_117
way/152481174-400,SRB_118
way/238249884-400,SRB_119
way/238249884-400,SRB_120
way/238249884-400,SRB_121
way/238952272-400,SRB_122
RS19-400,SRB_123
RS19-400,SRB_124
way/238249884-400,SRB_125
