bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country
way/5131796-400,way/5131796,400.0,f,Substation,f,way/5131796,17.217743868437235,48.1126400038579,SK
way/33881667-400,way/33881667,400.0,f,Substation,f,way/33881667,17.03145680443679,48.30540162482373,SK
way/51982806-400,way/51982806,400.0,f,Substation,f,way/51982806,17.66034709349297,48.33686299741864,SK
way/51982806-220,way/51982806,220.0,f,Substation,f,way/51982806,17.66003339454009,48.33669310362649,SK
way/93468022-400,way/93468022,400.0,f,Substation,f,way/93468022,17.693891708238365,48.4985965231839,SK
way/100979306-400,way/100979306,400.0,f,Substation,f,way/100979306,21.254975386741897,48.85829228186879,SK
way/100979306-220,way/100979306,220.0,f,Substation,f,way/100979306,21.25464598399597,48.85813309594979,SK
way/107626084-400,way/107626084,400.0,f,Substation,f,way/107626084,19.366721872103625,48.79647301845816,SK
way/111687967-400,way/111687967,400.0,f,Substation,f,way/111687967,20.04447083354613,48.38060189284549,SK
way/122257444-400,way/122257444,400.0,f,Substation,f,way/122257444,19.48938573613129,49.08616275224587,SK
way/128968280-400,way/128968280,400.0,f,Substation,f,way/128968280,18.603661097754085,48.23342250873616,SK
way/146531966-400,way/146531966,400.0,f,Substation,f,way/146531966,18.511954231487664,48.66622311404949,SK
way/146531966-220,way/146531966,220.0,f,Substation,f,way/146531966,18.51163542871676,48.66605574259497,SK
way/648002755-400,way/648002755,400.0,f,Substation,f,way/648002755,17.545371081295855,47.88610868647423,SK
way/175052362-400,way/175052362,400.0,f,Substation,f,way/175052362,22.03976067760936,48.568844397204685,SK
way/199900178-220,way/199900178,220.0,f,Substation,f,way/199900178,17.39213438514306,48.666158829678544,SK
way/203232760-400,way/203232760,400.0,f,Substation,f,way/203232760,19.90929501504373,49.00896552631622,SK
way/220704941-400,way/220704941,400.0,f,Substation,f,way/220704941,18.425152675657383,48.20590052577561,SK
way/229685438-400,way/229685438,400.0,f,Substation,f,way/229685438,18.741699792515284,48.55916856058571,SK
way/239560640-400,way/239560640,400.0,f,Substation,f,way/239560640,18.976251556905467,49.09080928186368,SK
way/239560640-220,way/239560640,220.0,f,Substation,f,way/239560640,18.97592826950425,49.09064333769387,SK
way/320168128-400,way/320168128,400.0,f,Substation,f,way/320168128,21.045054151278297,48.60237676325946,SK
way/400109175-220,way/400109175,220.0,f,Substation,f,way/400109175,18.42460806829396,49.11526345748026,SK
way/556969469-400,way/556969469,400.0,f,Substation,f,way/556969469,21.84844827326504,48.85738573323157,SK
way/614130490-400,way/614130490,400.0,f,Substation,f,way/614130490,17.838894723654644,48.794216456502646,SK
way/639671352-220,way/639671352,220.0,f,Substation,f,way/639671352,19.338856667698067,49.247569338528415,SK
way/656435549-220,way/656435549,220.0,f,Substation,f,way/656435549,17.92493652397183,48.1890278486562,SK
way/666404730-400,way/666404730,400.0,f,Substation,f,way/666404730,20.53409461516072,48.96454705175362,SK
way/672771472-400,way/672771472,400.0,f,Substation,f,way/672771472,18.863051048506048,49.213693576231805,SK
way/783483874-400,way/783483874,400.0,f,Substation,f,way/783483874,21.97704356267536,48.55553699499767,SK
way/1063211569-400,way/1063211569,400.0,f,Substation,f,way/1063211569,18.45562484671176,48.26048011981049,SK
relation/11038054-400,relation/11038054,400.0,f,Substation,f,relation/11038054,21.1912540750658,48.62700841466006,SK
SK17-400,SK17,400.0,f,Substation,f,SK17,17.7002496,48.3632560928983,SK
SK10-220,SK10,220.0,f,Substation,f,SK10,17.44521619999998,48.68645039308644,SK
SK22-400,SK22,400.0,f,Substation,f,SK22,17.649122233069424,47.79714515861647,SK
SK20-400,SK20,400.0,f,Substation,f,SK20,18.43605270249079,48.19372461039804,SK
way/783483874-220,way/783483874,220.0,f,Substation,f,way/783483874,21.97671390321215,48.5553799435887,SK
SK12-400,SK12,400.0,f,Substation,f,SK12,21.86406429999999,48.6727377930786,SK
SK24-400,SK24,400.0,f,Substation,f,SK24,19.16369049999999,47.693899292492496,SK
SK7-400,SK7,400.0,f,Substation,f,SK7,19.300697589723644,49.06179982344303,SK
SK21-400,SK21,400.0,f,Substation,f,SK21,17.726531920975148,47.87203257618666,SK
SK4-400,SK4,400.0,f,Substation,f,SK4,19.2116225,49.11107209332601,SK
SK19-400,SK19,400.0,f,Substation,f,SK19,20.588328,48.26183189283825,SK
SK14-400,SK14,400.0,f,Substation,f,SK14,21.9143066197169,48.545999716303086,SK
SK8-400,SK8,400.0,f,Substation,f,SK8,19.332732077824144,49.03720022361456,SK
SK9-400,SK9,400.0,f,Substation,f,SK9,20.957222749917776,48.95815513033964,SK
SK11-220,SK11,220.0,f,Substation,f,SK11,18.51325880000002,48.68405069308509,SK
SK5-400,SK5,400.0,f,Substation,f,SK5,16.700322949887813,49.1101223433353,SK
SK1-220,SK1,220.0,f,Substation,f,SK1,18.3158644,49.70338349364589,SK
SK6-220,SK6,220.0,f,Substation,f,SK6,18.26065300000001,49.070243893303385,SK
SK25-400,SK25,400.0,f,Substation,f,SK25,17.689914199999986,47.67260629247927,SK
SK13-400,SK13,400.0,f,Substation,f,SK13,21.01055236318992,48.56307366976377,SK
SK16-400,SK16,400.0,f,Substation,f,SK16,17.688643200000012,48.45813889295408,SK
SK2-400,SK2,400.0,f,Substation,f,SK2,21.859237,49.68967739363863,SK
SK15-400,SK15,400.0,f,Substation,f,SK15,22.485761600000007,48.47590149296444,SK
SK23-400,SK23,400.0,f,Substation,f,SK23,17.803045099999988,47.73413269251753,SK
SK3-400,SK3,400.0,f,Substation,f,SK3,18.43299329999999,49.668294393627335,SK
