GEM location ID,bus_id
L100000500198,way/93468022-400
L100000500199,way/1063211569-400
L100000103411,relation/11038054-400
L100000400630,way/128968280-400
L100000400631,SK16-400
L100000103416,way/239560640-220
L100000400632,way/111687967-400
L100000407848,way/400109175-220
L100000400633,way/5131796-400
L100000408041,way/5131796-400
L100000103415,SK11-220
L100000103412,relation/11038054-400
L100000103410,way/783483874-220
L100001000155,way/93468022-400
L100000806514,SK16-400
L100000806800,way/111687967-400
L100001006791,way/128968280-400
L100001006834,way/229685438-400
L100001006897,way/203232760-400
L100001006835,way/107626084-400
L100001006850,way/107626084-400
L100001006860,way/107626084-400
L100001006923,way/107626084-400
L100001006795,way/648002755-400
L100001006843,way/648002755-400
L100001006852,way/648002755-400
L100001006922,way/5131796-400
L100001006900,SK9-400
L100001006817,way/556969469-400
L100001006909,SK6-220
L100001006830,way/666404730-400
L100001006801,SK23-400
L100001006814,SK23-400
L100001006876,SK23-400
L100001006879,SK23-400
L100001006880,SK21-400
L100001006888,SK23-400
L100001006901,SK23-400
L100001006794,way/100979306-400
L100001006797,relation/11038054-400
L100001006799,way/320168128-400
L100001006831,relation/11038054-400
L100001006848,way/320168128-400
L100001006851,relation/11038054-400
L100001006863,way/320168128-400
L100001006903,way/320168128-400
L100001006820,way/128968280-400
L100001006862,way/128968280-400
L100001006867,way/128968280-400
L100001006869,way/229685438-400
L100001006907,way/128968280-400
L100001006919,way/229685438-400
L100001006796,way/128968280-400
L100001006816,way/128968280-400
L100001006855,way/1063211569-400
L100001006865,way/128968280-400
L100001006881,way/128968280-400
L100001006890,way/128968280-400
L100001006927,way/128968280-400
L100001006837,way/203232760-400
L100001006902,way/122257444-400
L100001006809,way/111687967-400
L100001006815,way/111687967-400
L100001006829,way/111687967-400
L100001006842,way/111687967-400
L100001006861,way/111687967-400
L100001006889,way/111687967-400
L100001006926,way/111687967-400
L100001006930,way/111687967-400
L100001006891,way/33881667-400
L100001006818,way/239560640-220
L100001006866,way/239560640-220
L100001006893,way/239560640-220
L100001006859,way/175052362-400
L100001006864,way/556969469-400
L100001006870,SK12-400
L100001006872,SK12-400
L100001006885,way/556969469-400
L100001006915,SK12-400
L100001006811,SK10-220
L100001006821,way/656435549-220
L100001006827,way/656435549-220
L100001006841,way/1063211569-400
L100001006874,way/656435549-220
L100001006840,way/656435549-220
L100001006819,way/93468022-400
L100001006800,way/111687967-400
L100001006803,way/111687967-400
L100001006856,way/111687967-400
L100001006910,way/111687967-400
L100001006873,way/100979306-400
L100001006894,way/100979306-400
L100001006929,SK9-400
L100001006846,SK11-220
L100001006917,SK11-220
L100001006792,way/111687967-400
L100001006804,way/111687967-400
L100001006812,way/111687967-400
L100001006849,way/111687967-400
L100001006857,way/111687967-400
L100001006912,way/111687967-400
L100001006921,way/111687967-400
L100001006822,way/111687967-400
L100001006826,way/111687967-400
L100001006832,way/111687967-400
L100001006878,way/111687967-400
L100001006913,way/111687967-400
L100001006882,way/111687967-400
L100001006886,way/111687967-400
L100001006899,way/111687967-400
L100001006905,way/111687967-400
L100001006833,way/111687967-400
L100001006877,SK13-400
L100001006896,way/666404730-400
L100001006918,SK13-400
L100001006931,SK13-400
L100001006932,way/666404730-400
L100001006883,SK9-400
L100001006914,SK9-400
L100001006924,SK9-400
L100001006807,way/5131796-400
L100001006813,way/199900178-220
L100001006828,way/199900178-220
L100001006810,way/199900178-220
L100001006798,way/175052362-400
L100001006875,way/666404730-400
L100001006806,way/93468022-400
L100001006824,SK12-400
L100001006847,SK14-400
L100001006871,SK14-400
L100001006884,SK12-400
L100001006793,SK17-400
L100001006823,way/239560640-220
L100001006802,way/128968280-400
L100001006805,way/111687967-400
L100001006808,SK24-400
L100001006838,way/128968280-400
L100001006868,way/128968280-400
L100001006839,way/128968280-400
L100001006845,way/111687967-400
L100001006853,SK24-400
L100001006858,way/111687967-400
L100001006887,way/128968280-400
L100001006892,way/111687967-400
L100001006904,way/128968280-400
L100001006906,way/128968280-400
L100001006916,SK24-400
L100001006844,way/556969469-400
L100001006895,way/556969469-400
L100001006920,way/556969469-400
L100001006928,way/107626084-400
L100001006836,way/656435549-220
L100001006825,way/146531966-220
L100001006854,way/229685438-400
L100001006925,way/229685438-400
L100001006898,relation/11038054-400
L100001006908,way/100979306-220
L100001006911,relation/11038054-400
L100000700238,way/100979306-400
L100000700239,way/229685438-400
L100000603306,way/203232760-400
L100000603307,way/648002755-400
L100000603308,way/111687967-400
L100001023208,way/111687967-400
L100000603309,way/122257444-400
L100000603310,way/400109175-220
L100001023209,way/400109175-220
L100001023210,way/400109175-220
L100001023211,way/100979306-220
L100001046210,way/672771472-400
