bus_id,grid_cell
way/5131796-400,SVK_0
way/33881667-400,SVK_1
way/51982806-400,SVK_1
way/51982806-220,SVK_1
way/93468022-400,SVK_1
way/100979306-400,SVK_23
way/100979306-220,SVK_23
way/107626084-400,SVK_13
way/111687967-400,SVK_16
way/122257444-400,SVK_13
way/128968280-400,SVK_8
way/146531966-400,SVK_8
way/146531966-220,SVK_8
way/648002755-400,SVK_0
way/175052362-400,SVK_25
way/199900178-220,SVK_1
way/203232760-400,SVK_17
way/220704941-400,SVK_7
way/229685438-400,SVK_8
way/239560640-400,SVK_9
way/239560640-220,SVK_9
way/320168128-400,SVK_22
way/400109175-220,SVK_9
way/556969469-400,SVK_26
way/614130490-400,SVK_5
way/639671352-220,SVK_14
way/656435549-220,SVK_3
way/666404730-400,SVK_20
way/672771472-400,SVK_10
way/783483874-400,SVK_25
way/1063211569-400,SVK_8
relation/11038054-400,SVK_22
SK17-400,SVK_4
SK10-220,SVK_2
SK22-400,SVK_0
SK20-400,SVK_7
way/783483874-220,SVK_25
SK12-400,SVK_25
SK24-400,
SK7-400,SVK_13
SK21-400,SVK_3
SK4-400,SVK_13
SK19-400,SVK_19
SK14-400,SVK_25
SK8-400,SVK_13
SK9-400,SVK_20
SK11-220,SVK_9
SK5-400,
SK1-220,
SK6-220,SVK_5
SK25-400,
SK13-400,SVK_19
SK16-400,SVK_1
SK2-400,
SK15-400,
SK23-400,
SK3-400,
SK6-220,SVK_6
SK24-400,SVK_11
way/107626084-400,SVK_12
way/111687967-400,SVK_15
way/203232760-400,SVK_18
way/666404730-400,SVK_21
way/100979306-400,SVK_24
SK2-400,SVK_27
