GEM location ID,bus_id
L100000200078,way/550257735-230
L100000200082,TH20-230
L100000200079,way/631215304-230
L100000200080,TH13-500
L100000200081,way/247878196-230
L100000200722,way/404291513-230
L100000200723,way/404291513-230
L100000200724,way/404291513-230
L100000200725,way/404291513-230
L100000200726,way/404291513-230
L100000200727,TH47-230
L100000200050,way/404563246-230
L100000405357,way/404291501-230
L100000405358,way/1366689326-500
L100000405361,way/404006545-230
L100000405362,way/155851424-500
L100000405363,way/27828836-230
L100000405364,way/403512774-230
L100000405365,TH52-230
L100000405366,way/199773788-230
L100000405367,way/261489769-500
L100000405368,TH47-230
L100000405369,TH48-230
L100000405370,TH35-230
L100000405371,way/295988731-230
L100000405372,TH71-500
L100000405373,way/296560688-230
L100000405374,TH76-230
L100000405375,way/403525677-230
L100000407721,way/659861082-230
L100000407871,way/659861082-230
L100000405376,way/659861082-230
L100000405377,way/659859442-230
L100000405378,way/659861082-230
L100000405379,way/1366689326-500
L100000405381,way/403512774-230
L100000405382,way/403512774-230
L100000405383,way/659640311-230
L100000405384,way/708317946-230
L100000405385,way/1364467990-230
L100000405386,way/708317946-230
L100000405387,way/296560688-230
L100000405389,way/708317946-230
L100000405390,way/550622477-230
L100000405392,way/155847885-230
L100000405393,TH71-500
L100000405391,way/381823435-230
L100000405394,way/155847885-230
L100000405395,way/659859442-230
L100000407498,TH57-230
L100000405397,way/650122709-230
L100000405399,way/381823435-230
L100000405400,TH81-230
L100000405401,way/27828836-500
L100000407520,TH47-230
L100000103575,way/550881475-230
L100000405402,TH69-230
L100000405403,way/223601302-500
L100000405404,TH76-230
L100000405405,way/550257735-230
L100000405406,way/659640311-230
L100000405407,way/296560688-230
L100000405408,way/708317946-230
L100000405409,TH36-500
L100000405410,way/199806286-230
L100000405411,way/261489769-500
L100000405412,TH51-500
L100000405413,TH51-500
L100000405414,TH51-230
L100000405416,way/1366689326-500
L100000405417,way/296560688-230
L100000405420,TH38-500
L100000405421,way/404544820-230
L100000407980,way/403466241-230
L100000405423,way/64680187-500
L100000405424,way/26120059-230
L100000405427,TH69-230
L100000405426,TH67-230
L100000405428,way/550862967-230
L100000405429,TH69-230
L100000407870,TH75-230
L100000405431,TH38-500
L100000405432,way/381823390-230
L100000103571,way/199806286-230
L100000103582,way/659861082-230
L100000103583,way/659861082-230
L100000104674,way/650122709-230
L100000103576,way/293324904-500
L100000103584,TH77-500
L100000103579,way/404291513-230
L100000103585,way/404563246-230
L100000104854,way/659861082-230
L100000103574,way/199773788-230
L100000900795,way/904473776-230
L100000900865,TH85-230
L100000900900,TH22-230
L100000900901,TH30-230
L100000900902,way/550957004-230
L100000900903,TH85-230
L100000900904,TH85-230
L100000900905,way/904473776-230
L100000900906,way/904473776-230
L100000900907,way/904473776-230
L100000900908,way/904473776-230
L100000900909,way/904473776-230
L100000900914,way/904473776-230
L100000900915,TH30-230
L100000900916,way/904473776-230
L100000900924,way/550922890-230
L100000900961,way/550922890-230
L100000900979,way/550709376-230
L100000900980,way/904473776-230
L100000900981,way/904473776-230
L100000900982,way/904473776-230
L100000900983,way/904473776-230
L100000900984,way/904473776-230
L100000900985,way/904473776-230
L100000901029,way/550224444-230
L100000922025,way/550709376-230
L100000922026,TH23-230
L100000922040,way/550709376-230
L100000922065,way/659647773-230
L100000922241,TH26-230
L100000922242,TH26-230
L100001020778,way/904473776-230
L100000808784,TH41-500
L100000800796,TH41-500
L100000831073,way/250742034-500
L100000808785,way/238578822-230
L100000800823,TH40-230
L100000800838,TH17-230
L100001025847,way/631215304-230
L100001020834,way/550622477-230
L100000808786,way/550224444-230
L100000831092,TH20-230
L100000831094,TH44-230
L100000831095,TH44-230
L100000831101,way/404563246-230
L100000831105,way/573736537-230
L100000831120,way/1364467990-230
L100000801104,TH6-230
L100000801118,way/1192398379-230
L100000831147,way/404291513-230
L100000831137,way/1364467990-230
L100000801182,way/401936547-500
L100000801268,way/401998847-230
L100000831155,way/239587274-230
L100000801305,TH38-500
L100000801307,way/1364467990-230
L100000831159,TH41-500
L100000831168,way/1364467990-230
L100000801354,TH29-230
L100000808787,TH10-230
L100000801390,TH25-230
L100001025848,way/334185872-230
L100000808788,way/262815047-230
L100001020831,way/261489769-500
L100001020832,way/262815047-230
L100001020783,way/1366689326-500
L100001020836,way/252757805-230
L100000801512,way/550257735-230
L100000801520,TH31-230
L100000831190,TH29-230
L100000831074,way/772281525-230
