bus_id,grid_cell
way/26120059-230,THA_139
way/26120059-230,wof-THA_107
way/26238367-230,THA_140
way/27828836-230,THA_140
way/64680159-230,THA_163
way/64680187-500,THA_163
way/64680187-230,THA_163
way/64680223-230,THA_162
way/64680223-230,wof-THA_123
way/147606553-230,THA_139
way/147606553-230,wof-THA_107
way/155847885-500,THA_181
way/155847885-230,THA_181
way/155851424-230,THA_162
way/155851424-230,wof-THA_123
way/195977249-230,THA_140
way/196803560-230,THA_67
way/199773777-500,THA_140
way/199773777-230,THA_140
way/199773788-230,THA_118
way/199806286-230,THA_140
way/223601302-500,THA_163
way/223601302-230,THA_163
way/234182441-230,THA_50
way/234182441-230,wof-THA_65
way/238578822-230,THA_178
way/239587274-230,THA_48
way/244062167-230,THA_134
way/245311456-500,THA_262
way/245311456-230,THA_262
way/247704837-230,THA_294
way/247878196-230,THA_262
way/250742034-500,THA_82
way/250742034-500,wof-THA_76
way/250742034-230,THA_82
way/250742034-230,wof-THA_76
way/252757805-230,THA_141
way/254460966-230,THA_122
way/259533943-500,THA_174
way/261489769-500,THA_87
way/262815047-230,THA_58
way/1167894587-230,THA_140
way/274497912-230,THA_294
way/293324904-500,THA_128
way/293324904-230,THA_128
way/295988731-230,THA_157
way/295988731-230,wof-THA_108
way/296560688-230,THA_180
way/296560688-230,wof-THA_137
way/301623867-230,THA_139
way/301623867-230,wof-THA_107
way/324258748-230,THA_134
way/334185872-230,THA_88
way/343034987-500,THA_255
way/345996520-230,THA_162
way/345996520-230,wof-THA_123
way/377077088-230,THA_63
way/381823390-500,THA_164
way/381823390-230,THA_164
way/381823435-230,THA_164
way/381850832-230,THA_23
way/381850832-230,wof-THA_54
way/381850842-500,THA_22
way/381850842-500,wof-THA_53
way/381850842-230,THA_22
way/381850842-230,wof-THA_53
way/382334126-230,THA_242
way/382334127-230,THA_241
way/384684882-230,THA_128
way/387737843-230,THA_117
way/387737843-230,wof-THA_92
way/388836605-500,THA_82
way/388836605-500,wof-THA_76
way/388836605-230,THA_82
way/388836605-230,wof-THA_76
way/401936547-500,THA_144
