bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country
way/242159365-500,way/242159365,500.0,f,Substation,f,way/242159365,69.23084029193492,40.11393883587544,TJ
way/488077624-500,way/488077624,500.0,f,Substation,f,way/488077624,68.26975184837931,38.55313023447879,TJ
way/799346816-500,way/799346816,500.0,f,Substation,f,way/799346816,69.77711762925868,38.67039344075657,TJ
way/1016951696-500,way/1016951696,500.0,f,Substation,f,way/1016951696,69.35026886580923,38.381097191055446,TJ
way/1373384046-500,way/1373384046,500.0,f,Substation,f,way/1373384046,69.0879859917068,37.94493603273816,TJ
TJ6-500,TJ6,500.0,f,Substation,f,TJ6,69.26402349999998,40.578366686872414,TJ
TJ29-500,TJ29,500.0,f,Substation,f,TJ29,66.35908639999998,38.69355968504591,TJ
TJ20-500,TJ20,500.0,f,Substation,f,TJ20,69.10205671619377,40.22239937123799,TJ
TJ46-500,TJ46,500.0,f,Substation,f,TJ46,67.3990136,37.521985283865405,TJ
TJ30-500,TJ30,500.0,f,Substation,f,TJ30,68.75452512274353,38.67355273992561,TJ
TJ4-500,TJ4,500.0,f,Substation,f,TJ4,69.33513369999996,40.71308728699878,TJ
TJ10-500,TJ10,500.0,f,Substation,f,TJ10,70.92724019999999,40.3836150866887,TJ
TJ26-500,TJ26,500.0,f,Substation,f,TJ26,69.63365440000001,39.93086658625688,TJ
