GEM location ID,bus_id
L100000406888,TJ30-500
L100000406887,way/1016951696-500
L100000103559,TJ30-500
L100001000509,TJ30-500
L100001016506,way/1373384046-500
L100001023428,TJ26-500
L100000603547,way/242159365-500
L100000603548,way/1016951696-500
L100000603549,TJ30-500
L100000603550,TJ26-500
L100000603551,way/1016951696-500
L100000603552,way/799346816-500
L100000603553,way/799346816-500
L100000603554,way/799346816-500
L100000603555,way/1373384046-500
L100000603556,way/1373384046-500
L100000603557,way/799346816-500
L100000603558,way/1373384046-500
L100000603559,TJ30-500
