bus_id,grid_cell
way/242159365-500,TJK_22
way/488077624-500,TJK_10
way/799346816-500,TJK_28
way/1016951696-500,TJK_27
way/1373384046-500,TJK_17
TJ6-500,TJK_23
TJ29-500,
TJ20-500,TJK_22
TJ46-500,
TJ30-500,TJK_19
TJ4-500,TJK_32
TJ10-500,TJK_46
TJ26-500,TJK_30
TJ46-500,TJK_0
TJ46-500,TJK_1
TJ46-500,TJK_2
way/488077624-500,TJK_3
way/488077624-500,TJK_4
way/488077624-500,TJK_5
way/488077624-500,TJK_6
way/1373384046-500,TJK_7
way/1373384046-500,TJK_8
way/488077624-500,TJK_9
TJ30-500,TJK_11
TJ30-500,TJK_12
TJ20-500,TJK_13
TJ20-500,TJK_14
way/1373384046-500,TJK_15
way/1373384046-500,TJK_16
way/1016951696-500,TJK_18
TJ30-500,TJK_20
way/242159365-500,TJK_21
way/1373384046-500,TJK_24
way/1373384046-500,TJK_25
way/1016951696-500,TJK_26
TJ26-500,TJK_29
TJ26-500,TJK_31
way/1373384046-500,TJK_33
way/799346816-500,TJK_34
way/799346816-500,TJK_35
way/799346816-500,TJK_36
way/799346816-500,TJK_37
TJ26-500,TJK_38
TJ26-500,TJK_39
TJ4-500,TJK_40
way/799346816-500,TJK_41
way/799346816-500,TJK_42
way/799346816-500,TJK_43
TJ10-500,TJK_44
TJ10-500,TJK_45
TJ10-500,TJK_47
way/799346816-500,TJK_48
way/799346816-500,TJK_49
way/799346816-500,TJK_50
way/799346816-500,TJK_51
way/799346816-500,TJK_52
TJ10-500,TJK_53
TJ10-500,TJK_54
TJ10-500,TJK_55
way/799346816-500,TJK_56
way/799346816-500,TJK_57
way/799346816-500,TJK_58
way/799346816-500,TJK_59
TJ10-500,TJK_60
TJ10-500,TJK_61
TJ10-500,TJK_62
way/799346816-500,TJK_63
way/799346816-500,TJK_64
way/799346816-500,TJK_65
TJ10-500,TJK_66
TJ10-500,TJK_67
TJ10-500,TJK_68
way/799346816-500,TJK_69
way/799346816-500,TJK_70
TJ10-500,TJK_71
TJ10-500,TJK_72
TJ10-500,TJK_73
TJ10-500,TJK_74
way/799346816-500,TJK_75
TJ10-500,TJK_76
TJ10-500,TJK_77
TJ10-500,TJK_78
TJ10-500,TJK_79
TJ10-500,TJK_80
TJ10-500,TJK_81
TJ10-500,TJK_82
TJ10-500,TJK_83
TJ10-500,TJK_84
TJ10-500,TJK_85
TJ10-500,TJK_86
TJ10-500,TJK_87
TJ10-500,TJK_88
TJ10-500,TJK_89
TJ10-500,TJK_90
