line_id,bus0,bus1,type,voltage,s_nom,length,network_country,geometry,bus0_name,bus1_name,link_name
TR_line_1,TR123-380,TR136-380,TR123-380;TR136-380,380.0,1698.1026117405274,146239.2,TR,,Denizli,Antalya,Antalya-Denizli
TR_line_2,way/127886746-380,TR123-380,TR123-380;way/127886746-380,380.0,1698.1026117405274,121219.04,TR,,Milas,Denizli,Milas-Denizli
TR_line_3,way/130740157-380,TR123-380,TR123-380;way/130740157-380,380.0,1698.1026117405274,170945.85,TR,,Afyonkarahisar,Denizli,Afyonkarahisar-Denizli
TR_line_4,TR136-380,way/172934516-380,TR136-380;way/172934516-380,380.0,5094.307835221583,94346.29,TR,,Antalya,Beysehir,Beysehir-Antalya
TR_line_5,way/127986151-380,TR44-380,TR44-380;way/127986151-380,380.0,3396.205223481055,131464.135,TR,,Akhisar,Istanbul,Istanbul-Akhisar
TR_line_6,TR44-380,way/130740157-380,TR44-380;way/130740157-380,380.0,1698.1026117405274,44187.52,TR,,Istanbul,Afyonkarahisar,Istanbul-Afyonkarahisar
TR_line_7,TR44-380,way/132128807-380,TR44-380;way/132128807-380,380.0,1698.1026117405274,113130.98,TR,,Istanbul,Kocaeli,Istanbul-Kocaeli
TR_line_8,TR44-380,way/132128807-380,TR44-380;way/132128807-380,380.0,6792.41044696211,98333.8775,TR,,Istanbul,Kocaeli,Istanbul-Kocaeli2
TR_line_9,way/173348127-380,TR44-380,TR44-380;way/173348127-380,380.0,5094.307835221583,144129.62,TR,,Corlu,Istanbul,Istanbul-Corlu
TR_line_10,TR44-380,way/52613323-380,TR44-380;way/52613323-380,380.0,8490.513058702638,24887.676,TR,,Istanbul,Esenyurt,Istanbul-Esenyurt
TR_line_11,TR44-380,way/966899330-380,TR44-380;way/966899330-380,380.0,11886.718282183692,64932.88571428572,TR,,Istanbul,Sakarya,Istanbul-Sakarya
TR_line_12,way/173348127-380,way/468958964-380,way/173348127-380;way/468958964-380,400.0,1787.4764334110816,128507.96,TR,,Corlu,Canakkale,Corlu-Canakkale
TR_line_13,way/190391204-380,way/177818606-380,way/177818606-380;way/190391204-380,380.0,3396.205223481055,63139.97,TR,,Hatay,Osmaniye,Osmaniye-Hatay
TR_line_14,way/127886746-380,way/130569382-380,way/127886746-380;way/130569382-380,380.0,6792.41044696211,64100.285,TR,,Milas,Izmir,Izmir-Milas
