GEM location ID,bus_id,bus_name
L100000200198,way/132128807-380,Kocaeli
L100000200728,way/52613323-380,Esenyurt
L100000500093,way/172934497-380,Konya
L100000500339,way/169679398-380,Amasya
L100000500362,way/173348127-380,Corlu
L100001048283,way/177818606-380,Osmaniye
L100001048284,way/177818606-380,Osmaniye
L100001048286,TR44-380,Istanbul
L100001048288,TR44-380,Istanbul
L100001048309,way/176009144-380,Etimesgut
L100001048310,way/52613323-380,Esenyurt
L100001048315,way/173348127-380,Corlu
L100001048316,way/176009144-380,Etimesgut
L100001048319,TR136-380,Antalya
L100001048321,way/172934516-380,Beysehir
L100001048322,way/132128807-380,Kocaeli
L100001048324,way/130740157-380,Afyonkarahisar
L100001048326,way/169679398-380,Amasya
L100001048327,way/172934497-380,Konya
L100001048329,way/130740157-380,Afyonkarahisar
L100001048330,way/172934497-380,Konya
L100001048340,way/468958964-380,Canakkale
L100001048341,way/127986151-380,Akhisar
L100001048342,way/130569382-380,Izmir
L100001048343,way/127986151-380,Akhisar
L100001048345,way/127886746-380,Milas
L100001048346,TR44-380,Istanbul
L100001048372,TR123-380,Denizli
L100001048373,way/169679398-380,Amasya
L100001048374,way/174078394-380,Duzce
L100001048375,way/173348127-380,Corlu
L100001048379,way/177818606-380,Osmaniye
L100001048382,way/52613323-380,Esenyurt
L100001048411,way/239316403-380,Zonguldak
L100001048412,way/172934497-380,Konya
L100001048447,way/130569382-380,Izmir
L100001048449,TR44-380,Istanbul
L100001048450,way/177818606-380,Osmaniye
L100001048461,TR123-380,Denizli
L100001048463,way/176009144-380,Etimesgut
L100001048464,way/177818606-380,Osmaniye
L100001048467,way/130569382-380,Izmir
L100001048468,way/468958964-380,Canakkale
L100001048470,way/177818606-380,Osmaniye
L100001048471,way/229782457-380,Adyaman
L100001048473,way/172934497-380,Konya
L100001048474,TR123-380,Denizli
L100001048476,way/177818606-380,Osmaniye
L100001048477,way/130569382-380,Izmir
L100001048478,way/52613323-380,Esenyurt
L100001048479,way/173348127-380,Corlu
L100001048480,way/173348127-380,Corlu
L100001048482,way/172934497-380,Konya
L100001048483,way/176009144-380,Etimesgut
L100001048493,way/177818606-380,Osmaniye
L100001048495,way/128190689-380,Elbistan
L100001048496,way/172934497-380,Konya
L100001048497,way/130569382-380,Izmir
L100001048498,way/173348127-380,Corlu
L100001048499,TR44-380,Istanbul
L100001048500,way/177818606-380,Osmaniye
L100000405888,way/177818606-380,Osmaniye
L100000103717,TR44-380,Istanbul
L100000405889,TR136-380,Antalya
L100000408823,way/130569382-380,Izmir
L100000405890,way/130569382-380,Izmir
L100000408835,way/130569382-380,Izmir
L100000405891,way/130569382-380,Izmir
L100000405892,way/52613323-380,Esenyurt
L100000405893,way/52613323-380,Esenyurt
L100000405895,way/173348127-380,Corlu
L100000405896,way/176009144-380,Etimesgut
L100000408834,way/130740157-380,Afyonkarahisar
L100000405927,way/621764967-380,Ordu
L100000408833,way/176009144-380,Etimesgut
L100000405897,TR44-380,Istanbul
L100000407677,TR44-380,Istanbul
L100000405898,TR44-380,Istanbul
L100000405899,TR44-380,Istanbul
L100000408832,TR44-380,Istanbul
L100000408831,way/130740157-380,Afyonkarahisar
L100001016887,way/127986151-380,Akhisar
L100000405900,way/169679398-380,Amasya
L100000405901,way/173348127-380,Corlu
L100000405902,way/130569382-380,Izmir
L100000405903,way/127886746-380,Milas
L100001016312,TR44-380,Istanbul
L100000408830,way/173348127-380,Corlu
L100000405904,way/173348127-380,Corlu
L100000405905,TR123-380,Denizli
L100000405906,TR123-380,Denizli
L100000405907,way/132128807-380,Kocaeli
L100000405908,way/132128807-380,Kocaeli
L100000405909,way/130569382-380,Izmir
L100000405910,way/177818606-380,Osmaniye
L100000405911,way/52613323-380,Esenyurt
L100000405912,way/132128807-380,Kocaeli
L100000407791,way/229782457-380,Adyaman
L100000405913,TR44-380,Istanbul
L100000405914,TR44-380,Istanbul
L100000408829,TR44-380,Istanbul
L100000405915,way/173348127-380,Corlu
L100000408828,TR44-380,Istanbul
L100000405933,way/176009144-380,Etimesgut
L100000408837,way/130569382-380,Izmir
L100000408836,way/966899330-380,Sakarya
L100000405920,way/966899330-380,Sakarya
L100000407676,way/174078394-380,Duzce
L100000408840,way/128190689-380,Elbistan
L100000405918,way/176009144-380,Etimesgut
L100000405919,way/966899330-380,Sakarya
L100000408839,way/173348127-380,Corlu
L100000408838,way/173348127-380,Corlu
