bus_id,grid_cell,bus_name
TR44-380,TUR_76,Istanbul
TR44-380,wof-TUR_51,Istanbul
way/176009144-380,TUR_145,Etimesgut
way/172934516-380,TUR_112,Beysehir
way/172934516-380,wof-TUR_88,Beysehir
way/229782457-380,TUR_251,Adyaman
TR136-380,TUR_91,Antalya
TR136-380,wof-TUR_78,Antalya
way/96580455-380,TUR_334,Artvin
way/96580455-380,wof-TUR_198,Artvin
way/127886746-380,TUR_30,Milas
way/52613323-380,TUR_63,Esenyurt
way/52613323-380,wof-TUR_42,Esenyurt
way/177818606-380,TUR_215,Osmaniye
way/177818606-380,wof-TUR_146,Osmaniye
way/177818606-380,TUR_215,Osmaniye
way/127886746-380,TUR_42,Milas
way/128190689-380,TUR_245,Elbistan
TR44-380,TUR_62,Istanbul
TR44-380,wof-TUR_50,Istanbul
way/127986151-380,TUR_35,Akhisar
way/128190689-380,TUR_232,Elbistan
way/177818606-380,TUR_230,Osmaniye
way/229782457-380,TUR_272,Adyaman
way/129553303-380,TUR_296,Diyarbakr
way/693406206-380,TUR_317,Siirt
way/176009144-380,TUR_145,Etimesgut
way/176009144-380,TUR_145,Etimesgut
way/52613323-380,TUR_64,Esenyurt
way/52613323-380,wof-TUR_43,Esenyurt
way/130569382-380,TUR_21,Izmir
way/130569382-380,TUR_32,Izmir
way/130569382-380,wof-TUR_25,Izmir
way/130740157-380,TUR_95,Afyonkarahisar
TR44-380,TUR_62,Istanbul
TR44-380,wof-TUR_50,Istanbul
way/132128807-380,TUR_99,Kocaeli
way/132128807-380,TUR_99,Kocaeli
way/130569382-380,TUR_21,Izmir
way/130740157-380,TUR_84,Afyonkarahisar
way/172934497-380,TUR_166,Konya
way/169679398-380,TUR_211,Amasya
way/128190689-380,TUR_244,Elbistan
way/128190689-380,TUR_231,Elbistan
way/129553303-380,TUR_305,Diyarbakr
way/172934497-380,TUR_141,Konya
way/172934516-380,TUR_114,Beysehir
way/172934516-380,TUR_114,Beysehir
way/173348127-380,TUR_39,Corlu
way/173348127-380,wof-TUR_33,Corlu
way/174078394-380,TUR_110,Duzce
way/468958964-380,TUR_25,Canakkale
way/468958964-380,wof-TUR_20,Canakkale
way/902347576-380,TUR_361,Van
way/176009144-380,TUR_132,Etimesgut
TR44-380,TUR_75,Istanbul
TR44-380,wof-TUR_59,Istanbul
way/52613323-380,TUR_76,Esenyurt
way/52613323-380,wof-TUR_52,Esenyurt
way/174078394-380,TUR_108,Duzce
TR44-380,TUR_72,Istanbul
TR44-380,TUR_72,Istanbul
way/173348127-380,TUR_27,Corlu
way/177818606-380,TUR_216,Osmaniye
way/173348127-380,TUR_37,Corlu
way/173348127-380,wof-TUR_27,Corlu
way/127986151-380,TUR_36,Akhisar
way/129553303-380,TUR_294,Diyarbakr
way/194508537-380,TUR_273,Cermik
way/177818606-380,TUR_204,Osmaniye
way/177818606-380,TUR_203,Osmaniye
way/174078394-380,TUR_122,Duzce
way/174078394-380,wof-TUR_90,Duzce
way/621764967-380,TUR_281,Ordu
way/190391204-380,TUR_214,Hatay
way/177818606-380,TUR_189,Osmaniye
way/177818606-380,wof-TUR_132,Osmaniye
way/191530942-380,TUR_353,Agr
way/229782457-380,TUR_240,Adyaman
way/194082258-380,TUR_321,Erzurum
way/194508537-380,TUR_285,Cermik
way/129553303-380,TUR_298,Diyarbakr
way/130569382-380,TUR_8,Izmir
way/130569382-380,wof-TUR_6,Izmir
way/127986151-380,TUR_35,Akhisar
way/169679398-380,TUR_238,Amasya
way/169679398-380,wof-TUR_159,Amasya
way/468958964-380,TUR_25,Canakkale
way/468958964-380,wof-TUR_20,Canakkale
way/229782457-380,TUR_263,Adyaman
way/130569382-380,TUR_9,Izmir
way/130569382-380,wof-TUR_7,Izmir
way/176009144-380,TUR_160,Etimesgut
way/233873985-380,TUR_276,Arapgir
way/233873985-380,TUR_276,Arapgir
way/239316403-380,wof-TUR_99,Zonguldak
way/172934497-380,TUR_169,Konya
way/902347576-380,TUR_370,Van
way/169679398-380,TUR_199,Amasya
way/172934497-380,TUR_151,Konya
way/132128807-380,TUR_97,Kocaeli
way/52613323-380,TUR_64,Esenyurt
way/52613323-380,wof-TUR_52,Esenyurt
way/693406206-380,TUR_347,Siirt
way/693406206-380,TUR_326,Siirt
way/169679398-380,TUR_212,Amasya
way/468958964-380,TUR_13,Canakkale
way/468958964-380,wof-TUR_11,Canakkale
way/468958964-380,TUR_13,Canakkale
way/468958964-380,wof-TUR_11,Canakkale
way/468958964-380,TUR_13,Canakkale
way/468958964-380,wof-TUR_11,Canakkale
way/176009144-380,TUR_158,Etimesgut
way/621764967-380,TUR_259,Ordu
way/194082258-380,TUR_319,Erzurum
TR44-380,TUR_75,Istanbul
TR44-380,wof-TUR_59,Istanbul
way/621764967-380,TUR_249,Ordu
way/621764967-380,wof-TUR_165,Ordu
way/233873985-380,TUR_267,Arapgir
way/693406206-380,TUR_338,Siirt
way/693406206-380,TUR_339,Siirt
TR44-380,TUR_74,Istanbul
TR44-380,wof-TUR_50,Istanbul
way/239316403-380,TUR_136,Zonguldak
way/239316403-380,wof-TUR_107,Zonguldak
way/129553303-380,TUR_298,Diyarbakr
way/176009144-380,TUR_158,Etimesgut
way/468958964-380,TUR_24,Canakkale
way/96580455-380,TUR_333,Artvin
way/239316403-380,wof-TUR_99,Zonguldak
way/129553303-380,TUR_309,Diyarbakr
way/177818606-380,TUR_215,Osmaniye
way/177818606-380,TUR_216,Osmaniye
way/177818606-380,TUR_216,Osmaniye
way/194082258-380,TUR_290,Erzurum
way/194082258-380,TUR_322,Erzurum
way/693406206-380,TUR_338,Siirt
way/176009144-380,TUR_158,Etimesgut
way/128190689-380,TUR_241,Elbistan
way/52613323-380,TUR_64,Esenyurt
way/52613323-380,wof-TUR_43,Esenyurt
way/128190689-380,TUR_207,Elbistan
way/127986151-380,TUR_35,Akhisar
way/96580455-380,TUR_333,Artvin
way/52613323-380,TUR_76,Esenyurt
way/52613323-380,wof-TUR_51,Esenyurt
way/229782457-380,TUR_240,Adyaman
way/52613323-380,TUR_64,Esenyurt
way/52613323-380,wof-TUR_43,Esenyurt
way/127986151-380,TUR_22,Akhisar
way/127986151-380,wof-TUR_18,Akhisar
way/173348127-380,TUR_40,Corlu
way/194082258-380,TUR_329,Erzurum
way/966899330-380,TUR_87,Sakarya
way/169679398-380,TUR_196,Amasya
way/468958964-380,TUR_13,Canakkale
way/468958964-380,wof-TUR_11,Canakkale
TR123-380,TUR_57,Denizli
way/172934497-380,TUR_166,Konya
way/173348127-380,TUR_51,Corlu
way/173348127-380,wof-TUR_34,Corlu
way/173348127-380,TUR_28,Corlu
way/172934516-380,TUR_112,Beysehir
way/172934516-380,wof-TUR_88,Beysehir
way/169679398-380,TUR_238,Amasya
way/169679398-380,wof-TUR_154,Amasya
way/172934497-380,TUR_141,Konya
way/129553303-380,TUR_298,Diyarbakr
way/693406206-380,TUR_336,Siirt
way/52613323-380,TUR_64,Esenyurt
way/52613323-380,wof-TUR_51,Esenyurt
way/52613323-380,TUR_64,Esenyurt
way/52613323-380,wof-TUR_42,Esenyurt
way/52613323-380,TUR_64,Esenyurt
way/52613323-380,wof-TUR_51,Esenyurt
way/52613323-380,TUR_64,Esenyurt
way/52613323-380,wof-TUR_52,Esenyurt
TR44-380,TUR_75,Istanbul
TR44-380,wof-TUR_51,Istanbul
way/52613323-380,TUR_64,Esenyurt
way/52613323-380,wof-TUR_52,Esenyurt
way/52613323-380,TUR_76,Esenyurt
way/52613323-380,wof-TUR_52,Esenyurt
TR123-380,TUR_68,Denizli
TR44-380,TUR_76,Istanbul
TR44-380,wof-TUR_51,Istanbul
way/229782457-380,TUR_240,Adyaman
way/127886746-380,TUR_30,Milas
way/130740157-380,TUR_84,Afyonkarahisar
way/172934497-380,TUR_166,Konya
way/128190689-380,TUR_243,Elbistan
way/229782457-380,TUR_240,Adyaman
way/693406206-380,TUR_316,Siirt
TR44-380,TUR_75,Istanbul
TR44-380,wof-TUR_51,Istanbul
way/130569382-380,TUR_22,Izmir
way/130569382-380,wof-TUR_17,Izmir
way/173348127-380,TUR_40,Corlu
way/132128807-380,TUR_99,Kocaeli
way/172934516-380,TUR_112,Beysehir
way/172934516-380,wof-TUR_88,Beysehir
way/130569382-380,TUR_21,Izmir
way/172934497-380,TUR_166,Konya
way/130569382-380,TUR_21,Izmir
way/130569382-380,wof-TUR_16,Izmir
way/132128807-380,TUR_99,Kocaeli
way/966899330-380,TUR_87,Sakarya
way/128190689-380,TUR_233,Elbistan
TR123-380,TUR_68,Denizli
way/132128807-380,TUR_99,Kocaeli
way/52613323-380,TUR_64,Esenyurt
way/52613323-380,wof-TUR_51,Esenyurt
way/173348127-380,TUR_51,Corlu
way/173348127-380,wof-TUR_34,Corlu
way/173348127-380,TUR_37,Corlu
way/173348127-380,wof-TUR_27,Corlu
way/468958964-380,TUR_25,Canakkale
way/468958964-380,wof-TUR_20,Canakkale
way/468958964-380,TUR_24,Canakkale
way/194508537-380,TUR_273,Cermik
way/177818606-380,TUR_216,Osmaniye
way/177818606-380,TUR_204,Osmaniye
way/169679398-380,TUR_237,Amasya
way/127886746-380,TUR_31,Milas
way/127886746-380,wof-TUR_25,Milas
way/132128807-380,TUR_99,Kocaeli
way/194508537-380,TUR_274,Cermik
way/127986151-380,TUR_35,Akhisar
way/169679398-380,TUR_238,Amasya
way/169679398-380,wof-TUR_159,Amasya
way/902347576-380,,Van
TR44-380,TUR_74,Istanbul
TR44-380,wof-TUR_50,Istanbul
TR44-380,TUR_75,Istanbul
TR44-380,wof-TUR_59,Istanbul
way/229782457-380,TUR_263,Adyaman
way/132128807-380,TUR_109,Kocaeli
way/176009144-380,TUR_120,Etimesgut
way/172934516-380,TUR_125,Beysehir
way/468958964-380,TUR_7,Canakkale
way/468958964-380,TUR_7,Canakkale
way/173348127-380,TUR_16,Corlu
TR136-380,TUR_91,Antalya
way/130569382-380,TUR_21,Izmir
way/130569382-380,wof-TUR_17,Izmir
way/130569382-380,TUR_22,Izmir
way/130569382-380,wof-TUR_17,Izmir
TR123-380,TUR_69,Denizli
TR123-380,TUR_69,Denizli
TR123-380,TUR_68,Denizli
way/693406206-380,TUR_336,Siirt
way/96580455-380,TUR_334,Artvin
way/96580455-380,wof-TUR_198,Artvin
way/176009144-380,TUR_119,Etimesgut
way/468958964-380,TUR_13,Canakkale
way/468958964-380,wof-TUR_11,Canakkale
way/173348127-380,TUR_39,Corlu
way/173348127-380,wof-TUR_28,Corlu
way/173348127-380,TUR_39,Corlu
way/173348127-380,wof-TUR_33,Corlu
way/172934516-380,TUR_125,Beysehir
way/176009144-380,TUR_146,Etimesgut
way/902347576-380,TUR_370,Van
way/96580455-380,TUR_345,Artvin
way/239316403-380,TUR_136,Zonguldak
way/239316403-380,wof-TUR_107,Zonguldak
way/239316403-380,wof-TUR_99,Zonguldak
way/239316403-380,TUR_122,Zonguldak
way/239316403-380,wof-TUR_90,Zonguldak
TR136-380,TUR_90,Antalya
TR136-380,wof-TUR_78,Antalya
way/468958964-380,TUR_25,Canakkale
way/468958964-380,wof-TUR_20,Canakkale
way/468958964-380,TUR_25,Canakkale
way/468958964-380,wof-TUR_27,Canakkale
way/132128807-380,TUR_99,Kocaeli
way/52613323-380,TUR_64,Esenyurt
way/52613323-380,wof-TUR_52,Esenyurt
way/96580455-380,TUR_335,Artvin
way/96580455-380,wof-TUR_199,Artvin
way/176009144-380,TUR_158,Etimesgut
way/132128807-380,TUR_99,Kocaeli
way/132128807-380,TUR_99,Kocaeli
way/173348127-380,TUR_28,Corlu
way/173348127-380,TUR_39,Corlu
way/52613323-380,TUR_64,Esenyurt
way/52613323-380,wof-TUR_43,Esenyurt
way/52613323-380,TUR_64,Esenyurt
way/52613323-380,wof-TUR_43,Esenyurt
way/177818606-380,TUR_215,Osmaniye
way/173348127-380,TUR_28,Corlu
way/693406206-380,TUR_339,Siirt
way/902347576-380,TUR_360,Van
way/52613323-380,TUR_64,Esenyurt
way/52613323-380,wof-TUR_52,Esenyurt
way/177818606-380,TUR_205,Osmaniye
way/130569382-380,TUR_22,Izmir
way/130569382-380,wof-TUR_18,Izmir
way/127986151-380,TUR_22,Akhisar
way/127986151-380,wof-TUR_18,Akhisar
way/177818606-380,TUR_215,Osmaniye
way/174078394-380,TUR_99,Duzce
TR136-380,TUR_91,Antalya
TR44-380,TUR_72,Istanbul
way/966899330-380,TUR_87,Sakarya
way/966899330-380,wof-TUR_59,Sakarya
way/621764967-380,TUR_247,Ordu
way/96580455-380,TUR_356,Artvin
way/190391204-380,,Hatay
way/693406206-380,TUR_329,Siirt
way/52613323-380,TUR_64,Esenyurt
way/52613323-380,wof-TUR_52,Esenyurt
way/52613323-380,TUR_64,Esenyurt
way/52613323-380,wof-TUR_52,Esenyurt
way/132128807-380,TUR_109,Kocaeli
way/191530942-380,TUR_366,Agr
way/130569382-380,TUR_21,Izmir
way/176009144-380,TUR_158,Etimesgut
way/130569382-380,TUR_22,Izmir
way/130569382-380,wof-TUR_18,Izmir
way/127886746-380,TUR_30,Milas
way/130569382-380,TUR_32,Izmir
way/130569382-380,wof-TUR_25,Izmir
way/468958964-380,TUR_13,Canakkale
way/468958964-380,wof-TUR_11,Canakkale
way/128190689-380,TUR_218,Elbistan
way/52613323-380,TUR_64,Esenyurt
way/52613323-380,wof-TUR_52,Esenyurt
way/172934516-380,TUR_114,Beysehir
way/177818606-380,TUR_215,Osmaniye
way/177818606-380,TUR_215,Osmaniye
TR44-380,TUR_74,Istanbul
TR44-380,wof-TUR_50,Istanbul
way/177818606-380,TUR_192,Osmaniye
way/966899330-380,TUR_87,Sakarya
way/52613323-380,TUR_64,Esenyurt
way/52613323-380,wof-TUR_52,Esenyurt
way/468958964-380,TUR_13,Canakkale
way/468958964-380,wof-TUR_11,Canakkale
way/128190689-380,TUR_243,Elbistan
way/130569382-380,TUR_31,Izmir
way/130569382-380,wof-TUR_25,Izmir
way/173348127-380,TUR_27,Corlu
way/52613323-380,TUR_64,Esenyurt
way/52613323-380,wof-TUR_52,Esenyurt
way/172934516-380,TUR_112,Beysehir
way/172934516-380,wof-TUR_88,Beysehir
way/176009144-380,TUR_145,Etimesgut
way/96580455-380,TUR_334,Artvin
way/96580455-380,wof-TUR_198,Artvin
TR136-380,TUR_91,Antalya
way/96580455-380,TUR_334,Artvin
way/96580455-380,wof-TUR_198,Artvin
