GEM location ID,bus_id
L100000201412,way/171030053-132
L100001018730,way/125886601-132
L100000409028,UG12-132
L100000409027,way/161678232-132
L100000409026,way/600689855-132
L100000900066,way/579581653-132
L100000900067,way/171030053-132
L100000811682,way/579581653-132
L100000811683,UG5-132
L100001018087,way/1006639185-400
L100000800148,way/256934921-132
L100000811684,way/584663033-400
L100000811685,way/579581653-132
L100001018094,way/579581653-132
L100000800196,way/180827526-132
L100000811686,UG9-132
L100000800233,way/256934921-132
L100000811687,way/579581653-132
L100000811688,UG3-220
L100001018088,way/696770566-220
L100001018089,way/696770566-220
L100000827757,UG6-132
L100001021052,way/600689855-132
L100001021053,way/256934921-132
L100001021054,way/256934921-132
L100001018090,way/696770566-220
L100001021050,way/212063751-132
L100000827759,way/579581653-132
L100000827760,way/600689855-132
L100001021051,UG2-220
L100000603674,way/1006639185-400
L100000603675,way/171028597-220
L100000603676,UG1-132
L100000603677,way/846731380-400
L100000603678,way/1006639185-400
L100000603679,way/171030053-132
L100001025635,UG4-220
L100000603680,way/171030053-132
L100000603681,way/846731380-132
