bus_id,grid_cell
way/125886601-132,UGA_60
way/161678232-132,UGA_60
way/171028597-220,UGA_73
way/171028597-132,UGA_73
way/171030053-132,UGA_72
way/180827526-132,UGA_76
way/212063751-220,UGA_35
way/212063751-132,UGA_35
way/584663046-132,UGA_12
way/254584802-132,UGA_8
way/256934921-132,UGA_36
way/579581653-132,UGA_99
way/584663033-400,UGA_60
way/584663033-220,UGA_60
way/584663046-220,UGA_12
way/600689855-220,UGA_106
way/600689855-132,UGA_106
way/668711204-132,UGA_24
way/696770566-220,UGA_27
way/696954754-220,UGA_5
way/846731380-400,UGA_52
way/846731380-132,UGA_52
way/1006639185-400,UGA_53
relation/17309135-220,UGA_8
relation/17309135-132,UGA_8
UG10-132,UGA_60
UG12-132,UGA_60
UG6-132,UGA_85
UG13-132,UGA_33
UG1-132,UGA_73
UG4-220,UGA_9
UG14-220,
UG3-220,UGA_106
UG9-132,UGA_60
UG11-132,UGA_60
UG5-132,UGA_85
UG7-132,
UG8-132,UGA_60
UG2-220,UGA_106
way/696954754-220,UGA_0
way/696954754-220,UGA_1
relation/17309135-132,UGA_2
relation/17309135-132,UGA_3
UG4-220,UGA_4
way/584663046-132,UGA_6
relation/17309135-132,UGA_7
UG4-220,UGA_10
way/696954754-220,UGA_11
way/584663046-220,UGA_13
way/254584802-132,UGA_14
UG4-220,UGA_15
UG4-220,UGA_16
way/696770566-220,UGA_17
way/1006639185-400,UGA_18
way/1006639185-400,UGA_19
way/1006639185-400,UGA_20
UG13-132,UGA_21
way/584663046-220,UGA_22
way/668711204-132,UGA_23
way/668711204-132,UGA_25
way/696770566-220,UGA_26
way/696770566-220,UGA_28
way/1006639185-400,UGA_29
way/1006639185-400,UGA_30
way/1006639185-400,UGA_31
way/1006639185-400,UGA_32
way/212063751-132,UGA_34
way/256934921-132,UGA_37
way/696770566-220,UGA_38
way/696770566-220,UGA_39
way/1006639185-400,UGA_40
way/1006639185-400,UGA_41
way/1006639185-400,UGA_42
way/1006639185-400,UGA_43
way/1006639185-400,UGA_44
UG13-132,UGA_45
way/212063751-220,UGA_46
way/212063751-220,UGA_47
way/256934921-132,UGA_48
way/584663033-400,UGA_49
way/696770566-220,UGA_50
way/846731380-132,UGA_51
way/1006639185-400,UGA_54
way/1006639185-400,UGA_55
way/1006639185-400,UGA_56
UG13-132,UGA_57
way/212063751-220,UGA_58
UG12-132,UGA_59
way/584663033-400,UGA_61
UG1-132,UGA_62
way/846731380-132,UGA_63
way/846731380-400,UGA_64
way/846731380-400,UGA_65
way/1006639185-400,UGA_66
way/1006639185-400,UGA_67
way/1006639185-400,UGA_68
UG11-132,UGA_69
UG11-132,UGA_70
UG11-132,UGA_71
UG1-132,UGA_74
way/180827526-132,UGA_75
way/180827526-132,UGA_77
way/180827526-132,UGA_78
way/180827526-132,UGA_79
way/180827526-132,UGA_80
way/171030053-132,UGA_81
way/171030053-132,UGA_82
way/171030053-132,UGA_83
UG6-132,UGA_84
UG1-132,UGA_86
way/579581653-132,UGA_87
way/579581653-132,UGA_88
way/180827526-132,UGA_89
way/180827526-132,UGA_90
way/180827526-132,UGA_91
way/180827526-132,UGA_92
UG6-132,UGA_93
UG6-132,UGA_94
UG6-132,UGA_95
UG6-132,UGA_96
way/600689855-132,UGA_97
way/579581653-132,UGA_98
way/579581653-132,UGA_100
way/579581653-132,UGA_101
way/180827526-132,UGA_102
way/180827526-132,UGA_103
way/180827526-132,UGA_104
UG3-220,UGA_105
way/600689855-220,UGA_107
way/579581653-132,UGA_108
way/579581653-132,UGA_109
way/579581653-132,UGA_110
way/579581653-132,UGA_111
way/579581653-132,UGA_112
way/180827526-132,UGA_113
UG7-132,UGA_114
way/579581653-132,UGA_115
way/579581653-132,UGA_116
way/579581653-132,UGA_117
way/579581653-132,UGA_118
