bus_id,station_id,x,y,tags,voltage
dem6,dem6,-73.67072132420662,41.10502856001919,demand6,300
dem5,dem5,-119.22381518026565,35.62697950664137,demand5,300
dem3,dem3,-86.36400032520325,41.36988178861788,demand3,300
dem2,dem2,-81.17012009587904,27.68921411268913,demand2,300
dem4,dem4,-96.61636620498614,31.968309695290863,demand4,300
dem9,dem9,-86.56394396782842,33.40726112600536,demand9,300
dem1,dem1,-78.68931690140845,38.8626965571205,demand1,300
dem0,dem0,-109.08171660079051,38.246921739130435,demand0,300
dem8,dem8,-121.78197757847535,46.27119013452914,demand8,300
dem7,dem7,-93.51098452012384,41.84985913312694,demand7,300
gen0,gen0,-86.95605591783232,40.788354760896176,generation0,300
gen1,gen1,-116.95004896668874,35.41030382606585,generation1,300
gen2,gen2,-74.1218094594086,41.306534739960576,generation2,300
gen3,gen3,-88.47908360292729,33.53207083813578,generation3,300
gen4,gen4,-95.87186131882164,42.739360784623244,generation4,300
gen5,gen5,-107.5877698916445,39.169874830265,generation5,300
gen6,gen6,-119.84034387911551,45.620728894328984,generation6,300
gen7,gen7,-79.65511369017042,37.486759078937965,generation7,300
gen8,gen8,-97.62698403843456,32.02281614555526,generation8,300
gen9,gen9,-81.90528628026831,29.337630483389194,generation9,300
sol1,sol1,-87.80247547686378,35.19882315981883,solar1,300
sol2,sol2,-87.73365391508662,32.9127634185501,solar2,300
sol3,sol3,-89.7467450947107,33.09253067524066,solar3,300
sol4,sol4,-84.75985866076412,34.50824205968816,solar4,300
sol5,sol5,-85.21328325122042,36.22950131802077,solar5,300
sol6,sol6,-92.32084677949167,36.05284682152071,solar6,300
sol7,sol7,-90.78025255010628,37.54277292213777,solar7,300
sol8,sol8,-92.46420290960887,37.35816209657354,solar8,300
sol9,sol9,-89.92378001898578,36.52617386652216,solar9,300
sol10,sol10,-87.480140803836,37.352920836328934,solar10,300
sol11,sol11,-91.2237160383467,32.49587025206742,solar11,300
sol12,sol12,-91.99793759598259,34.30840514951505,solar12,300
sol13,sol13,-92.06698547055609,30.65978916085548,solar13,300
sol14,sol14,-90.16481953255494,29.926952775625583,solar14,300
sol15,sol15,-68.92430005078252,46.58135063874083,solar15,300
sol16,sol16,-69.41617404475132,45.07913473542007,solar16,300
sol17,sol17,-73.04177208433599,43.963485780358,solar17,300
sol18,sol18,-75.53684777219195,43.86685801973347,solar18,300
sol19,sol19,-71.1839118881572,43.64443297654352,solar19,300
sol20,sol20,-72.18585708717058,41.8557832522056,solar20,300
sol21,sol21,-74.05830881556797,41.65622535111697,solar21,300
sol22,sol22,-86.31004338679003,32.313228577910884,solar22,300
sol23,sol23,-83.97270800405272,33.086559414734666,solar23,300
sol24,sol24,-82.39910751631686,30.44064723234487,solar24,300
sol25,sol25,-84.9801685660247,30.293557941790475,solar25,300
sol26,sol26,-80.0123790366904,34.180881065787574,solar26,300
sol27,sol27,-81.3677855604676,32.55759559776206,solar27,300
sol28,sol28,-83.56626783133736,39.708546768521614,solar28,300
sol29,sol29,-82.80468837254651,41.168457322182306,solar29,300
sol30,sol30,-87.04420560795707,38.95814656732863,solar30,300
sol31,sol31,-85.86311149177952,39.03480624073506,solar31,300
sol32,sol32,-84.18154073105993,38.33678686639106,solar32,300
sol33,sol33,-80.2230522435827,42.03293863455372,solar33,300
sol34,sol34,-80.31137913795983,40.44439174477016,solar34,300
sol35,sol35,-77.8922448879146,39.29026990563155,solar35,300
sol36,sol36,-75.7647604239851,40.554418388750584,solar36,300
sol37,sol37,-77.76480168758627,42.904040587128584,solar37,300
sol38,sol38,-77.360456195042,41.260640494490964,solar38,300
sol39,sol39,-76.87355105683227,35.66483050213494,solar39,300
sol40,sol40,-77.61139300288544,37.855890675916704,solar40,300
sol41,sol41,-81.49096137901712,35.47859638224075,solar41,300
sol42,sol42,-79.40355380446684,36.47904428999234,solar42,300
sol43,sol43,-80.24853241983085,37.6419428294059,solar43,300
sol44,sol44,-82.70431051323169,37.414285523461736,solar44,300
sol45,sol45,-79.72848508817914,39.368386204269505,solar45,300
sol46,sol46,-81.59499618583872,38.97442783833367,solar46,300
sol47,sol47,-106.98142275619844,48.086765962258035,solar47,300
sol48,sol48,-107.12800827722285,46.37855731752752,solar48,300
sol49,sol49,-104.4977622018175,45.866601330310665,solar49,300
sol50,sol50,-103.95133648475024,47.82489792551828,solar50,300
sol51,sol51,-101.62485772193234,47.74734494555935,solar51,300
sol52,sol52,-100.20866876939516,46.4915232111384,solar52,300
sol53,sol53,-99.35430814420137,48.15403097375322,solar53,300
sol54,sol54,-98.13157698311765,45.5470395924216,solar54,300
sol55,sol55,-99.9763923279194,44.353813164932696,solar55,300
sol56,sol56,-101.99200632956114,44.72805731649411,solar56,300
sol57,sol57,-101.98604966170346,46.13065778457534,solar57,300
sol58,sol58,-94.56020664899931,40.333857735798496,solar58,300
sol59,sol59,-95.2412255471119,41.859443276774016,solar59,300
sol60,sol60,-98.28834259776526,43.06468242244838,solar60,300
sol61,sol61,-94.65686485985636,44.5356507359721,solar61,300
sol62,sol62,-92.85227048069977,47.901216738357355,solar62,300
sol63,sol63,-92.49532701110078,46.528989523982936,solar63,300
sol64,sol64,-94.67729368056035,46.730324091974374,solar64,300
sol65,sol65,-94.73704298050873,48.14315054654007,solar65,300
sol66,sol66,-93.09769030354764,43.78826981913666,solar66,300
sol67,sol67,-91.30887637605203,44.53746714237521,solar67,300
sol68,sol68,-90.5431365908062,43.16673440193881,solar68,300
sol69,sol69,-88.5121211919819,43.231736218569964,solar69,300
sol70,sol70,-90.61393084007995,40.83134210440862,solar70,300
sol71,sol71,-88.25655709792716,41.28416865613251,solar71,300
sol72,sol72,-92.8106842440045,40.69004548789253,solar72,300
sol73,sol73,-92.94464935660334,38.52226398592286,solar73,300
sol74,sol74,-90.86640022238868,38.81915053194519,solar74,300
sol75,sol75,-86.23941624721714,43.41675823149365,solar75,300
sol76,sol76,-87.22076706855158,41.618117504044584,solar76,300
sol77,sol77,-83.83987627759979,44.9300814698726,solar77,300
sol78,sol78,-82.8899286704855,43.59488392423561,solar78,300
sol79,sol79,-87.53294974053678,45.39668247759689,solar79,300
sol80,sol80,-89.9773847601882,45.53517984584879,solar80,300
sol81,sol81,-89.18346871122051,47.913360050116346,solar81,300
sol82,sol82,-86.23941624721714,46.56437950452955,solar82,300
sol83,sol83,-85.74874083654989,46.11471932266727,solar83,300
sol84,sol84,-121.93477497914287,44.329030871383466,solar84,300
sol85,sol85,-122.76348740108426,45.40035461148496,solar85,300
sol86,sol86,-122.24849969515184,47.51968435567776,solar86,300
sol87,sol87,-124.02142286859379,44.3160785952182,solar87,300
sol88,sol88,-116.0861157566327,44.64181154867719,solar88,300
sol89,sol89,-114.21133977126004,48.151502708436965,solar89,300
sol90,sol90,-120.45741177535153,45.40901597616209,solar90,300
sol91,sol91,-117.4975596219878,47.8693508634331,solar91,300
sol92,sol92,-119.25640399257173,47.04172930766833,solar92,300
sol93,sol93,-118.22260244386959,43.529492647894266,solar93,300
sol94,sol94,-124.0214228685938,41.88520956242007,solar94,300
sol95,sol95,-120.57007240479483,43.53390852988651,solar95,300
sol96,sol96,-111.18154253262922,45.64035047841755,solar96,300
sol97,sol97,-110.44901910343374,47.80740481037268,solar97,300
sol98,sol98,-111.60751016236962,41.75498279171832,solar98,300
sol99,sol99,-109.44908054040764,43.37075283620399,solar99,300
sol100,sol100,-114.4573957148775,40.5106573110139,solar100,300
sol101,sol101,-117.42040019361602,41.450851699308714,solar101,300
sol102,sol102,-114.16496822899029,42.78236745149109,solar102,300
sol103,sol103,-121.10421294088941,37.88099475593696,solar103,300
sol104,sol104,-119.97037537895396,41.45465425591944,solar104,300
sol105,sol105,-81.11417597506093,26.98276297812246,solar105,300
sol106,sol106,-118.2111709488639,38.377256795989965,solar106,300
sol107,sol107,-115.32698145138144,38.155967496483946,solar107,300
sol108,sol108,-114.93353537233007,34.437876828168825,solar108,300
sol109,sol109,-110.8680960939818,33.56537831860299,solar109,300
sol110,sol110,-110.80886991365284,40.460690642998934,solar110,300
sol111,sol111,-110.63872116419113,37.57417552357626,solar111,300
sol112,sol112,-94.80951081408413,36.41893473887184,solar112,300
sol113,sol113,-95.78211991013765,34.73766287466941,solar113,300
sol114,sol114,-96.8091739038625,36.794891275641874,solar114,300
sol115,sol115,-96.21601285753916,38.97273351334538,solar115,300
sol116,sol116,-95.14364941850863,38.09460796230264,solar116,300
sol117,sol117,-97.00799156593193,32.14677094837374,solar117,300
sol118,sol118,-95.04354541262842,32.866229908137136,solar118,300
sol119,sol119,-95.62105525341029,30.094517537596573,solar119,300
sol120,sol120,-98.48259035061729,28.229699345107658,solar120,300
sol121,sol121,-100.29980287419077,30.28808746720582,solar121,300
sol122,sol122,-103.40565400246683,30.877854829414407,solar122,300
sol123,sol123,-101.80055161208897,33.0409300942656,solar123,300
sol124,sol124,-104.7658540708677,33.96336233566156,solar124,300
sol125,sol125,-107.10903006582204,33.45068551871642,solar125,300
sol126,sol126,-107.26271512062507,36.56363306442064,solar126,300
sol127,sol127,-103.88150428046634,38.04027041077284,solar127,300
sol128,sol128,-101.93196193944303,37.563148979412915,solar128,300
sol129,sol129,-100.01887286080367,36.468024964409885,solar129,300
sol130,sol130,-97.87508277462467,34.45231696638995,solar130,300
sol131,sol131,-99.81546062407516,33.26336566925838,solar131,300
sol132,sol132,-107.06191022470982,43.23444303443233,solar132,300
sol133,sol133,-104.59730615343038,40.2073761363847,solar133,300
sol134,sol134,-107.75152169583797,40.76766722131832,solar134,300
sol135,sol135,-98.92176608963636,39.209451015796404,solar135,300
sol136,sol136,-98.24601032934557,41.25596796801114,solar136,300
sol137,sol137,-102.95286363857855,42.99386890986105,solar137,300
sol138,sol138,-100.23902733133066,41.95190193919335,solar138,300
sol139,sol139,-102.38968512917164,41.018422406757715,solar139,300
won140,won140,-106.91325194571266,33.03426850796923,wind_onshore140,300
won141,won141,-107.1505314338071,34.37576900112668,wind_onshore141,300
won142,won142,-107.9869108216706,32.170512063531994,wind_onshore142,300
won143,won143,-105.79458625159553,37.07787326191433,wind_onshore143,300
won144,won144,-107.66068051745755,36.147654567354145,wind_onshore144,300
won145,won145,-109.73052027676611,32.31356231725895,wind_onshore145,300
won146,won146,-113.26449688522281,32.43049646347768,wind_onshore146,300
won147,won147,-111.5598492919509,32.24135639647129,wind_onshore147,300
won148,won148,-116.48171818599216,37.95056093954726,wind_onshore148,300
won149,won149,-113.39179242885727,38.65648523412934,wind_onshore149,300
won150,won150,-114.99727106695407,35.77555505068325,wind_onshore150,300
