from_cluster_id,from_cluster_type,to_cluster_id,to_cluster_type,s_nom,num_lines,voltage,length,bus0,bus1,type,line_id,from_bus,to_bus,connection_type,length,water_distance_km,water_share,crosses_water,water_types
0,generation,3,demand,22226.152276695913,22.0,318.8636363636364,81.51012604251355,gen0,dem3,Generation cluster 0 to Demand cluster 3,,,,,81.51012604251355,0.0,0.0,False,[]
0,generation,7,demand,5781.369089313966,5.0,345.0,559.8449933369236,gen0,dem7,Generation cluster 0 to Demand cluster 7,,,,,559.8449933369236,0.0,0.0,False,[]
1,generation,0,demand,12355.9308459541,12.0,297.5,767.7112006534431,gen1,dem0,Generation cluster 1 to Demand cluster 0,,,,,767.7112006534431,0.0,0.0,False,[]
1,generation,5,demand,31013.833292453146,25.0,340.28,207.18684904225108,gen1,dem5,Generation cluster 1 to Demand cluster 5,,,,,207.18684904225108,0.0,0.0,False,[]
2,generation,6,demand,82402.66358025084,80.0,271.3125,43.88746827506687,gen2,dem6,Generation cluster 2 to Demand cluster 6,,,,,43.88746827506687,0.0,0.0,False,[]
3,generation,9,demand,14433.872199794485,8.0,432.5,178.1800696539375,gen3,dem9,Generation cluster 3 to Demand cluster 9,,,,,178.1800696539375,0.0,0.0,False,[]
4,generation,7,demand,4882.045008754016,7.0,262.85714285714283,217.9098207603069,gen4,dem7,Generation cluster 4 to Demand cluster 7,,,,,217.9098207603069,0.0,0.0,False,[]
4,renewable,9,demand,28353.84492498328,15.0,446.0,206.5696964708038,sol4,dem9,Renewable cluster 4 to Demand cluster 9,,,,,206.5696964708038,0.0,0.0,False,[]
5,generation,0,demand,19243.300978441173,25.0,265.4,165.33230388492632,gen5,dem0,Generation cluster 5 to Demand cluster 0,,,,,165.33230388492632,0.0,0.0,False,[]
6,generation,8,demand,2569.4973730284296,5.0,230.0,166.63172075061127,gen6,dem8,Generation cluster 6 to Demand cluster 8,,,,,166.63172075061127,0.0,0.0,False,[]
7,generation,1,demand,13272.01251807728,16.0,229.375,174.741233417285,gen7,dem1,Generation cluster 7 to Demand cluster 1,,,,,174.741233417285,0.0,0.0,False,[]
7,renewable,7,demand,2312.547635725586,2.0,345.0,532.7971330346302,sol7,dem7,Renewable cluster 7 to Demand cluster 7,,,,,532.7971330346302,0.0,0.0,False,[]
8,generation,4,demand,86078.16199645237,75.0,343.46666666666664,95.49667413772035,gen8,dem4,Generation cluster 8 to Demand cluster 4,,,,,95.49667413772035,0.0,0.0,False,[]
8,generation,7,demand,3982.720928194065,4.0,316.25,1151.933846747106,gen8,dem7,Generation cluster 8 to Demand cluster 7,,,,,1151.933846747106,0.0,0.0,False,[]
8,renewable,7,demand,2312.547635725586,2.0,345.0,507.4288764184017,sol8,dem7,Renewable cluster 8 to Demand cluster 7,,,,,507.4288764184017,0.0,0.0,False,[]
