GEM location ID,bus_id
L100000500049,gen9
L100000500102,gen3
L100000500122,gen7
L100000500047,gen0
L100000500062,gen3
L100000500117,gen7
L100000500048,gen0
L100000500053,gen0
L100000500143,gen7
L100000500070,gen7
L100000500282,gen3
L100000500058,gen0
L100000500057,gen6
L100000500050,gen8
L100000500158,gen4
L100000500127,gen0
L100000500069,gen1
L100000500059,gen0
L100000500111,gen0
L100000500128,gen9
L100000500056,gen0
L100000500003,gen3
L100000500446,gen8
L100000500379,gen7
L100000500031,gen2
L100000500154,gen2
L100000500140,gen9
L100000500054,gen0
L100000500055,gen2
L100000500068,gen7
L100000500045,gen2
L100000500172,gen4
L100000500364,gen5
L100000500009,gen2
L100000500116,gen7
L100000500152,gen7
L100000500153,gen0
L100000500008,gen1
L100000500014,gen2
L100000500041,gen7
L100000500182,gen0
L100000500187,gen4
L100000500112,gen0
L100000500497,gen6
L100000500098,gen3
L100000500183,gen2
L100000500060,gen2
L100000500046,gen2
L100000500063,gen3
L100000500380,gen7
L100000500027,gen8
L100000500438,gen7
L100000500103,gen9
L100000500520,gen7
L100000500151,gen7
L100000500013,gen2
L100001007637,gen9
L100000500120,gen7
L100000500043,gen3
L100000500061,gen3
L100000500052,gen4
L100000200337,gen3
L100000200338,gen3
L100000407496,gen9
L100000104229,gen7
L100000200339,gen2
L100000201320,gen8
L100000104066,gen2
L100000201321,gen3
L100000407450,gen3
L100000201324,gen9
L100000200341,gen2
L100000200342,gen0
L100000201325,gen9
L100000201327,gen1
L100000201328,gen3
L100000407475,gen2
L100000201330,gen2
L100000407473,gen7
L100000200343,gen2
L100000201332,gen2
L100000200344,gen4
L100000201333,gen1
L100000200345,gen2
L100000201334,gen2
L100000201335,gen7
L100000201336,gen7
L100000200346,gen2
L100000407471,gen9
L100000201339,gen8
L100000201342,gen7
L100000201343,gen0
L100000103827,gen9
L100000201345,gen9
L100000104682,gen7
L100000201348,gen0
L100000201349,gen7
L100000201351,gen0
L100000200348,gen7
L100000200348,gen9
L100000200350,gen7
L100000201353,gen0
L100000201354,gen6
L100000201355,gen7
L100000104240,gen7
L100000103839,gen9
L100000201356,gen2
L100000201357,gen9
L100000407433,gen7
L100000104170,gen9
L100000407431,gen6
L100000201361,gen7
L100000200359,gen2
L100000201362,gen9
L100000201363,gen6
L100000104081,gen7
L100000201364,gen0
L100000407423,gen8
L100000200361,gen7
L100000201366,gen4
L100000200364,gen7
L100000201367,gen3
L100000103800,gen1
L100000200365,gen8
L100000201369,gen3
L100000201370,gen7
L100000201371,gen9
L100000200366,gen2
L100000201372,gen9
L100000200367,gen9
L100000407400,gen9
L100000200368,gen9
L100000407398,gen9
L100000201375,gen3
L100000200369,gen9
L100000201376,gen3
L100000201377,gen3
L100000200370,gen9
L100000200371,gen2
L100000201378,gen7
L100000200373,gen9
L100000201380,gen3
L100000200376,gen1
L100000200377,gen2
L100000201383,gen2
L100000201384,gen7
L100000402505,gen3
L100000201386,gen9
L100000201387,gen3
L100000407397,gen0
L100000104050,gen2
L100000201390,gen6
L100000200379,gen6
L100000201391,gen2
L100000104244,gen7
L100000200380,gen6
