bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country
way/97261904-230,way/97261904,230.0,f,Substation,f,way/97261904,-69.70631262516221,11.3774353539027,VE
way/178639243-230,way/178639243,230.0,f,Substation,f,way/178639243,-66.86586955839324,10.396349481405316,VE
way/181559182-230,way/181559182,230.0,f,Substation,f,way/181559182,-66.81358453914837,10.499798196250952,VE
way/187936908-400,way/187936908,400.0,f,Substation,f,way/187936908,-71.71915088389036,10.717252820802363,VE
way/187936908-230,way/187936908,230.0,f,Substation,f,way/187936908,-71.71918666198687,10.71696883333436,VE
way/249635068-400,way/249635068,400.0,f,Substation,f,way/249635068,-63.00355916205574,7.776341152658818,VE
way/249635068-230,way/249635068,230.0,f,Substation,f,way/249635068,-63.00378641708561,7.77629798845228,VE
way/249635068-765,way/249635068,765.0,f,Substation,f,way/249635068,-63.00362280393963,7.7765399184942785,VE
way/252437677-400,way/252437677,400.0,f,Substation,f,way/252437677,-71.66950156743918,7.738492553544118,VE
way/252437677-230,way/252437677,230.0,f,Substation,f,way/252437677,-71.66954853887407,7.738203385965417,VE
way/264134612-230,way/264134612,230.0,f,Substation,f,way/264134612,-71.58730101278839,10.78737462046396,VE
way/264156840-230,way/264156840,230.0,f,Substation,f,way/264156840,-71.39754134611056,10.398412394148735,VE
way/264156841-230,way/264156841,230.0,f,Substation,f,way/264156841,-71.30265916904612,10.232708672825993,VE
way/264156842-230,way/264156842,230.0,f,Substation,f,way/264156842,-71.28930909137335,10.211299169698997,VE
way/264241198-400,way/264241198,400.0,f,Substation,f,way/264241198,-62.87891729683199,8.364732182046012,VE
way/264310054-400,way/264310054,400.0,f,Substation,f,way/264310054,-65.92311764833423,9.105862425086553,VE
way/264310078-765,way/264310078,765.0,f,Substation,f,way/264310078,-65.93318801848892,9.007574939004302,VE
way/264334536-765,way/264334536,765.0,f,Substation,f,way/264334536,-67.51850821624245,10.053643288785388,VE
way/264334536-400,way/264334536,400.0,f,Substation,f,way/264334536,-67.51842784341197,10.053459217651811,VE
way/264334536-230,way/264334536,230.0,f,Substation,f,way/264334536,-67.51866167172676,10.053394912384118,VE
way/264393619-230,way/264393619,230.0,f,Substation,f,way/264393619,-66.7970082698549,10.23472023020322,VE
way/265064743-400,way/265064743,400.0,f,Substation,f,way/265064743,-64.85160845480665,10.030691351861732,VE
way/265064745-230,way/265064745,230.0,f,Substation,f,way/265064745,-64.63100682421344,10.017711626966454,VE
way/265422932-230,way/265422932,230.0,f,Substation,f,way/265422932,-69.31510642454651,10.044045063500043,VE
way/265524283-230,way/265524283,230.0,f,Substation,f,way/265524283,-69.37036762930181,10.09619945732122,VE
way/265524284-765,way/265524284,765.0,f,Substation,f,way/265524284,-69.13561665467616,9.924556390295605,VE
way/265524284-400,way/265524284,400.0,f,Substation,f,way/265524284,-69.13553317846466,9.924376416912905,VE
way/265524284-230,way/265524284,230.0,f,Substation,f,way/265524284,-69.13576792954761,9.924305236570769,VE
way/322951095-230,way/322951095,230.0,f,Substation,f,way/322951095,-67.00895926280315,10.478293154158813,VE
way/342975228-400,way/342975228,400.0,f,Substation,f,way/342975228,-66.66188185679597,10.248691695940524,VE
way/342975228-230,way/342975228,230.0,f,Substation,f,way/342975228,-66.66193199660262,10.248403186820209,VE
way/353744944-230,way/353744944,230.0,f,Substation,f,way/353744944,-71.72804193616525,8.627601900568102,VE
way/365007880-400,way/365007880,400.0,f,Substation,f,way/365007880,-68.15408649385732,10.486783194492377,VE
way/365007880-230,way/365007880,230.0,f,Substation,f,way/365007880,-68.15413216254802,10.486495990246,VE
way/374453219-230,way/374453219,230.0,f,Substation,f,way/374453219,-70.21417574009803,8.69017516831806,VE
way/376845631-230,way/376845631,230.0,f,Substation,f,way/376845631,-63.45744399487827,10.484142653495212,VE
