GEM location ID,bus_id
L100000406621,way/677150278-230
L100000406623,VE39-230
L100000406624,way/565534382-230
L100000406626,way/264156842-230
L100000406625,way/609494059-230
L100000408593,way/374453219-230
L100000408592,way/374453219-230
L100000408591,way/1315070791-230
L100000406629,way/795878094-230
L100000406628,way/97261904-230
L100000406630,way/677150278-230
L100000406627,way/686182054-230
L100000406685,VE16-230
L100000406631,way/97261904-230
L100000406632,way/609494059-230
L100000406633,way/565534382-230
L100000406634,way/376845631-230
L100000406635,way/806074207-230
L100000406636,VE23-230
L100000406637,way/392161362-230
L100000406638,way/365007880-400
L100000406639,way/502761909-230
L100000406640,VE44-230
L100000406641,way/264156842-230
L100000408590,VE46-400
L100000406643,way/374453219-230
L100000406642,way/365007880-230
L100000406644,way/801987822-230
L100000905443,VE1-230
L100000905444,way/97261904-230
L100001028343,VE30-230
L100000603982,VE47-400
L100000603983,VE54-230
L100000603984,way/249635068-400
L100000603985,way/799462016-230
L100000603986,way/374453219-230
L100000603987,VE49-400
L100000603988,VE53-230
L100000603989,VE45-400
L100000603990,VE45-400
L100000603991,way/791395098-400
L100000603992,way/249635068-230
