bus_id,grid_cell
way/97261904-230,VEN_100
way/97261904-230,wof-VEN_47
way/178639243-230,VEN_203
way/178639243-230,wof-VEN_105
way/181559182-230,VEN_203
way/181559182-230,wof-VEN_105
way/187936908-400,VEN_35
way/187936908-400,wof-VEN_8
way/187936908-230,VEN_35
way/187936908-230,wof-VEN_8
way/249635068-400,VEN_374
way/249635068-230,VEN_374
way/249635068-765,VEN_374
way/252437677-400,VEN_28
way/252437677-230,VEN_28
way/264134612-230,VEN_35
way/264134612-230,wof-VEN_9
way/264156840-230,VEN_46
way/264156840-230,wof-VEN_15
way/264156841-230,VEN_46
way/264156841-230,wof-VEN_14
way/264156842-230,VEN_46
way/264156842-230,wof-VEN_14
way/264241198-400,VEN_393
way/264241198-400,wof-VEN_229
way/264310054-400,VEN_248
way/264310078-765,VEN_248
way/264334536-765,VEN_157
way/264334536-400,VEN_157
way/264334536-230,VEN_157
way/264393619-230,VEN_203
way/265064743-400,VEN_296
way/265064743-400,wof-VEN_157
way/265064745-230,VEN_317
way/265064745-230,wof-VEN_172
way/265422932-230,VEN_97
way/265524283-230,VEN_97
way/265524284-765,VEN_111
way/265524284-400,VEN_111
way/265524284-230,VEN_111
way/322951095-230,VEN_203
way/322951095-230,wof-VEN_94
way/342975228-400,VEN_203
way/342975228-230,VEN_203
way/353744944-230,VEN_30
way/365007880-400,VEN_138
way/365007880-400,wof-VEN_72
way/365007880-230,VEN_138
way/365007880-230,wof-VEN_72
way/374453219-230,VEN_65
way/376845631-230,VEN_361
way/376845631-230,wof-VEN_201
way/392161358-230,VEN_137
way/392161362-230,VEN_158
way/441856561-230,VEN_177
way/444326692-230,VEN_203
way/444326692-230,wof-VEN_105
way/472249822-230,VEN_80
way/497203467-400,VEN_338
way/497203467-230,VEN_338
way/497276787-400,VEN_436
way/497276787-230,VEN_436
way/502761909-230,VEN_34
way/502761909-230,wof-VEN_8
way/505185835-230,VEN_110
way/514066950-230,VEN_378
way/551355874-230,VEN_111
way/564346877-230,VEN_379
way/565534382-230,VEN_341
way/565534382-230,wof-VEN_187
way/569768673-765,VEN_312
way/609494059-230,VEN_180
way/609494059-230,wof-VEN_94
way/675889520-400,VEN_393
way/675889520-400,wof-VEN_229
way/675996415-400,VEN_359
way/675996415-230,VEN_359
way/676645121-400,VEN_357
way/677061975-230,VEN_375
way/677150278-230,VEN_318
way/677150278-230,wof-VEN_172
way/677186398-400,VEN_203
way/686182054-230,VEN_203
way/686182054-230,wof-VEN_105
way/687256510-230,VEN_179
way/706766425-400,VEN_110
way/743541244-230,VEN_315
way/783149321-230,VEN_152
way/790976844-230,VEN_40
way/791120846-400,VEN_55
way/791120846-230,VEN_55
way/791294867-230,VEN_50
way/791395098-400,VEN_374
way/793249697-400,VEN_423
way/794639093-230,VEN_317
way/794639093-230,wof-VEN_172
way/795345873-230,VEN_314
way/795511372-230,VEN_227
way/795511372-230,wof-VEN_116
way/795878094-230,VEN_227
way/796286014-230,VEN_203
way/796286014-230,wof-VEN_105
way/796423121-230,VEN_203
way/798451066-230,VEN_46
way/798451066-230,wof-VEN_14
way/799462016-230,VEN_65
way/801907613-230,VEN_34
way/801907613-230,wof-VEN_8
way/801987822-230,VEN_34
way/801987822-230,wof-VEN_8
way/804392437-230,VEN_137
way/804397572-230,VEN_136
way/806074207-230,VEN_158
way/806074207-230,wof-VEN_83
way/806074214-230,VEN_180
way/1315053537-230,VEN_30
way/1315070791-230,VEN_30
VE30-765,VEN_137
VE30-230,VEN_137
VE30-400,VEN_137
VE33-230,VEN_137
way/264134612-400,VEN_35
way/264134612-400,wof-VEN_9
VE56-230,VEN_16
VE31-230,VEN_137
VE8-230,VEN_46
VE8-230,wof-VEN_8
VE24-230,VEN_46
VE24-230,wof-VEN_14
VE18-230,VEN_46
VE18-230,wof-VEN_15
VE1-230,VEN_24
VE15-230,VEN_203
VE15-230,wof-VEN_94
VE13-230,VEN_203
VE13-230,wof-VEN_105
VE9-230,VEN_203
VE9-230,wof-VEN_105
VE19-230,VEN_203
VE19-230,wof-VEN_105
VE26-230,VEN_202
VE45-400,VEN_393
VE45-400,wof-VEN_229
VE38-230,VEN_316
VE23-230,VEN_203
way/677186398-230,VEN_203
VE57-230,VEN_435
VE58-230,VEN_435
VE32-230,VEN_317
VE32-230,wof-VEN_172
VE5-400,VEN_47
VE5-400,wof-VEN_16
VE4-400,VEN_35
VE4-400,wof-VEN_9
VE5-230,VEN_47
VE5-230,wof-VEN_16
VE59-230,VEN_445
VE43-230,VEN_95
VE44-230,VEN_293
VE17-230,VEN_203
VE17-230,wof-VEN_105
VE3-230,VEN_139
VE3-230,wof-VEN_64
VE46-400,VEN_393
VE46-400,wof-VEN_229
VE28-230,VEN_179
VE27-230,VEN_179
VE35-230,VEN_359
VE54-230,VEN_40
VE42-230,VEN_338
VE20-230,VEN_227
VE20-230,wof-VEN_116
VE10-230,VEN_203
VE10-230,wof-VEN_94
VE11-230,VEN_203
VE11-230,wof-VEN_105
VE14-230,VEN_203
VE14-230,wof-VEN_105
VE12-230,VEN_203
VE12-230,wof-VEN_105
VE21-230,VEN_203
VE21-230,wof-VEN_105
VE7-230,VEN_35
VE7-230,wof-VEN_8
VE2-230,VEN_127
VE2-230,wof-VEN_64
VE29-230,VEN_111
way/264310078-400,VEN_248
VE50-400,VEN_356
way/264393619-765,VEN_203
VE4-230,VEN_35
VE4-230,wof-VEN_9
VE53-230,VEN_28
VE6-230,VEN_35
VE6-230,wof-VEN_9
VE39-230,VEN_316
VE52-230,VEN_5
VE37-230,VEN_339
VE60-230,
VE22-230,VEN_227
VE22-230,wof-VEN_116
VE34-400,VEN_110
VE55-230,VEN_40
VE40-230,VEN_54
VE51-400,VEN_374
VE36-230,VEN_359
VE16-230,VEN_203
VE16-230,wof-VEN_105
VE25-230,VEN_46
VE25-230,wof-VEN_14
VE41-230,VEN_54
VE48-230,VEN_29
VE49-400,VEN_29
VE47-400,VEN_393
VE47-400,wof-VEN_229
VE46-230,VEN_393
VE46-230,wof-VEN_229
VE32-400,VEN_317
VE32-400,wof-VEN_172
VE52-230,VEN_0
way/1315053537-230,VEN_1
VE1-230,VEN_2
VE1-230,VEN_3
VE56-230,VEN_4
VE52-230,VEN_6
VE52-230,VEN_7
way/1315053537-230,VEN_8
way/1315053537-230,VEN_9
way/801907613-230,VEN_10
VE1-230,VEN_11
VE1-230,VEN_12
VE1-230,VEN_13
VE56-230,VEN_14
VE56-230,VEN_15
VE48-230,VEN_17
way/1315070791-230,VEN_18
way/1315053537-230,VEN_19
way/1315053537-230,VEN_20
way/801987822-230,VEN_21
way/801907613-230,VEN_22
VE1-230,VEN_23
