bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country
way/153608703-220,way/153608703,220.0,f,Substation,f,way/153608703,106.06495403267309,20.9332122237456,VN
way/183249722-220,way/183249722,220.0,f,Substation,f,way/183249722,107.92740719977876,12.576826217358832,VN
way/241065371-220,way/241065371,220.0,f,Substation,f,way/241065371,106.77613869201208,20.829349360416344,VN
way/251790836-500,way/251790836,500.0,f,Substation,f,way/251790836,105.8543039015644,20.87741171559048,VN
way/251790836-220,way/251790836,220.0,f,Substation,f,way/251790836,105.85401672700831,20.87758916216748,VN
way/1216970886-500,way/1216970886,500.0,f,Substation,f,way/1216970886,107.03684987703647,10.60702215620488,VN
way/294127333-220,way/294127333,220.0,f,Substation,f,way/294127333,106.86961453979822,10.925577056810264,VN
way/306259034-220,way/306259034,220.0,f,Substation,f,way/306259034,106.80148209596204,10.780210001756087,VN
way/306295536-500,way/306295536,500.0,f,Substation,f,way/306295536,106.71841862830767,10.700425262960351,VN
way/306295540-220,way/306295540,220.0,f,Substation,f,way/306295540,106.83977656604944,10.64518483592381,VN
way/306440153-500,way/306440153,500.0,f,Substation,f,way/306440153,106.68730903862038,11.041369147468863,VN
way/306440155-220,way/306440155,220.0,f,Substation,f,way/306440155,106.98091018094792,11.106400663819812,VN
way/307638314-220,way/307638314,220.0,f,Substation,f,way/307638314,106.660880947043,10.699752669421112,VN
way/315445688-500,way/315445688,500.0,f,Substation,f,way/315445688,108.09058042412732,11.61103953184666,VN
way/315553115-500,way/315553115,500.0,f,Substation,f,way/315553115,106.60270190511052,10.739322609171811,VN
way/315553115-220,way/315553115,220.0,f,Substation,f,way/315553115,106.60242231085832,10.739499109034355,VN
way/315766007-220,way/315766007,220.0,f,Substation,f,way/315766007,106.9327334990802,10.7342087544452,VN
way/315766015-220,way/315766015,220.0,f,Substation,f,way/315766015,106.93818251194364,10.7470997046165,VN
way/317895152-500,way/317895152,500.0,f,Substation,f,way/317895152,106.96729095498914,10.995398108167311,VN
way/318268202-220,way/318268202,220.0,f,Substation,f,way/318268202,106.64026070054724,10.859506588782262,VN
way/400413519-220,way/400413519,220.0,f,Substation,f,way/400413519,107.8554847438688,12.809824569147215,VN
way/400413521-220,way/400413521,220.0,f,Substation,f,way/400413521,107.8602254246961,12.767203160984192,VN
way/400474243-220,way/400474243,220.0,f,Substation,f,way/400474243,108.68243317470328,11.836772000753728,VN
way/400482074-220,way/400482074,220.0,f,Substation,f,way/400482074,108.35440457277112,11.4693543825894,VN
way/400591170-500,way/400591170,500.0,f,Substation,f,way/400591170,105.73344448200017,20.31373908403993,VN
way/400591170-220,way/400591170,220.0,f,Substation,f,way/400591170,105.73315785699133,20.31391565415938,VN
way/400633260-500,way/400633260,500.0,f,Substation,f,way/400633260,105.8884116959723,18.251696108571387,VN
way/400633260-220,way/400633260,220.0,f,Substation,f,way/400633260,105.888127265154,18.251872593930983,VN
way/400645442-220,way/400645442,220.0,f,Substation,f,way/400645442,106.58594337576332,17.460854825444937,VN
way/400791086-500,way/400791086,500.0,f,Substation,f,way/400791086,108.1615664411144,16.007173225243555,VN
way/400791086-220,way/400791086,220.0,f,Substation,f,way/400791086,108.16128487604216,16.00736110798711,VN
way/401042494-220,way/401042494,220.0,f,Substation,f,way/401042494,107.60415824982184,16.43828553629568,VN
way/401532710-220,way/401532710,220.0,f,Substation,f,way/401532710,107.4907591609454,13.969685869169542,VN
way/433817466-220,way/433817466,220.0,f,Substation,f,way/433817466,107.84360348030546,15.775243060754171,VN
way/436002389-220,way/436002389,220.0,f,Substation,f,way/436002389,107.12414607998508,16.775904201068908,VN
way/1211783783-220,way/1211783783,220.0,f,Substation,f,way/1211783783,108.16277350167174,15.35793908944018,VN
way/439941742-220,way/439941742,220.0,f,Substation,f,way/439941742,107.89511005212084,15.44405882024453,VN
way/468821783-500,way/468821783,500.0,f,Substation,f,way/468821783,107.12944107797196,21.038566397041457,VN
way/468821783-220,way/468821783,220.0,f,Substation,f,way/468821783,107.12915473550822,21.03875064599379,VN
way/469414362-220,way/469414362,220.0,f,Substation,f,way/469414362,106.24041809674353,21.291718340507792,VN
way/479326578-220,way/479326578,220.0,f,Substation,f,way/479326578,107.36130749800002,16.278165305450933,VN
way/481965040-220,way/481965040,220.0,f,Substation,f,way/481965040,104.19348952593666,22.50597699989604,VN
way/483057097-220,way/483057097,220.0,f,Substation,f,way/483057097,105.81206912704296,21.611857939273424,VN
way/483525462-220,way/483525462,220.0,f,Substation,f,way/483525462,105.65254200282324,21.256395716408424,VN
way/484052979-220,way/484052979,220.0,f,Substation,f,way/484052979,105.67545752369146,19.86345196413918,VN
way/484379351-220,way/484379351,220.0,f,Substation,f,way/484379351,106.336669099723,20.545320048849607,VN
way/548201687-220,way/548201687,220.0,f,Substation,f,way/548201687,108.24363215696783,12.96030712346607,VN
way/548210485-220,way/548210485,220.0,f,Substation,f,way/548210485,108.03665002875758,12.284218473426314,VN
way/548717060-500,way/548717060,500.0,f,Substation,f,way/548717060,108.8037501099714,11.32050473456042,VN
way/548717060-220,way/548717060,220.0,f,Substation,f,way/548717060,108.8034704950434,11.32069410660933,VN
way/548723124-220,way/548723124,220.0,f,Substation,f,way/548723124,108.1057288777833,10.964820769660689,VN
way/548752026-220,way/548752026,220.0,f,Substation,f,way/548752026,107.7136708770164,10.68930771149591,VN
way/548869165-220,way/548869165,220.0,f,Substation,f,way/548869165,105.146036266659,10.684038560137472,VN
way/548869170-220,way/548869170,220.0,f,Substation,f,way/548869170,105.54578374936077,10.248154441248207,VN
