bus0,bus1,voltage,s_nom,length,type,geometry
way/400413519-220,VN774-220,220.0,491.5560191880474,6398.69,Al/St 240/40 2-bundle 220.0,"LINESTRING (107.85548474386879 12.809824569147217, 107.85955890244577 12.810296939314197, 107.8614707 12.8097227, 107.8652994 12.8085727, 107.8684283 12.8076329, 107.8722918 12.8064725, 107.8744508 12.805824, 107.8769892 12.8050615, 107.8792399 12.8043855, 107.881276 12.8037739, 107.8839256 12.8029781, 107.885918 12.8023796, 107.8869474 12.8008689, 107.8886414 12.798383, 107.8901869 12.7961151, 107.891825 12.7937112, 107.8934879 12.7912708, 107.8943771 12.7899659, 107.8957479 12.7879542, 107.8967103 12.7865419, 107.8956738 12.7822123, 107.89516671912624 12.780093989542465, 107.89424999999997 12.776281776237123)"
VN774-220,VN782-220,220.0,983.1120383760948,13242.94,Al/St 240/40 2-bundle 220.0,"LINESTRING (107.89424999999997 12.776281776237123, 107.89867947561142 12.775091707512436, 107.9000823 12.7747148, 107.9035281 12.773789, 107.9062862 12.7730479, 107.9093027 12.7722374, 107.9130351 12.7712346, 107.9154203 12.7705937, 107.9168698 12.7682859, 107.9186058 12.765522, 107.920529 12.7624601, 107.9225643 12.7592196, 107.9238297 12.7572047, 107.923467 12.7544559, 107.9229877 12.7508235, 107.9226201 12.7480377, 107.9222493 12.7452283, 107.9218653 12.7423183, 107.9215063 12.7395972, 107.9210682 12.7362772, 107.9234921 12.7325714, 107.9257661 12.7290947, 107.9277177 12.7261109, 107.9297137 12.7230592, 107.9313618 12.7205394, 107.9332962 12.7175817, 107.9349691 12.7150239, 107.9369676 12.7119683, 107.9384706 12.7096702, 107.9404899 12.7079655, 107.9433844 12.7055221, 107.946118 12.7032144, 107.9482117 12.7014469, 107.9505645 12.6994607, 107.953107 12.6973143, 107.95605 12.6948298, 107.9578547 12.6933063, 107.9600083 12.6910442, 107.9619659 12.6889879, 107.9641693 12.6866734, 107.9666686 12.6846613, 107.9692221 12.6826056, 107.9711837 12.6810264, 107.97327831749871 12.679340097944966, 107.97722777704026 12.674617649844523)"
VN884-500,VN876-500,500.0,2234.345541763852,8770.51,Al/St 240/40 4-bundle 380.0,"LINESTRING (107.71915820758026 11.999436455204792, 107.72554518389096 12.004074625147084, 107.7270115 12.0058557, 107.7297663 12.0092017, 107.7314623 12.0112617, 107.734589 12.0150594, 107.7363922 12.0172495, 107.7390019 12.0204192, 107.7424178 12.024568, 107.7451568 12.0278946, 107.7479228 12.031254, 107.7499071 12.033664, 107.7513546 12.035422, 107.7544836 12.0392221, 107.75629824885634 12.041425960132992, 107.75846290000003 12.044054877132051)"
VN319-220,VN312-220,220.0,983.1120383760948,28497.36,Al/St 240/40 2-bundle 220.0,"LINESTRING (105.96820147819021 20.27300860723643, 105.97175925231976 20.275868350457284, 105.9722715 20.2760315, 105.9736768 20.2765508, 105.9750188 20.2771134, 105.9765151 20.2777468, 105.9756301 20.2796367, 105.9747732 20.2814668, 105.9739647 20.2832969, 105.9732965 20.2846987, 105.9725174 20.2864436, 105.9716299 20.2882616, 105.9707817 20.2900212, 105.9703566 20.2906895, 105.9692314 20.2931436, 105.9684831 20.2952883, 105.9670508 20.2984756, 105.9659578 20.3009133, 105.9676717 20.3016705, 105.9717567 20.304586, 105.975017 20.3074373, 105.9769421 20.3091145, 105.9787586 20.3108923, 105.9808695 20.3125751, 105.9834733 20.3145919, 105.9862467 20.316772, 105.9889027 20.3188572, 105.9911947 20.3206645, 105.9946024 20.3233256, 105.997919 20.3241053, 105.9989932 20.326569, 105.9999709 20.3287773, 106.0023017 20.3302185, 106.004933 20.3319891, 106.00764 20.3338, 106.0106642 20.3358447, 106.0135871 20.337814, 106.0163136 20.3396411, 106.0189321 20.3414016, 106.0214856 20.3431381, 106.0244554 20.3448608, 106.0275829 20.3472235, 106.0306761 20.3493354, 106.03387 20.3514912, 106.0370269 20.3536111, 106.039744 20.3554142, 106.0422854 20.3571267, 106.0450112 20.3589681, 106.0474842 20.3606598, 106.0503937 20.363192, 106.052793 20.3652891, 106.0552995 20.3674912, 106.0582982 20.3701296, 106.0615933 20.3715741, 106.0648964 20.3730394, 106.0681962 20.374489, 106.0707396 20.3756148, 106.073049 20.3766382, 106.075874 20.3778803, 106.078164 20.3801281, 106.081274 20.3831905, 106.0851324 20.3842389, 106.0896146 20.385474, 106.0945941 20.3894942, 106.096916 20.3914612, 106.0997862 20.3938034, 106.1028195 20.3962661, 106.1057185 20.3986091, 106.1086251 20.4009558, 106.11111723925133 20.402985243123055, 106.1139383 20.40528247160699)"
way/251790836-220,VN255-220,220.0,983.1120383760948,18482.39,Al/St 240/40 2-bundle 220.0,"LINESTRING (105.85401672700833 20.877589162167478, 105.85969451024245 20.87983013795948, 105.8615851 20.8810144, 105.8642716 20.8816241, 105.8674197 20.8823305, 105.8708295 20.8830438, 105.8727336 20.8834706, 105.8744131 20.8839903, 105.8768124 20.8845167, 105.8808366 20.8853794, 105.8849953 20.8862896, 105.8881447 20.8869672, 105.8902031 20.8874101, 105.8931032 20.8880239, 105.8958012 20.8901088, 105.8997303 20.8931118, 105.8999185 20.8932556, 105.9000438 20.8933514, 105.9022765 20.89518, 105.9052466 20.8958011, 105.909037 20.8966037, 105.912913 20.8973628, 105.9159375 20.8979875, 105.9200156 20.8988046, 105.9239428 20.8979458, 105.9283928 20.8988102, 105.9329975 20.899716, 105.9372367 20.9005379, 105.9408778 20.9012558, 105.9448206 20.9020275, 105.9488788 20.9028168, 105.9512687 20.9032766, 105.9553657 20.9040696, 105.9594226 20.9048852, 105.9637468 20.9068349, 105.9680717 20.9087596, 105.9720377 20.9105785, 105.9761582 20.9124482, 105.9797339 20.9140802, 105.9824537 20.9152848, 105.9842244 20.9160996, 105.98749593111879 20.91760483828991, 105.99093499999998 20.9191602715986)"
VN255-220,way/153608703-220,220.0,983.1120383760948,9508.65,Al/St 240/40 2-bundle 220.0,"LINESTRING (105.99093499999998 20.9191602715986, 105.9943759470218 20.9207130712464, 105.9959204 20.9214105, 105.9998066 20.923171, 106.0037924 20.925008, 106.0077808 20.9268137, 106.0113191 20.9284078, 106.0153534 20.9302691, 106.018782 20.9294213, 106.0222124 20.9285993, 106.0255934 20.9278114, 106.0289803 20.9270135, 106.0332718 20.9276085, 106.0377458 20.9282261, 106.0417677 20.9287722, 106.0460901 20.9293547, 106.0499981 20.9298933, 106.0538712 20.9304244, 106.0607487820878 20.93139468667556, 106.06495403267309 20.9332122237456)"
VN248-220,way/251790836-220,220.0,983.1120383760948,13644.38,Al/St 240/40 2-bundle 220.0,"LINESTRING (105.75093516853248 20.960682503074878, 105.75461582334643 20.954360869908278, 105.7544549 20.9535916, 105.7540673 20.9509903, 105.753781 20.9473157, 105.75338 20.943392, 105.7530773 20.9402279, 105.7527677 20.9369723, 105.7526292 20.9353761, 105.7548335 20.9338638, 105.7571683 20.9323074, 105.7613262 20.9307744, 105.7651156 20.9294054, 105.7694113 20.9277986, 105.7730254 20.9264662, 105.7753942 20.9255721, 105.7781468 20.9245533, 105.7815271 20.9233005, 105.7824098 20.9220534, 105.7846333 20.9221633, 105.7855793 20.9218156, 105.788925 20.9205861, 105.7928671 20.9191286, 105.7967917 20.9177074, 105.8008789 20.9161424, 105.8042506 20.9137403, 105.8080396 20.9109996, 105.8117373 20.9083456, 105.8152024 20.9058473, 105.8185656 20.9034103, 105.822152 20.9008251, 105.8255952 20.8983364, 105.8293406 20.8956397, 105.8328051 20.8931249, 105.8362085 20.8906584, 105.8394015 20.8883566, 105.8424998 20.8861501, 105.8457189 20.8837834, 105.84755844918853 20.88246562167244, 105.85401672700833 20.877589162167478)"
way/1216970886-220,way/306295540-220,220.0,983.1120383760948,27571.33,Al/St 240/40 2-bundle 220.0,"LINESTRING (106.83977656604945 10.64518483592381, 106.84067740421558 10.652429074187094, 106.8409252 10.6525501, 106.8439821 10.6540432, 106.8471945 10.6556122, 106.8503845 10.6571702, 106.8535664 10.6587243, 106.8568042 10.6603056, 106.8598114 10.6617743, 106.862949 10.6633067, 106.865935 10.6647651, 106.8691254 10.6663233, 106.8722411 10.6678449, 106.8753389 10.6693579, 106.8781248 10.6707185, 106.8810653 10.6696656, 106.8837407 10.6687077, 106.8870711 10.6675152, 106.8903166 10.6663532, 106.8934583 10.6652283, 106.8966993 10.6640678, 106.8999747 10.6628951, 106.9031451 10.6617599, 106.9062906 10.6606336, 106.9082207 10.6599426, 106.9094841 10.6594902, 106.9126225 10.6583664, 106.9158179 10.6572223, 106.9190785 10.6560548, 106.922254 10.6549177, 106.9253705 10.6538018, 106.928627 10.6526358, 106.9313856 10.651648, 106.9339044 10.6518301, 106.937097 10.652061, 106.9402953 10.6522923, 106.9434269 10.6525188, 106.9466881 10.6527546, 106.9499406 10.6529898, 106.9531647 10.653223, 106.9566186 10.6534727, 106.9600354 10.6537198, 106.9633957 10.6539628, 106.9669125 10.6542172, 106.970399 10.6544693, 106.9736211 10.6547023, 106.9767006 10.654925, 106.9801212 10.6551724, 106.983737 10.6554338, 106.9868196 10.6541121, 106.9903574 10.652595, 106.9936186 10.6511967, 106.9968933 10.6497925, 107.0002423 10.6483564, 107.0035802 10.6469251, 107.0068847 10.6455082, 107.0107119 10.6450775, 107.0170323 10.6443663, 107.0208124 10.6439409, 107.0219658 10.6412897, 107.0232591 10.6383171, 107.0246367 10.6351504, 107.025915 10.6322121, 107.026370089099 10.631165984219487, 107.03657031170059 10.607201046671173)"
VN1139-220,way/306295540-220,220.0,983.1120383760948,5236.86,Al/St 240/40 2-bundle 220.0,"LINESTRING (106.79899319999996 10.670349579011367, 106.80265366785308 10.670855136904072, 106.8035392 10.6718525, 106.8047047 10.6731652, 106.8069981 10.6730628, 106.809021 10.6729724, 106.8118697 10.6728452, 106.8146232 10.6727223, 106.8168053 10.6704959, 106.8193368 10.667913, 106.8218849 10.665313, 106.8244358 10.6627103, 106.826963 10.6601317, 106.8295167 10.6575261, 106.8320593 10.6549317, 106.83239196764029 10.654592258145364, 106.83977656604945 10.64518483592381)"
VN1134-220,way/306295540-220,220.0,1966.2240767521896,9777.27,Al/St 240/40 2-bundle 220.0,"LINESTRING (106.81414611155995 10.690456862062572, 106.81114033751317 10.686222144210596, 106.8090587 10.6832777, 106.807095 10.6804999, 106.8050415 10.6775952, 106.8030087 10.6747197, 106.8008693 10.6726616, 106.798472 10.6702913, 106.7968274 10.6686915, 106.7985225 10.6669585, 106.8002472 10.6681415, 106.8010283 10.6686772, 106.8029548 10.6706017, 106.80493 10.6725748, 106.8067664 10.6724998, 106.8106148 10.6723428, 106.8143733 10.6721893, 106.8164477 10.6700523, 106.8188839 10.6675713, 106.8212889 10.6651221, 106.8237267 10.6626395, 106.8261212 10.6602008, 106.8286866 10.6575882, 106.8312359 10.654992, 106.83161098358785 10.654609996886848, 106.83977656604945 10.64518483592381)"
