GEM location ID,bus_id
L100000200732,way/1046230185-220
L100000200055,VN98-220
L100000200030,VN1054-500
L100000405433,VN1157-220
L100000405434,way/548970101-220
L100000405435,way/548970109-220
L100000405436,VN998-500
L100000405974,VN516-500
L100000104344,VN328-500
L100000104330,VN595-500
L100000405976,VN473-500
L100000405437,VN1137-500
L100000405977,VN1099-500
L100000104322,VN1137-500
L100000405440,way/744217936-220
L100000405441,VN589-500
L100000405978,way/1273255946-220
L100000104323,way/750907640-220
L100000407815,VN323-500
L100000405443,way/306295540-220
L100000405444,VN1199-500
L100000405445,way/1216970886-220
L100000405446,way/1216970886-500
L100000405447,way/1216970886-500
L100000405448,way/1216970886-500
L100000405449,way/1216970886-500
L100000405979,way/715041211-220
L100000104328,way/1183902227-500
L100000405450,VN485-500
L100000104324,VN334-500
L100000405451,way/548752026-220
L100000405452,way/548752026-220
L100000405980,way/484379351-220
L100000104301,VN145-500
L100000104342,way/483057097-220
L100000104332,way/715041211-220
L100000104343,way/483057097-220
L100000104347,way/827889600-500
L100000104309,VN410-220
L100000104311,way/1265851967-220
L100000104314,VN252-220
L100000104565,VN1219-220
L100000104340,VN1223-500
L100000104334,way/549941555-220
L100000104335,way/827889590-500
L100000104319,VN167-220
L100000104345,way/1320784083-500
L100000104307,way/315766007-220
L100000104329,VN571-500
L100000104312,way/549914184-220
L100000104336,VN230-220
L100000104302,VN167-220
L100000104315,VN1219-220
L100000104341,way/1044469623-220
L100000104337,way/1265274426-500
L100000104338,way/549959350-220
L100000104316,way/1376430795-500
L100000104308,VN1140-500
L100000104306,way/548717060-500
L100000104310,way/630750798-220
L100000900726,way/549038673-220
L100000900727,way/549296358-220
L100000900734,way/1273948690-220
L100000900762,way/1273898566-220
L100000900800,way/549038673-220
L100000900801,way/1273948690-220
L100000900802,way/400474243-220
L100000900824,VN742-500
L100000900829,way/549005377-220
L100000900864,VN476-500
L100000900869,way/744217936-220
L100000900878,VN1228-220
L100000900999,VN484-500
L100000901000,VN484-500
L100000901016,way/548970103-220
L100000901017,VN1228-220
L100000901018,VN1023-500
L100000901019,VN1228-220
L100000901021,VN1228-220
L100000901034,way/548723124-220
L100000901035,way/549038673-220
L100000901042,way/549005377-220
L100000901080,VN457-500
L100000901090,way/744217936-220
L100000901091,way/827889600-220
L100000901092,way/548970101-220
L100000901105,way/548970103-220
L100000901107,way/548970101-220
L100000901115,VN1228-220
L100000901116,way/548970101-220
L100000901132,VN1099-500
L100000901134,VN756-500
L100000901150,way/549296358-220
L100000901154,way/549038673-220
L100000901155,VN732-500
L100000901163,way/549296358-220
L100000901164,VN1099-500
L100000901178,VN715-220
L100000901214,way/548970101-220
L100000901224,way/827889600-500
L100000901225,way/548970101-220
L100000901226,way/827889600-500
L100000901251,way/1318145196-220
L100000901252,way/548970101-220
L100000901253,way/549296358-220
L100000901256,VN1228-220
L100000901257,VN1228-220
L100000901269,VN1228-220
L100000901279,VN717-220
L100000901280,way/549197475-220
L100000901281,way/548970101-220
L100000901283,VN482-500
L100000901284,VN476-500
L100000901285,VN608-500
L100000901288,way/1318145196-220
L100000901291,way/1318145196-220
L100000901292,way/1273527210-220
L100000901293,VN1019-500
L100000901304,way/1273527187-220
L100000901305,way/1273527210-220
L100000901309,VN713-220
L100000901314,way/549005377-220
L100000901330,way/548970101-220
L100000901333,way/549005377-220
L100000901390,way/548970101-220
L100000901392,VN1228-220
L100000901393,VN1228-220
L100000901395,way/548970101-220
L100000901400,way/1051605925-220
L100000901401,VN779-500
L100000901402,VN715-220
L100000901403,way/1273948690-220
L100000901404,VN712-220
L100000901406,VN732-500
L100000901407,way/1318145196-220
L100000901408,VN1222-500
L100000901410,VN776-500
L100000901413,VN476-500
L100000901415,way/549038673-220
L100000901416,way/1273898566-220
L100000901417,way/549038673-220
L100000901421,VN1225-220
L100000901422,VN713-220
L100000916962,way/549197475-220
L100000916964,way/548970101-220
L100000916965,way/1052065872-220
L100000916967,way/1272088369-220
L100000916968,way/1273948701-220
L100000916971,way/548970101-220
L100000916973,VN472-500
L100000916976,VN1145-220
L100000916978,VN476-500
L100000916979,way/744217936-220
L100000916980,VN1228-220
L100000916983,VN477-500
L100000916984,VN482-500
L100000916985,VN476-500
L100000916986,VN476-500
L100000916987,VN476-500
L100000916991,way/1273948690-220
L100000916993,way/1272088369-220
L100000916994,way/548970103-220
L100000916995,way/549296358-220
L100000916996,way/549038673-220
L100000916997,way/549038673-220
L100000916998,way/549038673-220
L100000917000,way/548970101-220
L100000917001,way/549197475-220
L100000917003,way/549296358-220
L100000917004,VN1228-220
L100000917008,VN64-500
L100000917010,way/549005377-220
L100000917011,way/548970103-220
L100000917012,way/744217936-220
L100000917013,VN1152-220
L100000917014,way/548970103-220
L100000917015,VN1228-220
L100000917016,VN1228-220
L100000917017,VN1228-220
L100000917020,VN1228-220
L100000917022,way/1273948690-220
L100000917023,way/744217936-220
L100000917024,way/744217936-220
L100000922030,VN833-500
L100000922035,way/744217936-220
L100000922036,VN1228-220
L100000922037,way/744217936-220
L100000922038,way/1272088369-220
L100000922039,way/1272088369-220
L100000922052,way/548970103-220
L100000922058,way/744217936-220
L100000922059,way/744217936-220
L100000922063,VN719-220
L100000922067,VN712-220
L100000922074,VN755-500
L100000922075,VN833-500
L100000922093,way/549296358-220
L100000922103,VN476-500
L100000922104,way/241065371-220
L100000922108,VN398-500
L100000922110,VN1228-220
L100000922112,way/549005377-220
L100000922116,VN476-500
L100000922117,VN476-500
L100000922118,VN476-500
L100000922141,VN673-500
L100000922143,way/1183902227-500
L100000922144,VN394-500
L100000922145,VN418-500
L100000922161,VN719-220
L100000922192,VN1014-500
L100000922195,VN485-500
L100000922196,VN485-500
L100000922229,VN476-500
L100000922233,way/1091782693-220
L100000922234,way/1052065872-220
L100000922237,way/549038673-220
L100000922256,way/549038673-220
L100001019678,VN27-500
L100001019679,VN937-220
L100001019697,VN39-500
L100001019698,way/1240467340-220
L100001019699,way/1240467340-220
L100001019700,way/1240467340-220
L100001019701,VN24-220
L100001019702,VN166-500
L100001019703,VN166-500
L100001019704,VN166-500
L100001019705,VN152-500
L100001019706,VN152-500
L100001019707,VN152-500
L100001019708,VN152-500
L100001019724,VN748-500
L100001019725,way/548970101-220
L100001019726,VN1037-500
L100001020142,VN1147-220
L100001020143,VN1147-220
L100001020144,VN167-220
L100001020145,VN166-500
L100001020146,VN166-500
L100001020147,way/1240467340-220
L100001020148,VN766-500
L100001020149,VN766-500
L100001020150,VN766-500
L100001020151,VN777-500
L100001020152,VN768-500
L100001020153,VN768-500
L100001020154,VN766-500
L100001020155,VN766-500
L100001020156,VN766-500
L100001020157,VN762-500
L100001020158,VN762-500
L100001020159,VN762-500
L100001020160,VN762-500
L100001020161,VN762-500
L100001020162,VN762-500
L100001020163,VN762-500
L100001020164,VN390-500
L100001020165,VN390-500
L100001020166,VN388-500
L100001020167,VN903-500
L100001020168,way/469414362-220
L100001020169,way/469414362-220
L100001020170,VN5-220
L100001020171,VN5-220
L100001020172,way/469414362-220
L100001020173,VN167-220
L100001020174,VN167-220
L100001020175,VN167-220
L100001020176,VN167-220
L100001020177,VN167-220
L100001020178,VN5-220
L100001020179,VN167-220
L100001020180,VN167-220
L100001020181,VN167-220
L100001020182,VN167-220
L100001020183,VN167-220
L100001020184,VN167-220
L100001020185,VN167-220
L100001020186,VN167-220
L100001020187,VN167-220
L100001020188,VN167-220
L100001020189,VN167-220
L100001020190,VN354-500
L100001020191,VN937-220
L100001020192,VN937-220
L100001020193,way/1273527210-220
L100001020194,way/1273527149-220
L100001020195,way/1273527149-220
L100001020196,way/1273527149-220
L100001020197,way/1273527149-220
L100001020198,way/1273527149-220
L100001020199,way/1273527149-220
L100001020200,way/1273527149-220
L100001020202,way/549197475-220
L100001020203,VN310-220
L100001020204,VN321-220
L100001020205,way/1267181647-220
L100001020206,VN23-220
L100000831564,VN1025-500
L100000808790,way/548869165-230
L100000800797,way/548869165-230
L100000808791,VN606-500
L100000800849,VN971-500
L100000808793,VN878-500
L100000800813,way/775832889-220
L100000800841,VN1015-500
L100000800842,VN595-500
L100000800843,VN1014-500
L100000800822,way/294127333-220
L100000800832,way/1273898566-220
L100000800833,way/1273527187-220
L100000801463,way/1051605927-220
L100000800861,VN886-500
L100000800862,VN886-500
L100000800865,VN898-500
L100000800868,VN685-220
L100000831566,VN653-500
L100000800877,way/1051872605-220
L100000808794,VN1152-220
L100000800903,VN790-500
L100000808795,VN918-500
L100000800863,VN375-220
L100000800864,VN387-500
L100000831568,VN647-500
L100000800913,way/1272088369-220
L100000800920,way/775832889-220
L100000800921,way/1051605925-220
L100000800936,way/827889600-220
L100000808797,way/775832889-220
L100000800940,VN1020-500
L100000831571,VN567-500
L100000800937,VN738-500
L100000808802,VN868-500
L100000808801,VN752-500
L100000831572,VN738-500
L100000831573,VN1123-500
L100000800953,way/549296358-220
L100000800968,way/1051872605-220
L100000800970,VN476-500
L100000800971,VN474-500
L100000800972,VN474-500
L100000800981,way/1274076450-500
L100000800985,VN1037-500
L100000800983,way/548723124-220
L100000800999,way/1273140706-220
L100000801003,way/1273948690-220
L100000801004,VN1023-500
L100000801005,way/1273948690-220
L100000831574,way/1045125739-220
L100000831575,VN367-500
L100000808803,VN375-220
L100000808804,VN953-500
L100000800988,VN1217-500
L100000801001,VN1037-500
L100000801002,VN1037-500
L100000808810,VN762-500
L100000831576,way/1385239486-500
L100000831577,way/1385239486-500
L100000808807,VN673-500
L100000808809,VN1087-500
L100000808805,way/1273140706-220
L100000801062,way/1274466549-220
L100000801066,VN1206-220
L100000801079,VN780-500
L100000801080,VN753-220
L100000801081,VN753-220
L100000801109,VN466-500
L100000801114,way/294127333-220
L100000801115,VN1123-500
L100000801116,way/1273255944-220
L100000831580,VN584-500
L100000831581,VN577-500
L100000831582,VN578-500
L100000831583,VN620-220
L100000801112,way/1051382594-220
L100000801113,way/1176845164-220
L100000808812,VN953-500
L100001019974,VN573-500
L100000801167,way/1273948690-220
L100000801161,way/1258175914-220
L100000801170,way/1271798294-220
L100000831584,way/823246918-220
L100000801172,way/823246918-220
L100000801193,VN322-220
L100000808814,VN836-220
L100000801195,way/549038673-220
L100000801194,way/1273898576-220
L100000801200,VN973-500
L100000808815,VN844-500
L100000801202,way/1274076449-220
L100000801203,way/1273898566-220
L100000801204,VN988-220
L100000801206,way/1273527187-220
L100000801207,way/823246918-220
L100000801214,VN988-220
L100000801267,VN1023-500
L100000808816,way/401042494-220
L100000801272,VN1008-500
L100000801269,VN511-220
L100000801270,VN488-220
L100000801271,VN488-220
L100000831585,VN477-500
L100000801273,way/1272088369-220
L100000808817,way/1318145196-220
L100000801274,way/1273140706-220
L100000801275,way/1273140706-220
L100000801276,VN978-220
L100000808818,VN947-220
L100000801277,VN978-220
L100000801278,way/1273898566-220
L100000801279,way/1273898566-220
L100000801280,way/1273527187-220
L100000808819,VN923-500
L100000808820,way/1091782693-220
L100000801290,way/1273328710-220
L100000801291,VN474-500
L100000801394,way/549005377-220
L100000831586,VN56-500
L100000801419,way/1273527187-220
L100000801420,way/1273328710-220
L100000808823,VN770-500
L100000801346,VN667-500
L100000808822,VN1085-500
L100000801415,VN1025-500
L100000801410,way/548752026-220
L100000801506,way/1051605927-220
L100000801453,way/1051872605-220
L100000808824,VN966-500
L100000801454,way/775832889-220
L100000801469,VN930-500
L100000801470,VN1123-500
