bus_id,grid_cell
way/153608703-220,VNM_103
way/183249722-220,VNM_167
way/241065371-220,VNM_137
way/241065371-220,wof-VNM_106
way/251790836-500,VNM_103
way/251790836-220,VNM_103
way/1216970886-500,VNM_129
way/1216970886-500,wof-VNM_116
way/294127333-220,VNM_130
way/294127333-220,wof-VNM_117
way/306259034-220,VNM_130
way/306259034-220,wof-VNM_97
way/306295536-500,VNM_129
way/306295536-500,wof-VNM_97
way/306295540-220,VNM_129
way/306295540-220,wof-VNM_116
way/306440153-500,VNM_112
way/306440153-500,wof-VNM_97
way/306440155-220,VNM_130
way/306440155-220,wof-VNM_117
way/307638314-220,VNM_111
way/307638314-220,wof-VNM_97
way/315445688-500,VNM_183
way/315553115-500,VNM_112
way/315553115-500,wof-VNM_97
way/315553115-220,VNM_112
way/315553115-220,wof-VNM_97
way/315766007-220,VNM_130
way/315766007-220,wof-VNM_117
way/315766015-220,VNM_130
way/315766015-220,wof-VNM_117
way/317895152-500,VNM_130
way/317895152-500,wof-VNM_117
way/318268202-220,VNM_112
way/318268202-220,wof-VNM_97
way/400413519-220,VNM_167
way/400413521-220,VNM_167
way/400474243-220,VNM_198
way/400474243-220,wof-VNM_203
way/400482074-220,VNM_183
way/400482074-220,wof-VNM_182
way/400591170-500,VNM_82
way/400591170-220,VNM_82
way/400633260-500,VNM_98
way/400633260-220,VNM_98
way/400645442-220,VNM_118
way/400645442-220,wof-VNM_99
way/400791086-500,VNM_193
way/400791086-500,wof-VNM_160
way/400791086-220,VNM_193
way/400791086-220,wof-VNM_160
way/401042494-220,VNM_156
way/401042494-220,wof-VNM_138
way/401532710-220,VNM_151
way/433817466-220,VNM_174
way/433817466-220,wof-VNM_160
way/436002389-220,VNM_135
way/436002389-220,wof-VNM_118
way/1211783783-220,VNM_192
way/439941742-220,VNM_173
way/468821783-500,VNM_137
way/468821783-500,wof-VNM_127
way/468821783-220,VNM_137
way/468821783-220,wof-VNM_127
way/469414362-220,VNM_104
way/479326578-220,VNM_156
way/479326578-220,wof-VNM_138
way/481965040-220,VNM_35
way/483057097-220,VNM_105
way/483525462-220,VNM_84
way/484052979-220,VNM_81
way/484052979-220,wof-VNM_69
way/484379351-220,VNM_121
way/484379351-220,wof-VNM_86
way/548201687-220,VNM_186
way/548210485-220,VNM_166
way/548717060-500,VNM_197
way/548717060-500,wof-VNM_202
way/548717060-220,VNM_197
way/548717060-220,wof-VNM_202
way/548723124-220,VNM_182
way/548723124-220,wof-VNM_159
way/548752026-220,VNM_162
way/548752026-220,wof-VNM_137
way/548869165-220,VNM_56
way/548869165-220,wof-VNM_54
way/548869170-220,VNM_73
way/548869170-220,wof-VNM_64
way/548970101-220,VNM_71
way/548970101-220,wof-VNM_63
way/548970103-220,VNM_53
way/548970103-220,wof-VNM_51
way/548970109-220,VNM_53
way/548970109-220,wof-VNM_51
way/548970118-220,VNM_55
way/548970118-220,wof-VNM_53
way/549005377-220,VNM_90
way/549005377-220,wof-VNM_77
way/549038673-220,VNM_209
way/549038673-220,wof-VNM_203
way/549197475-220,VNM_212
way/549197475-220,wof-VNM_226
way/549296358-220,VNM_213
way/549296358-220,wof-VNM_227
way/549380074-220,VNM_151
way/549400050-500,VNM_206
way/549400050-500,wof-VNM_206
way/549400050-220,VNM_206
way/549400050-220,wof-VNM_206
way/549400051-220,VNM_206
way/549400051-220,wof-VNM_206
way/549577079-220,VNM_193
way/549577079-220,wof-VNM_160
way/549617560-220,VNM_60
way/549621116-220,VNM_102
way/549621116-220,wof-VNM_86
way/549734849-220,VNM_104
way/549739658-500,VNM_104
way/549739658-220,VNM_104
way/549914184-220,VNM_123
way/549914192-220,VNM_122
