bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country
way/62191005-400,way/62191005,400.0,f,Substation,f,way/62191005,18.80610921213715,-33.81809797357867,ZA
way/62193952-400,way/62193952,400.0,f,Substation,f,way/62193952,18.53657079236369,-33.883948521110206,ZA
way/62218063-400,way/62218063,400.0,f,Substation,f,way/62218063,18.53712813726796,-33.989211578610295,ZA
way/65600948-400,way/65600948,400.0,f,Substation,f,way/65600948,29.13829731852923,-26.2830973510225,ZA
way/75136015-400,way/75136015,400.0,f,Substation,f,way/75136015,28.0806204164058,-25.92115599986864,ZA
way/83525879-400,way/83525879,400.0,f,Substation,f,way/83525879,28.275918436078747,-25.919886550019296,ZA
way/87404898-400,way/87404898,400.0,f,Substation,f,way/87404898,27.454897257122024,-26.217713262351047,ZA
way/87434264-400,way/87434264,400.0,f,Substation,f,way/87434264,27.528051012082624,-26.38700387724843,ZA
way/89173873-400,way/89173873,400.0,f,Substation,f,way/89173873,23.40677214806278,-31.696892469522275,ZA
way/89637370-400,way/89637370,400.0,f,Substation,f,way/89637370,25.92451218722984,-32.74271489890313,ZA
way/90454383-400,way/90454383,400.0,f,Substation,f,way/90454383,25.63291721702851,-33.719728626099794,ZA
way/92348290-765,way/92348290,765.0,f,Substation,f,way/92348290,25.744431845357603,-28.637605869060195,ZA
way/92348290-400,way/92348290,400.0,f,Substation,f,way/92348290,25.74438789180162,-28.637887342230584,ZA
way/98231311-400,way/98231311,400.0,f,Substation,f,way/98231311,28.494750347353776,-26.770180689968267,ZA
way/102682082-400,way/102682082,400.0,f,Substation,f,way/102682082,18.973158748175862,-34.19813076673686,ZA
way/102925909-400,way/102925909,400.0,f,Substation,f,way/102925909,26.82890211410518,-28.15982157673848,ZA
way/103079596-400,way/103079596,400.0,f,Substation,f,way/103079596,26.78287259360645,-26.901819271544447,ZA
way/104080393-400,way/104080393,400.0,f,Substation,f,way/104080393,29.97822647270397,-27.7203461917155,ZA
way/105759402-400,way/105759402,400.0,f,Substation,f,way/105759402,29.083529737476088,-28.56607246701644,ZA
way/105811523-400,way/105811523,400.0,f,Substation,f,way/105811523,27.986900566862943,-26.60449874265885,ZA
way/107391770-400,way/107391770,400.0,f,Substation,f,way/107391770,30.66121529248869,-29.77774561882221,ZA
way/107431792-400,way/107431792,400.0,f,Substation,f,way/107431792,18.23454171150277,-33.00693842222441,ZA
way/107937167-400,way/107937167,400.0,f,Substation,f,way/107937167,26.806591841521907,-32.01242986506913,ZA
way/120584910-400,way/120584910,400.0,f,Substation,f,way/120584910,18.68630408885581,-33.90495930083213,ZA
way/120941269-400,way/120941269,400.0,f,Substation,f,way/120941269,31.9270020828128,-28.758963619264627,ZA
way/125754107-400,way/125754107,400.0,f,Substation,f,way/125754107,19.560217215080325,-30.49894900800408,ZA
way/125769921-400,way/125769921,400.0,f,Substation,f,way/125769921,20.793664741463267,-29.49361755967884,ZA
way/127585817-400,way/127585817,400.0,f,Substation,f,way/127585817,29.846272528250665,-28.9385766470526,ZA
way/131625968-400,way/131625968,400.0,f,Substation,f,way/131625968,32.03640750815389,-28.688513587195214,ZA
way/142414070-765,way/142414070,765.0,f,Substation,f,way/142414070,24.088731915965045,-30.714667190744223,ZA
way/142414070-400,way/142414070,400.0,f,Substation,f,way/142414070,24.088689369329828,-30.71495517487344,ZA
way/156418705-400,way/156418705,400.0,f,Substation,f,way/156418705,30.22188680649634,-24.719419602159427,ZA
way/162871098-400,way/162871098,400.0,f,Substation,f,way/162871098,18.803180428505,-29.29693618889424,ZA
way/167540668-765,way/167540668,765.0,f,Substation,f,way/167540668,26.82030051980692,-27.00104287870477,ZA
way/167540668-400,way/167540668,400.0,f,Substation,f,way/167540668,26.820138711457847,-27.0012484131971,ZA
way/167590549-400,way/167590549,400.0,f,Substation,f,way/167590549,22.53099257982673,-32.405927967249305,ZA
way/167648085-400,way/167648085,400.0,f,Substation,f,way/167648085,30.328300244011288,-28.248924287787307,ZA
way/169647963-400,way/169647963,400.0,f,Substation,f,way/169647963,25.6773308592168,-33.74208609427072,ZA
way/169789536-400,way/169789536,400.0,f,Substation,f,way/169789536,21.960416394486305,-34.165159149430295,ZA
way/170672051-400,way/170672051,400.0,f,Substation,f,way/170672051,29.11019580268569,-25.82946461344919,ZA
way/176362710-400,way/176362710,400.0,f,Substation,f,way/176362710,30.389873962550325,-29.73004407284954,ZA
way/176940672-400,way/176940672,400.0,f,Substation,f,way/176940672,27.50854621902058,-25.682535551985747,ZA
way/177800991-400,way/177800991,400.0,f,Substation,f,way/177800991,19.404879997508,-33.81414426473298,ZA
way/178240552-400,way/178240552,400.0,f,Substation,f,way/178240552,27.66174877619608,-26.447811056183568,ZA
way/178968761-765,way/178968761,765.0,f,Substation,f,way/178968761,29.08955639245925,-26.69564695698909,ZA
way/178968761-400,way/178968761,400.0,f,Substation,f,way/178968761,29.0893942131908,-26.69584574417729,ZA
way/179136373-765,way/179136373,765.0,f,Substation,f,way/179136373,29.397211978144604,-26.805317556548683,ZA
way/179136373-400,way/179136373,400.0,f,Substation,f,way/179136373,29.39704985403541,-26.80551569317804,ZA
way/179140081-400,way/179140081,400.0,f,Substation,f,way/179140081,29.117846589197992,-26.53910783080889,ZA
way/181284049-400,way/181284049,400.0,f,Substation,f,way/181284049,30.47618223758586,-29.393283615010844,ZA
way/181366662-765,way/181366662,765.0,f,Substation,f,way/181366662,25.70390555410372,-28.721772584061533,ZA
