GEM location ID,bus_id
L100000500139,way/836844162-400
L100000408170,way/62193952-400
L100000407107,way/182042518-400
L100000407110,way/107391770-400
L100000406818,way/169647963-400
L100000407109,way/169647963-400
L100000407108,way/169789536-400
L100000407113,way/169647963-400
L100000407112,way/120941269-400
L100000407111,way/107431792-400
L100000103425,way/83525879-400
L100000407851,way/131625968-400
L100000407115,way/120941269-400
L100000408172,relation/17287657-400
L100000407360,way/120941269-400
L100000407850,way/120941269-400
L100000406820,way/179140081-400
L100000103438,way/220129604-400
L100000103439,way/238322344-400
L100000103440,way/185171518-400
L100000103441,way/98231311-400
L100000103442,way/209976655-400
L100000103443,way/185497473-400
L100000103446,way/209976655-400
L100000103447,ZA22-400
L100000103448,ZA18-400
L100000103423,way/105811523-400
L100000103449,way/213181313-400
L100000103431,way/182408147-400
L100000103450,way/65600948-400
L100000103432,way/200232961-400
L100000104479,ZA2-400
L100000104372,way/455498147-400
L100000103428,way/120941269-400
L100000103426,ZA14-400
L100000103451,ZA15-400
L100000103452,way/209365700-400
L100000900001,way/182042518-400
L100000900002,way/89637370-400
L100000900005,way/107431792-400
L100000900007,way/102682082-400
L100000900008,ZA38-765
L100000900011,way/90454383-400
L100000900012,relation/17287657-400
L100000900013,way/89637370-400
L100000900014,way/89173873-400
L100000900015,way/183402339-400
L100000900018,way/183402339-400
L100000900019,way/90454383-400
L100000900020,way/89637370-400
L100000900021,way/89637370-400
L100000900022,ZA39-400
L100000900024,way/90454383-400
L100000900025,way/586032034-765
L100000900027,way/193978748-400
L100000900031,way/90454383-400
L100000900032,way/89637370-400
L100000900036,way/586032034-765
L100000900037,way/193465369-400
L100000900038,way/125754107-400
L100000900039,way/125754107-400
L100000900040,way/142414070-400
L100000900046,way/107937167-400
L100000900048,way/90454383-400
L100000900049,ZA39-400
L100000900050,way/90454383-400
L100000900058,way/90454383-400
L100000900072,way/89637370-400
L100000900162,way/177800991-400
L100000900163,ZA28-765
L100000916628,way/169647963-400
L100000916629,way/167590549-400
L100000916630,way/586032034-765
L100000916631,way/142414070-400
L100000916632,way/125754107-400
L100000916634,way/90454383-400
L100000916635,way/260486370-400
L100000916636,way/89637370-400
L100000916637,ZA39-400
L100000916638,way/142414070-400
L100000916639,way/586032034-765
L100000916640,ZA39-400
L100000916641,way/162871098-400
L100000916642,way/934819484-400
L100000916643,way/178240552-400
L100000916644,ZA39-400
L100000916645,way/934819484-400
L100000916646,way/107431792-400
L100000916647,way/934819484-400
L100000916648,way/167648085-400
L100000916649,way/89637370-400
L100000922010,ZA38-765
L100000922011,way/209976655-400
L100000922012,way/220129604-400
L100000922013,way/183402339-400
L100001016798,ZA38-765
L100001016802,way/90454383-400
L100001018642,way/586032034-400
L100000811644,way/663042849-400
L100000800007,way/200757306-400
L100000800009,way/162871098-400
L100000827726,way/208749745-400
L100000800062,way/167540668-400
L100000800064,way/663042849-400
L100000827729,way/208749745-400
L100000800068,way/92348290-765
L100000811646,way/169647963-400
L100000800087,ZA38-765
L100000811647,way/142414070-765
L100000800086,way/142414070-765
L100000800088,way/142414070-765
L100000827731,way/208749745-400
L100000800090,way/184581460-400
L100000827732,way/103079596-400
L100000800095,way/107937167-400
L100000800096,ZA28-765
L100000811648,ZA38-765
L100001018558,ZA28-765
L100000811649,ZA28-765
L100000800125,way/183402339-400
L100000811650,ZA39-400
L100000811651,way/200223220-400
L100000800132,way/200223220-400
L100000800134,way/200757306-400
L100001016801,way/90454383-400
L100000800137,way/663042845-400
L100000800142,way/200757306-400
L100000800162,way/162871098-400
L100000800155,way/142414070-765
L100000800158,way/89173873-400
L100000800160,way/200757306-400
L100000800164,way/663042849-400
L100001019560,way/200223220-400
L100000800169,way/663042845-400
L100000800181,way/162871098-400
L100000811655,way/200232961-400
L100000800190,way/200757306-400
L100001019575,way/105811523-400
L100000800191,ZA28-765
L100000800195,way/142414070-400
L100000800197,way/125754107-400
L100000811656,way/142414070-765
L100001019567,way/87434264-400
L100000811667,way/103079596-400
L100000811668,way/103079596-400
L100000811657,way/685294883-400
L100001019568,way/142414070-400
L100000827736,way/260486370-400
L100000800220,way/183402339-400
L100000800219,way/183402339-400
L100000800221,way/183402339-400
L100000811658,way/142414070-765
L100000811659,way/663042849-400
L100000827737,way/184581460-400
L100000827738,way/184581460-400
L100000811660,ZA39-400
L100000811661,way/545652232-400
L100000800261,way/107431792-400
L100001016799,ZA38-765
L100000800266,ZA28-765
L100000800272,way/200757306-400
L100000800273,way/200757306-400
L100000811663,way/693869805-400
L100000811664,way/184201271-400
L100000811665,ZA28-765
L100000811666,way/934819484-400
L100000800302,way/200757306-400
L100000800310,way/178240552-400
L100000800312,way/208749745-400
