bus_id,grid_cell
way/62191005-400,ZAF_29
way/62193952-400,ZAF_28
way/62193952-400,wof-ZAF_144
way/62218063-400,ZAF_28
way/62218063-400,wof-ZAF_143
way/65600948-400,ZAF_430
way/75136015-400,ZAF_387
way/83525879-400,ZAF_408
way/87404898-400,ZAF_365
way/87434264-400,ZAF_364
way/89173873-400,ZAF_204
way/89637370-400,ZAF_283
way/90454383-400,ZAF_281
way/90454383-400,wof-ZAF_262
way/92348290-765,ZAF_292
way/92348290-400,ZAF_292
way/98231311-400,ZAF_406
way/102682082-400,ZAF_42
way/102682082-400,wof-ZAF_158
way/102925909-400,ZAF_336
way/103079596-400,ZAF_339
way/104080393-400,ZAF_470
way/105759402-400,ZAF_425
way/105811523-400,ZAF_386
way/107391770-400,ZAF_486
way/107431792-400,ZAF_16
way/107431792-400,wof-ZAF_146
way/107937167-400,ZAF_328
way/120584910-400,ZAF_28
way/120941269-400,ZAF_521
way/120941269-400,wof-ZAF_394
way/125754107-400,ZAF_64
way/125769921-400,ZAF_112
way/127585817-400,ZAF_446
way/131625968-400,ZAF_521
way/131625968-400,wof-ZAF_394
way/142414070-765,ZAF_228
way/142414070-400,ZAF_228
way/156418705-400,ZAF_477
way/162871098-400,ZAF_39
way/167540668-765,ZAF_339
way/167540668-400,ZAF_339
way/167590549-400,ZAF_163
way/167648085-400,ZAF_469
way/169647963-400,ZAF_281
way/169647963-400,wof-ZAF_262
way/169789536-400,ZAF_141
way/169789536-400,wof-ZAF_202
way/170672051-400,ZAF_431
way/176362710-400,ZAF_466
way/176940672-400,ZAF_366
way/177800991-400,ZAF_43
way/178240552-400,ZAF_364
way/178968761-765,ZAF_429
way/178968761-400,ZAF_429
way/179136373-765,ZAF_451
way/179136373-400,ZAF_451
way/179140081-400,ZAF_430
way/181284049-400,ZAF_486
way/181366662-765,ZAF_292
way/181366662-400,ZAF_292
way/182042518-400,ZAF_29
way/182042518-400,wof-ZAF_144
way/182408147-400,ZAF_370
way/183402339-400,ZAF_168
way/183757901-400,ZAF_491
way/183759046-400,ZAF_470
way/184201271-400,ZAF_366
way/184552955-400,ZAF_457
way/184560833-400,ZAF_477
way/184581460-400,ZAF_388
way/185171518-400,ZAF_453
way/185497473-400,ZAF_431
way/193465369-400,ZAF_2
way/193465369-400,wof-ZAF_116
way/193977981-765,ZAF_204
way/193978748-400,ZAF_34
way/193978748-400,wof-ZAF_149
way/200223220-400,ZAF_337
way/200232961-400,ZAF_370
way/200757306-400,ZAF_192
way/207991752-400,ZAF_464
way/208749745-400,ZAF_459
way/209365700-400,ZAF_451
way/209976655-400,ZAF_453
way/213181313-400,ZAF_451
way/219384657-765,ZAF_29
way/219384657-765,wof-ZAF_144
way/219384657-400,ZAF_29
way/219384657-400,wof-ZAF_144
